,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39
Robin_education_Lashandra,0.0,0.0,0.0,2.7687940565160296e-157,0.0,0.0,0.0,0.0,0.0,0.0,2.8788716072304944e-119,2.7639045976875003e-269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.291948409502767e-93,0.0,2.534340196204925e-113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.701500821180764e-200,0.0,1.0,0.0,0.0,1.668498628831752e-68,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,2.466877628012145e-69,0.0,0.0,2.6467420775401404e-174,0.0,0.0,0.0,0.0,0.0,0.0,1.3267099921797698e-52,7.821285108049976e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1989158896081834e-183,0.0,7.630451589203768e-82,0.0,0.0,4.239762461472269e-104,0.0,0.0,0.0,1.6110966042698793e-61,1.759585962750221e-89,0.0,0.0,0.0,0.0,5.008330657648617e-41,1.0,0.0,0.0,0.0
Robin_office_Gayle,2.3766271912736603e-29,0.0,0.0,7.6867999283321145e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.999999994230353,4.391104116333811e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.737643006512774e-160,0.0,4.629826546717756e-31,0.0,0.0,0.0,0.0,0.0,0.0,9.521999396599542e-40,1.0832024998169575e-12,0.0,0.0,0.0,0.0,1.3774599840594772e-09,0.0,0.0,0.0,0.0
Robin_office_Shirlene,2.297721701020844e-55,0.0,0.0,9.114628657038921e-92,0.0,0.0,0.0,0.0,0.0,6.34840321064257e-164,1.9516361740818707e-36,3.454802919734647e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4357735632848357e-223,0.0,1.9377023130233673e-165,0.0,0.0,0.0,0.0,0.0,0.0,5.084530526507234e-42,1.4706072740156634e-57,0.0,0.0,0.0,0.0,6.2256316515526855e-46,0.0,1.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,9.107066728019458e-55,0.0,0.0,0.0,0.0,0.0,0.0,4.771885329648129e-97,1.5539165042874242e-176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3356310749910965e-111,0.0,4.475802048222714e-81,0.0,0.0,0.0,0.0,0.0,0.0,9.193196248717937e-207,1.5593629510800385e-176,0.0,0.0,0.0,0.0,2.9010551073485e-52,0.0,0.0,0.0,1.0
Robin_lodging_Phillip,0.9999991841812284,0.0,0.0,7.014722330692553e-132,0.0,0.0,0.0,0.0,0.0,0.0,9.996496152414671e-14,7.648808864047595e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0400778007605147e-166,0.0,8.151580502517464e-29,0.0,0.0,8.740159e-317,0.0,0.0,0.0,2.3128453523731715e-32,1.5037315945702162e-39,0.0,0.0,0.0,0.0,7.393305829285869e-07,0.0,0.0,0.0,0.0
Robin_education_Jasper,8.437432763243316e-94,0.0,0.0,7.919457246304377e-52,0.0,0.0,0.0,0.0,0.0,0.0,5.7746336981082286e-15,2.662779576644647e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7271113740509345e-126,0.0,7.444181939231965e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.999575576297077e-37,9.318281959598556e-93,0.0,0.0,0.0,0.0,0.9999999925558125,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,2.987979841796224e-151,0.0,0.0,0.0,0.0,0.0,0.0,2.4134509924639497e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.133329061654713e-115,0.0,0.0,0.0,0.0
Robin_education_Terrance,5.021597830690271e-293,0.0,0.0,1.2687192509908574e-90,0.0,0.0,0.0,0.0,0.0,0.0,1.1973647584443862e-113,3.94664900521465e-150,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.059115718630221e-137,0.0,0.0,0.0,0.0,0.0,0.0,1.1612750526106202e-275,4.4069185458667117e-156,0.0,0.0,0.0,0.0,6.128097599666381e-81,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,1.6268332877999288e-83,0.0,0.0,9.389785019572847e-105,0.0,0.0,0.0,0.0,0.0,0.0,3.0988588393512212e-24,8.419675153195207e-56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.382813839634212e-230,0.0,2.162165818663338e-295,0.0,0.0,0.0,0.0,0.0,0.0,1.0178974230736925e-44,1.0864708282788696e-39,0.0,0.0,0.0,0.0,7.681572073842447e-36,0.0,0.0,0.0,0.0
Robin_office_Addie,2.3999389980045046e-28,0.0,0.0,4.4070148496164423e-128,0.0,0.0,0.0,0.0,0.0,0.0,1.980224255371146e-11,0.9999797610997441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.431112593654781e-159,0.0,2.111902751507673e-19,0.0,0.0,0.0,0.0,0.0,0.0,4.994261424391596e-43,2.1801882294832232e-21,0.0,0.0,0.0,0.0,2.023888045352581e-05,0.0,0.0,0.0,0.0
Robin_education_Cecilia,8.741973556651168e-48,0.0,0.0,8.08022269803911e-94,0.0,0.0,0.0,0.0,0.0,0.0,5.268092560044791e-16,0.9999895875097623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823581109412513e-127,0.0,1.5450589709827987e-22,0.0,0.0,0.0,0.0,0.0,0.0,2.083669752524999e-73,2.0697072044606626e-17,0.0,0.0,0.0,0.0,1.0412490236352308e-05,0.0,0.0,0.0,0.0
Robin_education_Kiera,6.921182965974678e-22,0.0,0.0,2.264502211084193e-28,0.0,0.0,0.0,0.0,0.0,8.044230023848056e-87,0.999999999999976,5.903239129891791e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6039603286657046e-188,0.0,8.849544801837796e-90,0.0,0.0,0.0,0.0,0.0,0.0,2.889230700313254e-30,1.5890874480213289e-25,0.0,0.0,0.0,0.0,2.42335293346259e-14,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,1.7262402362496728e-46,0.0,0.0,1.0569360517237196e-86,0.0,0.0,0.0,0.0,0.0,0.0,7.138200280812287e-17,1.0610700217047438e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6388345194414363e-245,0.0,1.0433210659405566e-244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.062180144773955e-20,0.0,0.0,0.0,0.0,2.837012437637659e-26,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,0.0,2.1285275769255817e-110,0.0,0.0,0.0,0.0,0.0,0.0,8.80764161799183e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.439832303537344e-153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.366130580785824e-263,0.0,0.0,0.0,0.0,1.6395549819204627e-92,0.0,0.0,0.0,0.0
Robin_office_Maryann,5.0196938359440536e-186,0.0,0.0,1.7079274214343154e-34,0.0,0.0,0.0,0.0,0.0,0.0,1.5596568126240064e-68,1.2014882332214622e-122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3079242073089083e-105,0.0,1.1262005036421101e-85,0.0,0.0,0.0,0.0,0.0,0.0,2.10985586411764e-147,1.292470628560186e-130,0.0,0.0,1.0,0.0,1.391205844871339e-47,0.0,0.0,0.0,0.0
Robin_office_Serena,9.442464141303186e-29,0.0,0.0,2.0691558372184962e-63,0.0,0.0,0.0,0.0,0.0,1.330623128177855e-80,0.9999992784959995,7.069502010030192e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.702862931232295e-204,0.0,1.3926350043019097e-42,0.0,0.0,3.1256386139729457e-105,0.0,0.0,0.0,7.178070427381893e-24,1.8073803328939927e-16,0.0,0.0,0.0,0.0,1.4553799072288796e-08,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,6.410681168858108e-77,0.0,0.0,0.0,0.0,0.0,0.0,3.7784885360879635e-113,6.273937042826477e-279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4359119580570942e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7553261137423284e-192,0.0,0.0,0.0,0.0,2.7158863334242434e-69,0.0,0.0,0.0,0.0
Robin_education_Megan,9.233181168535815e-160,0.0,0.0,0.9999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,7.097501345576353e-30,6.294187318914405e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0656314152799984e-116,0.0,3.432282761488089e-46,0.0,0.0,0.0,0.0,0.0,0.0,1.8645980851146932e-139,1.301182191765272e-84,0.0,0.0,0.0,0.0,2.5290078422511097e-15,0.0,0.0,0.0,0.0
Robin_office_Adolph,3.2249062187734055e-43,0.0,0.0,1.1140747499565457e-113,0.0,0.0,0.0,0.0,0.0,0.0,5.5034214096927734e-09,0.9993640071595093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.625464408517948e-152,0.0,4.725040269320229e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.478965716885722e-42,3.30999769342189e-33,0.0,0.0,0.0,0.0,0.000635987289818937,0.0,0.0,0.0,0.0
Robin_office_Lindsay,1.9329395017061263e-57,0.0,0.0,8.626303504329788e-63,0.0,0.0,0.0,0.0,0.0,0.0,1.5047421686612293e-05,8.563789406182313e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8028963987745236e-119,0.0,1.2664865506299074e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.721318148844843e-25,3.93256780489408e-50,0.0,0.0,0.0,0.0,0.9998866498187455,0.0,0.0,0.0,0.0
Robin_education_Takako,2.802126777801751e-92,0.0,0.0,1.6000373002994402e-97,0.0,0.0,0.0,0.0,0.0,0.0,2.1742342296399185e-22,1.7481911801883425e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.882548610499102e-135,0.0,5.379677402195405e-25,0.0,0.0,0.0,0.0,0.0,0.0,3.8591352707516655e-47,2.6203504968373147e-91,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,4.393222288151424e-55,0.0,0.0,2.2690248850171175e-77,0.0,0.0,0.0,0.0,0.0,2.8213717892772285e-75,8.375083890381546e-23,2.2196122749024757e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2595603300587526e-290,0.0,0.0,0.0,0.0,1.7349754241964448e-72,0.0,0.0,0.0,1.0,3.1409347644185716e-29,0.0,0.0,0.0,0.0,1.8775048841937714e-45,0.0,0.0,0.0,0.0
Robin_office_Victor,2.557301741127802e-22,0.0,0.0,5.283441593183492e-45,0.0,0.0,0.0,0.0,0.0,8.235497238878954e-145,0.9999999985394235,1.452673146083558e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.048238725467085e-178,0.0,1.207557270158278e-51,0.0,0.0,4.458894575028306e-76,0.0,0.0,0.0,2.620711560485851e-23,2.3659162460397992e-17,0.0,0.0,0.0,0.0,7.903510958692276e-12,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,8.498202496939955e-99,0.0,0.0,0.0,0.0,1.0,0.0,1.2278313244899943e-147,5.810036358109187e-304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7482081275437085e-129,0.0,4.4771242867819763e-188,0.0,0.0,0.0,0.0,0.0,0.0,5e-324,1.9683010120232323e-283,0.0,0.0,0.0,0.0,1.8962471876686867e-84,0.0,0.0,0.0,0.0
Robin_public_Cami,4.1812533367652155e-42,0.0,0.0,2.0291442964763572e-154,0.0,0.0,0.0,0.0,0.0,3.9330894020856456e-113,8.190965243216092e-21,9.852192839923058e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.356981630896294e-201,0.0,0.0,0.0,0.0,7.895247696459989e-157,0.0,0.0,0.0,1.0,4.978419573029377e-30,0.0,0.0,0.0,0.0,2.4772888974195593e-52,0.0,0.0,0.0,0.0
Robin_education_Kristopher,3.7210229949716565e-27,0.0,0.0,6.375063690658776e-49,0.0,0.0,0.0,0.0,0.0,0.0,4.748733080481533e-22,1.944205243417381e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85837986496027e-164,0.0,4.381751037638573e-22,0.0,0.0,0.0,0.0,0.0,0.0,9.342188402227105e-65,5.533210346642273e-44,0.0,0.0,0.0,0.0,0.9999999999998064,0.0,0.0,0.0,0.0
Robin_education_Billi,2.2893504320025034e-75,0.0,0.0,2.761712301322687e-78,0.0,0.0,0.0,0.0,0.0,0.0,1.1196352279779108e-20,9.565814379170124e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4670439032505044e-301,0.0,2.08086e-319,0.0,0.0,1.0,0.0,0.0,0.0,1.2237594077589194e-17,7.666578978999297e-34,0.0,0.0,0.0,0.0,1.5136576224733004e-44,0.0,0.0,0.0,0.0
Robin_lodging_Celia,1.507714738997355e-94,0.0,0.0,4.077314540932264e-130,0.0,0.0,0.0,0.0,0.0,1.0,4.8013957949624445e-30,3.3535266731980084e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.673087441808025e-306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.846238343768148e-23,1.0445498884992401e-46,0.0,0.0,0.0,0.0,3.202007219121397e-52,0.0,0.0,0.0,0.0
Robin_office_Donald,7.639133774090264e-113,0.0,0.0,0.9999999847379694,0.0,0.0,0.0,0.0,0.0,0.0,8.345469201204655e-25,1.3431441262513205e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3619367049450173e-127,0.0,1.5537104943185016e-20,0.0,0.0,0.0,0.0,0.0,0.0,4.2164691254232754e-86,3.411105753609611e-70,0.0,0.0,0.0,0.0,1.526203063532246e-08,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,1.2458608528219298e-30,0.0,0.0,2.595403630738343e-72,0.0,0.0,0.0,0.0,0.0,1.2084162913406547e-77,4.517391425466192e-20,3.306929306260231e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4098206001092646e-219,0.0,0.0,0.0,0.0,0.9999999407149591,0.0,0.0,0.0,5.928504083978448e-08,2.9380643728180595e-32,0.0,0.0,0.0,0.0,9.672833260559469e-46,0.0,0.0,0.0,0.0
Robin_office_Soledad,5.950958420983262e-57,0.0,0.0,5.703811696776469e-87,0.0,0.0,0.0,0.0,0.0,3.0990781589438904e-216,1.6848045187819225e-10,5.38473831927366e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854214920468449e-249,0.0,1.8530108351928077e-107,0.0,0.0,0.0,0.0,0.0,0.0,1.0470473439983746e-49,0.9999994613576874,0.0,0.0,0.0,0.0,2.124610184702273e-16,0.0,0.0,0.0,0.0
Robin_education_Audrea,1.1484952159012577e-189,0.0,0.0,3.4499463988973705e-79,0.0,0.0,0.0,0.0,0.0,0.0,8.126075965353288e-71,6.94801569454734e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.237364950363437e-110,1.0,2.2845866299782544e-104,0.0,0.0,0.0,0.0,0.0,0.0,2.232447831644226e-126,1.220532780059798e-126,0.0,0.0,0.0,0.0,6.304615995241723e-51,0.0,0.0,0.0,0.0
Robin_office_Saul,2.3293231880179246e-46,0.0,0.0,2.487080267706438e-62,0.0,0.0,0.0,0.0,0.0,0.0,3.109894515450039e-19,0.9999999236509016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.205515516479021e-182,0.0,1.5254633723806552e-36,0.0,0.0,0.0,0.0,0.0,0.0,2.79208775513208e-67,9.669853918121704e-39,0.0,0.0,0.0,0.0,7.634909895239125e-08,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.9999999999742193,0.0,0.0,8.584124290863259e-100,0.0,0.0,0.0,0.0,0.0,0.0,2.776841684550627e-12,2.3002542065143105e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.541551955824079e-185,0.0,5.6467089806022634e-160,0.0,0.0,0.0,0.0,0.0,0.0,6.62413497978452e-25,1.6542755311240656e-15,0.0,0.0,0.0,0.0,5.3942441566250373e-17,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,1.2148465006050545e-117,0.0,0.0,0.0,0.0,0.0,0.0,3.083777538466076e-179,3.018553e-318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.156869648642371e-147,0.0,1.5851842949498515e-169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1283970404241124e-181,0.0,0.0,0.0,0.0,5.288388846854144e-89,0.0,0.0,0.0,0.0
Robin_office_Erma,8.926999211611193e-120,0.0,0.0,2.68729977708783e-153,0.0,0.0,0.0,0.0,0.0,0.0,3.633125370884051e-48,2.0959933418758722e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36516788304314e-230,0.0,0.0,0.0,0.0,0.0,0.0,6.523817211379745e-116,6.914761466022059e-63,0.0,0.0,0.0,0.0,1.4379582023090609e-62,0.0,0.0,1.0,0.0
Robin_office_Zelma,2.067674674986329e-195,0.0,0.0,1.0953656967114825e-80,0.0,0.0,0.0,0.0,0.0,0.0,3.7676054741481613e-22,1.0795453954239142e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.753718067878195e-84,0.0,0.999996555328284,0.0,0.0,8.546460984697805e-200,0.0,0.0,0.0,4.67535549593813e-30,1.8319437587611944e-80,0.0,0.0,0.0,0.0,3.444671716217702e-06,0.0,0.0,0.0,0.0
Robin_lodging_Renea,1.1870000273281856e-56,0.0,0.0,8.612193009042701e-131,0.0,0.0,0.0,0.0,0.0,0.0,1.1466760757121381e-23,2.085911504061812e-52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2666699926554917e-196,0.0,1.59932028548453e-310,0.0,0.0,0.0,0.0,0.0,0.0,1.1122803957647792e-39,6.580176938011853e-36,0.0,0.0,0.0,0.0,1.856365020658417e-36,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.9999997844947703,0.0,0.0,3.600696744912611e-128,0.0,0.0,0.0,0.0,0.0,0.0,1.1562028968747175e-11,2.153333735177245e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.742716876962158e-151,0.0,3.164159094776306e-75,0.0,0.0,0.0,0.0,0.0,0.0,2.493150431596216e-35,2.5683826791110393e-24,0.0,0.0,0.0,0.0,1.6029413214267884e-10,0.0,0.0,0.0,0.0
Robin_education_Karyl,2.293862735044129e-42,0.0,0.0,1.1119168870304972e-108,0.0,0.0,0.0,0.0,0.0,0.0,3.276954049981137e-11,0.9999961811768416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109756702851346e-162,0.0,1.3981338224140474e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.742821593280211e-45,1.6598310425083368e-16,0.0,0.0,0.0,0.0,3.81879038878544e-06,0.0,0.0,0.0,0.0
Robin_lodging_Janie,1.5103267098544768e-137,0.0,0.0,3.578379656460665e-67,0.0,0.0,0.0,0.0,0.0,0.0,1.2547073300450288e-78,6.817258287696814e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.725432933945879e-229,0.0,0.0,0.0,0.0,1.0,0.0,1.76707051792424e-174,1.4858715008403164e-105,0.0,0.0,0.0,0.0,4.44154434560985e-65,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,6.777091996694254e-246,0.0,0.0,0.0,0.0,0.0,0.0,1.3228481132927432e-262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.623084555432971e-165,0.0,0.0,0.0,0.0
Shrew_office_Rose,4.4700473533624493e-13,0.0,0.0,7.043394436403376e-142,0.0,0.0,0.0,0.0,0.0,1.1736705090858393e-125,0.06288721033668698,0.937112316910859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0230744746817353e-213,0.0,2.6774811012715365e-51,0.0,0.0,0.0,0.0,0.0,0.0,2.9305273846941098e-36,1.7292375128927858e-22,0.0,0.0,0.0,0.0,4.7275200768340987e-07,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,3.375607910431322e-77,0.0,0.0,0.0,0.0,0.0,0.0,2.6156382513678733e-156,5.9591075098608e-194,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5913313914934467e-124,0.0,0.0,0.0,0.0,6.944127501603493e-136,0.0,0.0,0.0,0.0
Shrew_office_Katherine,5.512686745537199e-186,0.0,0.0,1.6429824516400884e-130,0.0,0.0,0.0,0.0,0.0,0.0,6.704486261439448e-114,2.9396358820515854e-66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43816002964064e-241,0.0,0.0,0.0,0.0,0.0,0.0,1.7780269681964277e-274,1.2422157187615723e-129,0.0,0.0,0.0,0.0,5.121088112452562e-92,0.0,0.0,0.0,0.0
Shrew_office_Ila,7.032426172542148e-82,0.0,0.0,0.999999999973098,0.0,0.0,0.0,0.0,0.0,2.7149123584085102e-158,3.5812324575159134e-20,2.379921125535709e-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.288302368663038e-206,0.0,1.0180203228125911e-33,0.0,0.0,0.0,0.0,0.0,0.0,1.1325183406045696e-91,5.017827468839541e-63,0.0,0.0,0.0,0.0,2.6901732215762738e-11,0.0,0.0,0.0,0.0
Shrew_office_Doug,9.501414756964815e-17,0.0,0.0,3.611138827990279e-80,0.0,0.0,0.0,0.0,0.0,0.0,4.311956890127347e-08,1.9220124160728107e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.952567272633982e-140,0.0,6.834936955297061e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.9991081005362303e-25,1.7418399918808884e-49,0.0,0.0,0.0,0.0,0.9999992541666113,0.0,0.0,0.0,0.0
