,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Robin_office_Antonina,0.0,0.0,0.0,1.555260163121097e-151,1.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,1.1807107642405827e-125,0.0,1.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.0,2.5024289388508612e-56,0.0,1.744394697383458e-39,0.0,1.0
Robin_lodging_Renea,0.0,0.0,0.0,1.0,0.0,9.777581562225883e-79,0.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,1.0885611712402881e-21,0.0,9.31802760018338e-24,0.0,1.0
Robin_education_Karyl,0.0,0.0,0.0,4.817058445175726e-71,0.0,1.0,0.0,0.0
Robin_lodging_Janie,1.0,0.0,0.0,0.0,0.0,1.5543880383138135e-202,0.0,0.0
Shrew_office_Sherill,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,3.7325514665385715e-30,0.0,1.0,0.0,0.0
Shrew_office_Nora,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,1.5677561664217433e-97,0.0,4.930290002165534e-37,0.0,1.0
Shrew_office_Ila,1.0,0.0,0.0,2.9269742996719204e-37,0.0,2.0039400520071296e-107,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,1.1623900584833224e-22,0.0,1.746658737280462e-06,0.0,0.9999982533412628
Shrew_office_Doris,1.0,0.0,0.0,1.6108097348567923e-75,0.0,3.040370428531786e-241,0.0,0.0
Shrew_office_Lin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,1.64611694416654e-109,0.0,1.0,0.0,0.0
Mouse_health_Buddy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,1.776093867440494e-108,0.0,1.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.0,2.435741189935032e-25,0.0,1.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,2.994491540709532e-132,1.0,1.6010448438075193e-190,0.0,0.0
Mouse_science_Micheal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
