,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44,Cluster_45,Cluster_46
Robin_education_Lashandra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.032734545539531e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.196596004555729e-125,0.0,2.519000082458128e-113,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0623687844545065e-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5054394572694274e-56,2.3682817933865924e-65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2787805908652034e-52,0.0,7.609170188606231e-82,0.0,0.0,0.0,0.0,0.0,0.0,6.619585726107729e-84,0.0,0.0,0.0,0.0,2.466858789374862e-69,0.0,0.0,3.163502708721829e-125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,0.0,8.17350723510858e-273,0.0,0.0,0.0,0.0,9.906732158073764e-28,6.638580577560421e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.267633000217718e-31,0.0,0.0,0.0,0.0,0.0,0.0,5.462367102640363e-17,0.0,0.0,0.0,0.0,2.1946169730304287e-29,0.0,0.0,1.1443623871441731e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.280537295704559e-57,3.062146970098008e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2910581499278299e-36,0.0,1.9205018856965764e-165,0.0,0.0,0.0,0.0,0.0,0.0,6.216401919663236e-120,0.0,0.0,0.0,0.0,2.297703362661355e-55,0.0,0.0,6.873500497856096e-212,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0692431490053874e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1757972070942277e-100,0.0,4.462779804384837e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9420068057925683e-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.466691144226465e-12,1.6233356004998275e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58436276570095e-14,0.0,8.133312020483329e-29,0.0,0.0,0.0,0.0,0.0,0.0,5.932427691566194e-37,0.0,0.0,0.0,0.0,0.9999999999964673,0.0,0.0,2.800161012883179e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999994510089,4.182487870960947e-174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4832049920132746e-16,0.0,5.489909470661272e-10,0.0,0.0,0.0,0.0,0.0,0.0,5.3150498051701016e-111,0.0,0.0,0.0,0.0,6.226253783826427e-95,0.0,0.0,2.632608418905174e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.159220507937879e-174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.268030893015878e-163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.50082101267209e-265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5634930713937885e-115,0.0,6.022738010606466e-137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.150974370127487e-281,5.021693058696755e-293,0.0,0.0,8.76145745720897e-258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.174167650917732e-54,2.115321651755459e-239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.974385406242077e-24,0.0,2.1231695897554263e-295,0.0,0.0,0.0,0.0,0.0,0.0,1.2229711390584241e-231,1.0,0.0,0.0,0.0,1.6268161228895335e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.068203475524197e-13,4.880635998729517e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.226965627515775e-12,0.0,2.4120591474767065e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.139072093995496e-06,0.0,0.0,0.0,0.0,2.7464345620826584e-28,0.0,0.0,0.9999988609181719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0772809231857515e-34,1.5836509699599503e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.623614249127241e-20,0.0,3.5679357153941667e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0230258955064143e-51,0.0,0.0,9.07373421396578e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.036039086688704e-28,3.317613008335083e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.191331832737233e-90,0.0,0.0,0.0,0.0,0.0,0.0,2.4997757750448247e-64,0.0,0.0,0.0,0.0,7.224357565360316e-22,0.0,0.0,2.3104616633729313e-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4076334084975857e-69,4.459603222543134e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.755602576161717e-21,0.0,4.6171370151454895e-249,1.0,0.0,0.0,0.0,0.0,0.0,7.531237271745115e-168,0.0,0.0,0.0,0.0,7.769789155785005e-51,0.0,0.0,1.144136485785656e-304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.071925822758591e-264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9005414329954395e-173,0.0,5.289106249880822e-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9384124975602517e-270,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16457796384972e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7084725448535345e-70,0.0,1.1229615581640031e-85,0.0,0.0,0.0,1.0,0.0,0.0,2.0761737978686054e-249,0.0,0.0,0.0,1.176e-321,5.019576697198347e-186,0.0,0.0,5.0481464062115036e-141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3577814151077161e-14,5.040887236362959e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999936,0.0,1.5153001323504722e-42,0.0,0.0,0.0,0.0,0.0,0.0,8.568082036982574e-24,0.0,0.0,0.0,0.0,1.029930974036327e-28,0.0,0.0,8.240250730660917e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.809618641839932e-221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.700200661674122e-148,0.0,1.4034696474457647e-122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.832998955890245e-204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.033345837196822e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6865223651144164e-36,0.0,1.212783620385516e-50,0.0,0.0,0.0,0.0,0.0,0.0,2.2132895469858705e-203,0.0,0.0,0.0,2.1495265182172422e-44,3.2748946375916936e-164,0.0,0.0,5.83741778136828e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,2.1011607365643902e-287,0.0,0.0,0.0,0.0,3.703945470636797e-09,7.794345597396952e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.009517872937656e-12,0.0,8.569650086576797e-14,0.0,0.0,0.0,0.0,0.0,0.0,6.652278614564246e-31,0.0,0.0,0.0,0.0,5.855788893288635e-46,0.0,0.0,0.9999999962909594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,1.5376600654053585e-288,0.0,0.0,0.0,0.0,4.345573550298639e-06,6.516701928382566e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5626541457022325e-08,0.0,1.2322868575847054e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.8026781483261853e-33,0.0,0.0,0.0,0.0,1.882397850322472e-60,0.0,0.0,0.9999956264770398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.554189583352333e-180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0745180110332456e-23,0.0,9.530772673570793e-26,0.0,0.0,0.0,0.0,0.0,0.0,3.8784068599697475e-72,0.0,0.0,0.0,0.0,4.97322046918598e-93,0.0,0.0,2.3246064301622368e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.697843451157045e-88,1.9397381534073416e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.191052742497769e-25,0.0,0.0,0.9999999999980602,0.0,0.0,0.0,0.0,0.0,7.384007310715377e-291,0.0,0.0,0.0,0.0,4.273054193301099e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443760444776926e-25,8.558551801000531e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999914415,0.0,1.2410450370627853e-51,0.0,0.0,0.0,0.0,0.0,0.0,1.967913163166473e-26,0.0,0.0,0.0,0.0,2.6351331291098087e-22,0.0,0.0,2.4990007006557218e-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.201093857885745e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7407743416089764e-154,0.0,4.4364734289725475e-188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2693e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.446776564532061e-90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.827814789433585e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7922491284254153e-261,0.0,0.0,0.0,0.0,3.4068544982531464e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9935118757925664e-52,5.99151410503133e-194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2344600369208374e-53,0.0,1.8125889387715773e-53,0.0,0.0,0.0,0.0,0.0,0.0,5.982675341772554e-70,0.0,0.0,0.0,0.0,1.5405965939304336e-58,0.0,0.0,3.070478520882563e-97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8908561519454838e-64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.445004509807175e-16,0.0,2.39160378e-315,0.0,0.0,0.0,0.0,0.0,0.0,2.076318614632102e-179,0.0,0.0,0.0,0.0,2.678532953344333e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43384282584866e-109,1.9727253178693395e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1429845166135994e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64561544958234e-121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Donald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1268696610401955e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9658781077234233e-28,0.0,4.285321497791098e-23,0.0,0.0,0.0,0.0,0.0,0.0,9.407429887504798e-139,0.0,0.0,0.0,1.0,2.1098135556076458e-115,0.0,0.0,2.260296009027074e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.178196815931188e-69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087218681009145e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6349837846327398e-254,0.0,0.0,0.0,0.0,1.0776475443867793e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1094218882544405e-71,4.399791215240381e-170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1509057623621785e-40,0.0,5.198323100785688e-137,0.0,0.0,0.0,0.0,0.0,0.0,4.689286588691938e-64,0.0,0.0,0.0,0.0,1.6822942756884242e-86,0.0,0.0,6.168819187973362e-141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.679002457839235e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.810528902492055e-71,0.0,2.2751033859533188e-104,0.0,0.0,0.0,0.0,0.0,0.0,2.0614165345653564e-166,0.0,1.0,0.0,0.0,1.1484845874108126e-189,0.0,0.0,2.4402728050756547e-167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7949446990752173e-48,4.191177466818568e-221,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0018510126103487e-51,0.0,2.0058291908804167e-68,0.0,0.0,0.0,0.0,0.0,0.0,4.902529456596819e-58,0.0,0.0,0.0,0.0,3.0686063923216243e-78,0.0,0.0,7.998521366064641e-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.859592074092254e-29,3.041251404467172e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3188884358093425e-12,0.0,5.5835316331765166e-160,0.0,0.0,0.0,0.0,0.0,0.0,4.099765656360868e-96,0.0,0.0,0.0,0.0,0.999999999998681,0.0,0.0,1.2086507783465556e-196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9717360257067074e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.200269390576427e-187,0.0,1.5736240039014494e-169,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56953623823036e-210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.477312680395129e-97,1.1116639478495596e-221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8347588253672113e-48,0.0,9.261034799962686e-230,0.0,0.0,0.0,0.0,0.0,0.0,8.909202522518885e-136,0.0,0.0,0.0,0.0,8.926930085036103e-120,1.0,0.0,2.2155366506939375e-304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8517230951734094e-20,6.456510969621719e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.511275597879638e-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5512870192857982e-153,0.0,0.0,0.0,0.0,2.067568014881244e-195,0.0,0.0,1.0559519008988103e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2363608694038973e-60,3.44372304074901e-198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.271757152267332e-24,0.0,1.5690600027467e-310,0.0,0.0,0.0,0.0,0.0,0.0,1.5873448780579985e-214,1.0,0.0,0.0,0.0,1.1869863770113828e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1517684635998867e-15,1.9750189561028265e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.632267425428323e-12,0.0,3.1473194646113935e-75,0.0,0.0,0.0,0.0,0.0,0.0,9.248351809351951e-49,0.0,0.0,0.0,0.0,0.9999999999933666,0.0,0.0,1.4929814351780066e-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8653837211027204e-19,5.153201199128214e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3617613150391231e-11,0.0,9.851236058213657e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.9999994309847475,0.0,0.0,0.0,0.0,1.620864095754615e-42,0.0,0.0,5.690016348103997e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.344002907814016e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7300018482232348e-79,0.0,5.6585100192832365e-229,0.0,0.0,0.0,0.0,0.0,0.0,2.0444177559249075e-221,0.0,0.0,1.0,9.264476009836947e-212,1.510337084381547e-137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1159465260379206e-269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.509423932048252e-276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.536129434620879e-44,3.8274932050129536e-163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.990232481441503e-35,0.0,1.0401412654373682e-83,0.0,0.0,0.0,0.0,0.0,0.0,7.751731647152368e-63,0.0,0.0,0.0,0.0,1.7430552778402312e-45,0.0,0.0,4.736726770104689e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5504105760760173e-141,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17037578763806e-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
