,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33
Robin_education_So,2.917174058275887e-130,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5688841197750397e-46,2.828032105186611e-241,0.0,0.0,6.900110453319024e-79,0.0,5.554436152320224e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0129960382462265e-161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,2.907487032329437e-37,3.630991104354745e-78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.906518304639415e-24,7.365338626699471e-66,0.0,0.0,9.472485671300035e-07,0.0,1.776759405807617e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.802958991333863e-64,0.0,0.0,0.9999990527514327,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Serena,1.962285533438487e-18,1.0004631537543642e-203,0.0,0.0,0.0,0.0,0.0,9.831496067460854e-14,0.0,1.3089347711574299e-08,1.5099102185078715e-08,0.0,0.0,1.735515412987717e-38,0.0,0.9999999718114521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68407657259304e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,1.0026176225338818e-111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.667822664655513e-40,1.7227290651779417e-176,0.0,0.0,1.1314115006308312e-55,0.0,1.8322161447788437e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9179892266072984e-141,0.0,0.0,1.3066959329899021e-267,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,5.298264130686443e-49,5.253867300272389e-118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.525748629202988e-13,2.6928599414786074e-83,0.0,0.0,1.9130482904923585e-10,0.0,6.81151486949972e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.653700572885176e-63,0.0,0.0,0.9999999998084421,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,1.6746500066354476e-16,1.9370274366763688e-151,0.0,0.0,0.0,0.0,0.0,8.638122058273144e-99,0.0,0.9998034050515903,4.273132395921686e-06,0.0,0.0,2.4879911622705257e-29,0.0,0.0001923218160136613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1150280056065733e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,7.453540843053766e-27,1.0365984260426877e-120,0.0,0.0,0.0,0.0,0.0,1.4442225917472833e-29,0.0,0.9999872201707762,5.348241266254046e-08,0.0,0.0,1.2783794020379632e-26,0.0,1.2726346810982622e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.933938224002881e-42,0.0,0.0,4.773013187725586e-205,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,1.0031066920632194e-33,3.814403081128661e-133,0.0,0.0,0.0,0.0,0.0,2.0596315036820253e-177,0.0,0.99999999747563,8.694932029495724e-16,0.0,0.0,1.617974714914722e-09,0.0,9.063939859496588e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5558242969890876e-47,0.0,0.0,6.995459058514352e-142,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,2.2005162558984615e-14,1.0162190863431146e-289,0.0,0.0,0.0,0.0,0.0,1.608989961243609e-08,0.0,1.4149784101945759e-84,1.4844230542505763e-24,0.0,0.0,5.344678588418834e-60,0.0,1.0078252746130863e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999838092962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,2.5706687099170143e-16,1.2760085440418868e-176,0.0,0.0,0.0,0.0,0.0,1.7522716400431195e-10,0.0,4.632738138234436e-14,5.571993336345395e-09,0.0,0.0,1.4003952386090123e-33,0.0,0.9999999942527333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.113880789758498e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,7.928991980437489e-127,4.7482081275437085e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.574511803201272e-73,6.684459939727928e-206,0.0,0.0,1.2828771447938465e-93,0.0,1.9581077758832016e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8306539326489904e-154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_public_Cami,1.3525453216626174e-25,3.550091624083693e-202,0.0,0.0,0.0,0.0,0.0,0.9999999999886597,0.0,1.733296893665375e-106,3.1643781320388684e-25,0.0,0.0,3.0687978662669175e-41,0.0,4.52222815882995e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.818583697070575e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,8.38332621780793e-46,4.08162854857777e-195,0.0,0.0,0.0,0.0,0.0,5.991562305283698e-194,0.0,1.5108722736464228e-38,5.848850026220905e-39,0.0,0.0,6.891220687638872e-44,0.0,1.7816430785736377e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7904331473072027e-62,0.0,0.0,8.959401816835493e-291,0.0,0.0,0.0,0.0,0.0,1.0
Robin_education_Billi,1.7852689764018554e-24,1.7164653234884233e-297,0.0,0.0,0.0,0.0,0.0,0.9999999956593619,0.0,1.5069498664646472e-69,5.4176558679281276e-18,0.0,0.0,1.1917678472470189e-52,0.0,4.340637051049958e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.579538794829749e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,2.0724491703335836e-21,6.025420908918984e-303,0.0,0.0,0.0,0.0,0.0,2.7878050222029967e-14,0.0,2.9062799583479166e-95,6.536184415235566e-35,0.0,0.0,3.0044330945871383e-72,0.0,8.365777624417473e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,1.7635874426159282e-36,7.326848966517807e-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1790439628019042e-07,8.229865365132893e-42,0.0,0.0,0.9999997819914908,0.0,1.040481896665814e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0172291297675577e-48,0.0,0.0,6.46929159531612e-14,0.0,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,4.262445774598764e-15,4.6794219671580676e-217,0.0,0.0,0.0,0.0,0.0,0.9999999993974815,0.0,1.2641271374421126e-85,1.3054819607525305e-19,0.0,0.0,8.371508848464106e-49,0.0,4.705265647389077e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3198769312061e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,1.0686797500333553e-40,9.269942404760554e-248,0.0,0.0,0.0,0.0,0.0,7.780772085570617e-139,0.0,3.8911216987881404e-21,0.9986659600600407,0.0,0.0,3.1822969354353055e-42,0.0,0.0013340399399598918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0804168670620372e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,7.774286945537272e-74,9.237364950363437e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.452002313979441e-53,4.9200023290197575e-81,0.0,0.0,1.0546068161002232e-129,0.0,6.310971822793609e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0569497090019194e-80,1.0,0.0,4.319320117878528e-122,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Saul,2.4471874697410336e-14,2.2751523033844387e-182,0.0,0.0,0.0,0.0,0.0,8.821138083556857e-190,0.0,1.1316070269722422e-14,0.9999999997719957,0.0,0.0,4.818079595082906e-25,0.0,2.2796776712364202e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.780928248155362e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.9995280642777314,8.15941510009713e-184,0.0,0.0,0.0,0.0,0.0,9.763643188937802e-93,0.0,4.204830507301622e-27,3.934328594159481e-09,0.0,0.0,7.675541486321121e-40,0.0,0.0004719301436588092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.644281072395978e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,2.0225703062537196e-154,5.156869648642371e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5477802783062537e-90,1.5788512902135054e-212,0.0,0.0,7.538786283574934e-120,0.0,9.407979657104651e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6758031059309394e-194,0.0,0.0,4.404571693212088e-247,1.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,8.752395156720872e-45,0.0,0.0,0.0,0.0,0.0,0.0,1.9604436580465788e-187,0.0,3.162734834457584e-36,4.6390740301688e-25,0.0,0.0,3.443867791222517e-106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.368697063942688e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,3.825125634875326e-21,3.608281320355484e-82,0.0,0.0,0.0,0.0,0.0,2.6613691197864746e-67,0.0,0.9999999999969829,9.054818369064304e-22,0.0,0.0,6.680640191052893e-38,0.0,3.0169289467663167e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1880647192899512e-43,0.0,0.0,3.851459646960172e-256,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,6.741886045004736e-22,2.266669992652657e-196,0.0,0.0,0.0,0.0,0.0,3.443735202185807e-198,0.0,1.8561113599897012e-65,8.014167519787819e-35,0.0,0.0,3.127584020163256e-39,0.0,6.183144714460018e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.483284007732837e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.9994853627474761,9.885798563701484e-149,0.0,0.0,0.0,0.0,0.0,2.2332505091605276e-61,0.0,4.367634338076476e-12,4.732093318471658e-11,0.0,0.0,8.496396286504881e-29,0.0,0.0005146372007078054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2705979866826135e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,5.374318226705821e-28,6.435167021674902e-162,0.0,0.0,0.0,0.0,0.0,6.600772892196922e-100,0.0,2.5411537352795233e-05,0.9999739635917931,0.0,0.0,6.985244205979402e-35,0.0,6.248708537737068e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.976641857627601e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,1.1708040739589258e-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.189766227409836e-75,6.102576614821134e-94,0.0,0.0,1.2774162631403343e-59,0.0,9.921697477177437e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1458306571819002e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Sherill,1.0984823399444816e-223,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.955220557235476e-160,0.0,0.0,0.0,3.3510722023877776e-154,0.0,2.764026474358909e-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.826218903827319e-259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,2.826329200316076e-13,4.990771744425875e-216,0.0,0.0,0.0,0.0,0.0,4.78823218445876e-133,0.0,1.188289208306206e-07,1.991634288114247e-11,0.0,0.0,2.396137096621782e-40,0.0,0.9999998811508801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7415992148853146e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,1.0289777416294981e-143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.849179614250296e-179,4.720396224862753e-306,0.0,0.0,5.430152512920488e-153,0.0,5.533539661469283e-84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.1998714880791794e-133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,5.095528819168237e-76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.763828026956743e-138,9.811938327920632e-72,0.0,0.0,4.295981515173832e-93,0.0,1.6321732370099083e-78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4091200916457707e-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,5.196280284797251e-30,5.074844476479666e-206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42692714021459e-11,8.655213580075738e-52,0.0,0.0,0.9999999903969945,0.0,9.548736593570916e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08885505423276e-37,0.0,0.0,8.304401249760895e-67,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,4.0401710120050415e-10,4.05841168727481e-140,0.0,0.0,0.0,0.0,0.0,1.703089906370964e-42,0.0,0.9999703753118686,3.21048369902684e-10,0.0,0.0,8.675563526606863e-18,0.0,2.9623963066179574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.730316982260593e-24,0.0,0.0,6.08730916575916e-262,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,5.336188680544774e-35,1.2769082019447608e-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875401653426829e-27,4.61238063427703e-66,0.0,0.0,1.0,0.0,1.0073065008313973e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7045775161081885e-55,0.0,0.0,1.6059500937952433e-99,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Lin,3.247618771969818e-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.725329879240532e-108,1.0726169501127052e-278,0.0,0.0,4.508197157737282e-78,1.0,2.0550992827725603e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9899080890917985e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,6.211234945099083e-72,1.3736825687217418e-288,0.0,0.0,0.0,0.0,0.0,1.1252340461745376e-203,0.0,5.031605589377778e-86,1.663439453709617e-62,0.0,0.0,1.8216870439976892e-66,0.0,7.55560886425336e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6237511159810277e-69,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.747084689488526e-218,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0217952901996604e-243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,9.263315406691225e-38,1.2801139304535412e-186,0.0,0.0,0.0,0.0,0.0,1.6451369848163972e-184,0.0,5.538969398694897e-31,1.0,0.0,0.0,1.4535796380780174e-33,0.0,2.4469354771153272e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767414139348717e-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.201502102044213e-197,0.0,0.0,0.0,0.0,0.0,2.3892454507303707e-169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,6.209129630416566e-24,1.092913472455981e-208,0.0,0.0,0.0,0.0,0.0,5.871004344280189e-59,0.0,0.01203879435479784,2.3450272922066266e-10,0.0,0.0,3.92374285871637e-38,0.0,0.9879612054106988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4595748673441503e-31,0.0,0.0,2.883392653549683e-216,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,1.0894100162063155e-177,1.3945895353591143e-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.524238966289236e-100,9.456496442419571e-289,0.0,0.0,4.436794578645801e-84,0.0,9.866101126411834e-85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3869321859987298e-223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.459820345477091e-285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
