,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20
Robin_office_Lindsay,0.0,0.0,0.9921673767802942,0.0,0.0,0.0,1.88037426187039e-11,1.84237424169645e-14,0.0,0.0,0.0,0.007594988678385312,0.0,0.0,2.3206663101290977e-49,1.0811623966116541e-05,0.0002268228985320041,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.9999998685799552,0.0,0.0,0.0,4.9148425475176164e-08,1.3005093059669916e-15,0.0,0.0,0.0,1.911903430817797e-17,0.0,0.0,1.9632429897146333e-42,7.972755870308045e-08,2.544059620863271e-09,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,3.6898382232578264e-14,0.0,0.0,0.0,1.9300377697840627e-17,0.9999115427707074,0.0,0.0,0.0,4.878603053463497e-79,0.0,0.0,7.51771334529164e-72,1.1298242408414215e-12,8.845722812529444e-05,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,1.3235215220853695e-06,0.0,0.0,0.0,8.43932194421799e-13,1.7483118016211052e-07,0.0,0.0,0.0,4.751137956498392e-10,0.0,0.0,2.233683646556423e-51,2.597241276412744e-06,0.9999959039300635,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.9999999999667157,3.3136092188876988e-52,0.0,0.0,0.0,1.820141454585175e-17,2.6942214744947477e-39,0.0,0.0,0.0,2.3942821603692757e-234,0.0,0.0,3.3284290526065164e-11,1.6275564085786636e-65,4.11139134796908e-54,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,1.982836230863876e-23,0.0,0.0,0.0,8.469419635010339e-21,0.9992040930124656,0.0,0.0,0.0,3.410184956801426e-77,0.0,0.0,1.6073727630552064e-68,1.5170122298472266e-15,0.0007959069875335483,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.002036441514787574,0.0,0.0,0.0,1.5670185844435758e-05,8.451465139851904e-16,0.0,0.0,0.0,7.406972561323137e-11,0.0,0.0,9.311577402876409e-46,0.997943953930649,3.934294648222881e-06,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,1.4993099331090441e-15,0.0,0.0,0.0,2.9264000545237635e-14,0.17727210380078132,0.0,0.0,0.0,5.305136570266944e-54,0.0,0.0,5.2694240635621255e-61,3.393987440143064e-15,0.8227278961991851,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,1.2536458959643871e-15,0.0,0.0,0.0,2.7681815838050173e-19,0.9999993917874017,0.0,0.0,0.0,3.46853518895048e-92,0.0,0.0,1.1614617416497088e-87,2.7297011377064893e-16,6.082125972943216e-07,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,0.0,2.7665850566016317e-06,0.0,0.0,0.0,0.9999972323585383,2.1975844175400894e-13,0.0,0.0,0.0,3.5408579502652323e-50,0.0,0.0,1.8098936843238452e-21,2.7610096414271623e-12,1.0534234552943004e-09,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,3.7205155097563796e-11,0.0,0.0,0.0,4.813204976265819e-15,0.9909297362103684,0.0,0.0,0.0,1.1844136514450642e-74,0.0,0.0,4.1775300214180825e-66,7.7545668002332e-09,0.009070255997854219,0.0,0.0,0.0,0.0
Robin_office_Soledad,0.0,0.0,7.13726364736495e-13,0.0,0.0,0.0,2.2206721539995645e-20,2.892448823513356e-13,0.0,0.0,0.0,2.468491389581865e-11,0.0,0.0,1.2304641281014293e-81,9.682421913877136e-12,0.9999999999646292,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,1.10457257025615e-41,0.0,0.0,0.0,2.5267859131244768e-42,1.795635824199781e-49,0.0,0.0,0.0,8.79217301036703e-86,0.0,0.0,9.044985632919978e-66,6.845132236285023e-51,1.8723736355138195e-47,0.0,0.0,1.0,0.0
Robin_office_Saul,0.0,0.0,5.818491644110562e-09,0.0,0.0,0.0,1.744913161637165e-16,6.364585732271644e-17,0.0,0.0,0.0,0.9997012145629346,0.0,0.0,2.758035640376732e-66,0.0002980398709606833,7.397476129277585e-07,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,1.6811249270132077e-09,0.0,0.0,1.045430974424013e-292,1.7069065830027828e-19,0.0021390661127857267,0.0,0.0,0.0,1.0933035373692639e-23,0.0,0.0,3.1569219750119016e-67,0.9737888124951297,0.024072119710959915,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,7.351465078412242e-52,0.0,0.0,8.437891604326699e-184,9.791439310155282e-15,7.393638027963996e-27,0.0,0.0,0.0,1.679428536491773e-229,0.0,0.0,0.9999999999999911,1.0555092145088587e-51,3.264535579593095e-42,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,4.088011332341655e-12,0.0,0.0,3.823364994626003e-140,1.5956100017888227e-24,8.89182653484107e-12,0.0,0.0,0.0,3.94286036832812e-40,0.0,0.0,3.140834907077129e-85,1.567577374044214e-19,0.9999999999870202,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.9999999950303273,0.0,0.0,0.0,4.953305053810676e-09,7.232850446539248e-16,0.0,0.0,0.0,1.033178272812445e-14,0.0,0.0,4.173776907687701e-36,2.0142715525165806e-16,1.6356636765464653e-11,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,7.365058917244813e-08,0.0,0.0,0.0,3.730201827488564e-10,0.9999871615211616,0.0,0.0,0.0,1.8165744159110798e-65,0.0,0.0,7.522870425801659e-55,2.6758949469162937e-06,1.0088560281554222e-05,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,3.1042163068038367e-06,0.0,0.0,0.0,7.667155089757265e-18,7.77052744825472e-07,0.0,0.0,0.0,8.10413649818034e-12,0.0,0.0,3.74027386665174e-58,0.9992516419286095,0.0007444767942346859,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,1.1185747622700429e-08,0.0,0.0,0.0,9.560342152617165e-21,4.2442854238239617e-20,0.0,0.0,0.0,0.9999858203771324,0.0,0.0,1.2979827236380794e-71,1.2208828355526565e-08,1.4156228291879314e-05,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,2.7352728801899054e-10,0.0,0.0,0.0,0.9999999997223128,1.6240325236726487e-12,0.0,0.0,0.0,1.8743382918357677e-80,0.0,0.0,3.730009282021393e-43,7.595167119529235e-16,2.5352645139629832e-12,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,7.046973304179853e-131,0.0,0.0,0.0,1.3970717397094377e-69,2.3546274898084373e-93,0.0,0.0,0.0,0.0,1.0,0.0,1.5608482906993294e-109,4.5265155314888657e-132,9.258636808003237e-109,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,8.716540616064372e-06,0.0,0.0,0.0,5.354311042096669e-20,1.1437456068069518e-06,0.0,0.0,0.0,2.889427678429219e-08,0.0,0.0,5.304613318614039e-66,0.002825610868872419,0.9971644999506274,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,4.458468006421568e-70,0.0,0.0,0.0,3.957447555081148e-49,1.2396338958600934e-50,0.0,0.0,1.0,1.840222942371693e-235,0.0,0.0,1.3917119352161927e-186,2.5021700208569557e-93,1.0303708580967834e-54,0.0,0.0,0.0,0.0
Shrew_office_Katherine,1.0,0.0,1.5639613054849976e-75,0.0,0.0,0.0,2.854526664059629e-59,6.685687120935539e-70,0.0,0.0,0.0,1.61065618042334e-65,0.0,0.0,7.051709229592588e-140,3.457930104778379e-53,1.7510344193682596e-58,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,3.173472650626405e-08,0.0,0.0,0.0,0.9999999620006549,1.4438623457541637e-12,0.0,0.0,0.0,6.667306043927434e-61,0.0,0.0,1.6544301248874934e-25,1.8049508762847176e-11,6.2451249135812385e-09,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.13202428966562307,0.0,0.0,0.0,2.8625267538096624e-11,6.193236090276185e-12,0.0,0.0,0.0,8.878706670555448e-07,0.0,0.0,4.955854298608212e-47,0.867906424706619,6.8397722271761e-05,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,1.2428932601764901e-14,0.0,0.0,0.0,0.9999999999999627,2.01010125045911e-19,0.0,0.0,0.0,2.871330600146675e-94,0.0,0.0,8.691463284254736e-22,9.639566237862348e-15,1.47330659685666e-14,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,2.042798032330059e-98,0.0,0.0,0.0,1.7201107015339247e-49,1.1065181491995064e-75,0.0,0.0,0.0,0.0,0.0,0.0,1.887267121419285e-74,2.1153266482100036e-95,4.8004531409186256e-86,0.0,1.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,8.706788849008528e-17,0.0,0.0,0.0,3.242465492209529e-16,1.367494257854819e-06,0.0,0.0,0.0,1.6710396852925045e-29,0.0,0.0,4.4990831231979997e-76,4.774841643897031e-17,0.9999986325057424,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,1.2472834179916193e-174,1.0,0.0,0.0,4.789605823038404e-169,2.267334662394385e-182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,1.0,0.0,3.694381234096868e-193,9.252396896009695e-133,0.0,0.0,0.0,0.0,0.0,0.0,2.858297437409366e-213,6.129046829948862e-301,1.2922769948930094e-251,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,2.384525806326208e-15,0.0,0.0,0.0,2.1019637374727812e-15,3.1072648632384252e-18,0.0,0.0,0.0,0.9999999436829723,0.0,0.0,3.014993764735203e-73,5.507197449720213e-09,5.0809825109187686e-08,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,4.4548318134989426e-187,0.0,0.0,0.0,6.383890746297396e-128,1.6980792810058794e-120,1.0,0.0,0.0,0.0,0.0,0.0,5.052437925962903e-82,1.0472281737548306e-251,1.2939854430544555e-170,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.9669725504878666,0.0,0.0,0.0,2.8738595470157174e-10,4.0043931092405205e-11,0.0,0.0,0.0,1.3139195462042729e-10,0.0,0.0,5.874091944745071e-47,1.4621565015990806e-05,0.03301282748829586,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,2.7066221935515485e-114,0.0,0.0,0.0,5.533957601282266e-59,2.3482361938118368e-63,0.0,0.0,0.0,0.0,0.0,0.0,1.4088542202872795e-61,2.83762794785483e-101,1.7961892588130613e-88,0.0,0.0,0.0,1.0
Mouse_science_Micheal,0.0,0.0,5.690242356444111e-199,0.0,0.0,0.0,3.7143245747678256e-180,1.1135730924491007e-207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
