,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32
Robin_education_Audrea,1.0,0.0,6.206027918713279e-47,0.0,0.0,0.0,1.4719018890740393e-148,0.0,0.0,0.0,0.0,4.6128503106914666e-120,0.0,2.1075594896516098e-71,0.0,0.0,3.645702807731297e-51,1.2426822725085435e-46,9.237364950363437e-110,0.0,0.0,0.0,0.0,0.0,2.4356195347776966e-77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,1.3755864832307746e-21,0.0,0.0,0.0,1.0080318154442493e-86,0.0,0.0,0.0,0.0,2.3937278872720606e-80,0.0,0.9895545564615901,0.0,0.0,0.0102880127800915,0.0001574307583177686,4.7100076084922033e-181,0.0,0.0,0.0,0.0,0.0,5.893143307811953e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,7.184014406410192e-35,0.0,0.0,0.0,2.4567728640344103e-14,0.0,0.0,0.0,0.0,2.442060327172112e-10,0.0,1.3716761739876077e-26,0.0,0.0,0.9982048444055196,0.0017951553502499572,6.995908624849438e-183,0.0,0.0,0.0,0.0,0.0,7.061452431493424e-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,1.5167530145415296e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0181183796406812e-124,0.0,2.8609455450749664e-133,0.0,0.0,1.2491471932463315e-83,7.712111570248259e-69,5.156869648642371e-147,0.0,0.0,0.0,0.0,0.0,2.6377892548462363e-104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,4.753235920058051e-50,0.0,0.0,0.0,2.870563027978746e-61,0.0,0.0,0.0,0.0,2.6347467340203823e-44,0.0,1.2140112276415952e-55,0.0,0.0,9.383965028796885e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.407773015316101e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.999999999562295,0.0,0.0,0.0,2.1917128418409043e-22,0.0,0.0,0.0,0.0,1.2928227222297195e-110,0.0,4.374861531501144e-10,0.0,0.0,6.2475436644693e-18,2.1921376745848406e-13,2.562480381266795e-82,0.0,0.0,0.0,0.0,0.0,2.943562716515069e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,1.4267752844634376e-45,0.0,0.0,0.0,1.6162026352572227e-33,0.0,0.0,0.0,0.0,0.9999999205171881,0.0,7.353915854886697e-64,0.0,0.0,3.3309886018107243e-09,7.615182349854164e-08,1.1362151009228864e-190,0.0,0.0,0.0,0.0,0.0,2.148670626381839e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,2.3021573752679137e-19,0.0,0.0,0.0,8.283308217511917e-24,0.0,0.0,0.0,0.0,6.849288123312216e-25,0.0,1.6229130194125296e-12,0.0,0.0,0.9998231027492008,0.00017689724917607905,2.0607346682284742e-148,0.0,0.0,0.0,0.0,0.0,1.9138351928206322e-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,4.666606336493812e-18,0.0,0.0,0.0,2.962957576150046e-39,0.0,0.0,0.0,0.0,4.125088801290718e-51,0.0,0.9999698649362236,0.0,0.0,1.2122817262586115e-08,3.012294095896972e-05,2.5583206107521966e-162,0.0,0.0,0.0,0.0,0.0,8.22415486443474e-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,3.0262474339476556e-67,0.0,0.0,0.0,5.641778297366674e-175,0.0,0.0,0.0,0.0,9.61489823780345e-85,0.0,1.2491799261517429e-100,0.0,0.0,2.5562472170248865e-50,7.474576517343785e-45,0.0,0.0,1.0,0.0,0.0,0.0,3.101704454873437e-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,1.1328431102344231e-299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-324,0.0,0.0,8.643824729839025e-133,1.9540756700286242e-97,0.0,0.0,0.0,0.0,1.0,0.0,1.6686533727493373e-214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,5.648691117595058e-24,0.0,0.0,0.0,1.0792589000112057e-07,0.0,0.0,0.0,0.0,8.332647098773321e-38,0.0,1.5822152402449133e-09,0.0,0.0,0.0029376812275361142,0.9970622092643582,6.79524239081865e-215,0.0,0.0,0.0,0.0,0.0,6.33661881947757e-107,0.0,7.795498807274452e-127,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,4.769993239763903e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.120428036919606e-119,1.0,1.9293038112071184e-217,0.0,0.0,1.9765768865038564e-94,8.946658347469502e-53,0.0,0.0,0.0,0.0,0.0,0.0,5.49962351982488e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,2.798112075637366e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.627556586671218e-165,0.0,8.090321134223353e-80,0.0,0.0,1.4793025941837976e-53,7.962257869734412e-58,0.0,0.0,0.0,0.0,0.0,1.0,1.67074572719603e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,8.766163664323547e-18,0.0,0.0,0.0,1.449030675345962e-45,0.0,0.0,0.0,0.0,1.5235053997672602e-80,0.0,3.980592478045351e-33,0.0,0.0,8.879831707036092e-13,6.151131405818968e-09,1.3775152146266688e-205,0.0,0.0,0.0,0.0,0.0,0.9999999938479807,0.0,5.947285784182081e-158,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.005638507864477448,0.0,0.0,0.0,9.092374067094888e-20,0.0,0.0,0.0,0.0,7.689089980942116e-67,0.0,0.004935456054181521,0.0,0.0,0.989346050747446,7.998533389474202e-05,7.644049734954475e-139,0.0,0.0,0.0,0.0,0.0,6.120807419270733e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,3.9318012301496934e-70,0.0,0.0,1.0,7.211031915039594e-121,0.0,0.0,0.0,0.0,5.360300493576278e-141,0.0,2.8909027596921954e-85,0.0,0.0,9.555026535699959e-48,6.242862466122516e-45,2.1179426921217737e-212,0.0,0.0,0.0,0.0,0.0,7.43178197588489e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,9.536121770387663e-209,0.0,0.0,0.0,3.254141719839703e-259,0.0,0.0,0.0,0.0,7.11100750386552e-245,0.0,4.915877777452627e-217,0.0,0.0,1.2613732929824863e-95,1.0752698710194189e-77,0.0,0.0,0.0,1.0,0.0,0.0,2.1720517151270302e-139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,6.063871869835867e-43,0.0,0.0,0.0,1.6068372349179994e-84,0.0,0.0,0.0,0.0,8.136845214934924e-28,0.0,8.758570041311994e-38,0.0,0.0,3.0624601451783775e-17,1.0,9.24442064675776e-255,0.0,0.0,0.0,0.0,0.0,4.7609489683051846e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,4.245495662812084e-240,0.0,1.0,0.0,9.734824152308172e-215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.603303178608024e-302,3.289891387228249e-223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,4.7312245369214205e-58,0.0,0.0,0.0,1.1851131412858867e-178,0.0,0.0,0.0,0.0,6.333895403942094e-88,0.0,2.273434059578259e-37,0.0,0.0,9.926962361678113e-41,1.322813804907672e-38,2.9787466503619772e-217,0.0,0.0,0.0,0.0,0.0,5.471725013835514e-109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.61094e-319,0.0,0.0,0.0,0.0,8.894284637362072e-255,3.533626972392031e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.00033103175035924964,0.0,0.0,0.0,6.771568526616502e-17,0.0,0.0,0.0,0.0,2.4333646951348414e-57,0.0,4.613343505696181e-06,0.0,0.0,0.00012741712503627298,0.9995369377810985,7.5918638542181985e-208,0.0,0.0,0.0,0.0,0.0,1.1608239027250362e-37,0.0,7.887636681451811e-277,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,3.022694654790393e-230,0.0,0.0,0.0,4.3334599453544125e-300,0.0,0.0,0.0,0.0,4.476929448693315e-123,0.0,1.014181135302681e-179,1.0,0.0,2.032590912344628e-101,6.2156901178444845e-80,1.3945895353591143e-200,0.0,0.0,0.0,0.0,0.0,2.139873419074238e-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,6.940707986190829e-262,0.0,0.0,0.0,4.747687897081838e-233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
