,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34
Robin_education_Lashandra,0.0,0.0,7.731392592728043e-130,0.0,7.291948409502767e-93,6.686027206240073e-76,0.0,0.0,0.0,1.7578494574832478e-216,2.0161332299443834e-162,0.0,0.0,1.3551603791438955e-65,0.0,0.0,1.1034386921950735e-64,4.946364827696879e-248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.323421544804185e-106,0.0,0.0,0.0
Robin_education_Lizbeth,1.0,0.0,5.860936032367541e-70,0.0,6.1989158896081834e-183,8.394020627081323e-72,0.0,0.0,0.0,5.9233320472560045e-55,1.574428548390983e-67,0.0,0.0,1.3051782753937012e-44,0.0,0.0,1.5298411539803627e-66,3.99955792434813e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3670995632865825e-54,0.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,3.2047495565511643e-25,0.0,4.120722092889806e-159,0.9999997291921432,0.0,0.0,0.0,3.765109595618901e-15,1.4765856407878915e-42,0.0,0.0,1.402071594298979e-10,0.0,0.0,4.6658001744887666e-21,4.121578445736521e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.706264297158087e-07,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,1.2537640651400453e-12,0.0,7.661724246703312e-193,1.728886820054788e-20,0.0,0.0,0.0,1.1992376220665688e-20,4.952783502135661e-38,0.0,0.0,6.145262750153132e-26,0.0,0.0,1.013306430913061e-24,0.9999999998113314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8741492526660266e-10,0.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,5.628054260526688e-82,0.0,1.451423949892116e-80,2.349099288872952e-32,0.0,0.0,0.0,1.171469927597901e-118,8.906841822235953e-18,0.0,0.0,9.58178652397802e-20,0.0,0.0,1.0,7.031399894582475e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5575738432426473e-82,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,2.0163287811305676e-13,0.0,1.2103800971570086e-164,1.5180847013898733e-22,0.0,0.0,0.0,2.5171275615779902e-22,1.2292808835350125e-34,0.0,0.0,6.121216239491784e-06,0.0,0.0,1.8402985212837455e-31,9.13371986992577e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999938787834676,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,7.190226087818246e-40,0.0,2.450853147096985e-126,2.1088095554361467e-15,0.0,0.0,0.0,1.0774023759494897e-42,1.8144139767741746e-21,0.0,0.0,0.9999999999999414,0.0,0.0,5.0713350421595864e-14,6.1607369874138715e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.740119942555829e-22,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,3.5359764835196655e-135,0.0,0.0,1.1665630645534364e-111,0.0,0.0,0.0,2.3573825092516613e-232,1.6938097332189045e-146,0.0,0.0,2.6340992761815013e-129,0.0,0.0,1.0869675766590521e-119,1.935116882216793e-189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8639528724122446e-109,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,2.738530131269456e-115,0.0,0.0,1.849858727783846e-92,0.0,0.0,0.0,6.97996988483847e-148,7.106795044576325e-83,0.0,0.0,1.1872452174831771e-63,0.0,1.0,1.2831888788520933e-177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.836906236803935e-114,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,1.924011266571265e-18,0.0,5.382813839634212e-230,7.818062981687086e-29,0.0,0.0,0.0,1.970832194450911e-46,4.3190189013390334e-79,0.0,0.0,3.438832881211211e-58,0.0,0.0,1.4180792528679076e-41,1.2186698382215976e-48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.344956710371334e-27,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,2.3154417018589713e-37,0.0,2.3365277507962647e-157,0.0008105505603491994,0.0,0.0,0.0,0.9990246641865574,4.5667200665276593e-32,0.0,0.0,0.00014345909527500465,0.0,0.0,5.192181176967863e-29,1.1346108415528908e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132615781850291e-05,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,1.7989027050684768e-55,0.0,5.990156877080408e-129,2.2150253560210448e-13,0.0,0.0,0.0,0.999999965745301,7.678940984685806e-35,0.0,0.0,3.424386851467245e-08,0.0,0.0,7.61826351850552e-32,1.8778067586293998e-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0608570162535424e-11,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,4.2871913584504684e-14,0.0,1.1298134639248689e-188,6.597713957067299e-08,0.0,0.0,0.0,2.2904242148807143e-29,1.0271054249295866e-24,0.0,0.0,1.383348000672007e-19,0.0,0.0,1.7824558977856994e-16,0.9999999304919089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53090805780404e-09,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.9999999999435918,0.0,1.9421570235185793e-244,2.559603840368239e-37,0.0,0.0,0.0,1.5295376573158817e-31,3.3485774468632795e-46,0.0,0.0,4.394130020841435e-40,0.0,0.0,1.1771153795797415e-48,5.640865020845087e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0905212125349651e-20,0.0,0.0,0.0
Robin_education_So,0.0,0.0,1.013003344885806e-161,0.0,1.0,2.0219235604809035e-76,0.0,0.0,0.0,1.2900049429468286e-268,7.358126471167796e-79,0.0,0.0,3.912165159090103e-63,0.0,0.0,1.983118716051533e-110,2.7757681092288312e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.691740413683472e-168,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,5.627575633885053e-62,0.0,5.373089365463313e-76,1.1847718670292439e-27,0.0,0.0,0.0,1.8682123592457764e-76,0.00013973686750377962,0.0,0.0,2.081223924226116e-20,0.0,0.0,0.9998602631324959,1.0261731352844132e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.852271983990932e-54,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,1.2277404341699928e-23,0.0,3.3340973858806635e-204,0.9998380724793263,0.0,0.0,0.0,1.1259196788100852e-09,5.926892528480585e-39,0.0,0.0,1.2273535687709165e-10,0.0,0.0,1.6321864437155893e-22,0.00016192619551162285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.650688602377746e-11,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,1.9180019569870976e-141,0.0,1.0,6.495581799739156e-62,0.0,0.0,0.0,7.239425758086152e-193,1.1989644863628225e-55,0.0,0.0,4.413373849320358e-49,0.0,0.0,3.593893194145004e-86,1.2237331399151743e-218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3413358300928187e-122,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,4.655663627368195e-61,0.0,1.4791172219788856e-115,6.399172786797152e-15,0.0,0.0,0.0,4.86071766047507e-92,5.319349001587125e-08,0.0,0.0,1.2678931976183166e-12,0.0,0.0,0.9999999468052355,4.328292033197566e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.688260671425816e-34,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,5.222440025370378e-36,0.0,9.072408341289984e-151,0.9872899132051716,0.0,0.0,0.0,2.307817327365104e-10,1.16976971142552e-28,0.0,0.0,0.012710086355328906,0.0,0.0,3.2861080727059474e-24,4.3701525541542876e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0871792808429647e-10,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,1.5724313941849965e-41,0.0,5.5555930192310556e-120,0.019364350761067736,0.0,0.0,0.0,1.7309697227634825e-13,6.908422337561222e-26,0.0,0.0,0.9806356491774717,0.0,0.0,1.8045754285913484e-17,6.128691645441691e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8967303967720864e-16,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,6.110590058873962e-48,0.0,9.119648435669441e-134,3.749540099496489e-10,0.0,0.0,0.0,4.951798948752183e-28,3.7970575878942573e-10,0.0,0.0,0.9999999992453397,0.0,0.0,4.077290434070873e-18,1.402647853735678e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.078645944607124e-21,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.9999999193519497,0.0,1.0162192479805605e-289,2.8761972961435415e-44,0.0,0.0,0.0,5.211234067381492e-37,5.495163360763052e-60,0.0,0.0,7.117163223557779e-77,0.0,0.0,1.3793483585451946e-50,8.064804984119974e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.400448542511078e-23,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,5.197475899132815e-22,0.0,5.953972474155303e-177,0.9794966142773911,0.0,0.0,0.0,1.631195103319696e-10,6.736218289600539e-34,0.0,0.0,1.0357205198814805e-14,0.0,0.0,4.6967604338787413e-20,0.020503194069074672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.914904047042004e-07,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,5.830684144765394e-154,0.0,4.7482081275437085e-129,1.2966337154370652e-93,0.0,0.0,0.0,1.4671431279871722e-237,1.2908992325620295e-93,0.0,0.0,3.0888200239521667e-83,0.0,0.0,1.5495443327710468e-49,5.010143917343937e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.636340672779783e-166,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,2.7973443292477282e-11,0.0,1.456435530215948e-201,8.662414506073759e-36,0.0,0.0,0.0,4.293070784953372e-32,1.2861387251480522e-40,0.0,0.0,3.7338086017053144e-94,0.0,0.0,7.151279243322533e-43,0.9999999999720268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.976654186814577e-23,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,1.8449473516062997e-30,0.0,2.6986421767691133e-163,6.291980275223775e-15,0.0,0.0,0.0,9.877218066523476e-11,4.542467383047667e-12,0.0,0.0,1.9125632453340913e-05,0.0,0.0,2.6056063496343902e-18,5.147352693355993e-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999808742642264,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,1.0775373727189874e-13,0.0,1.1709456817165607e-295,9.589021446794282e-19,0.0,0.0,0.0,6.785998882779137e-21,8.274403901851337e-51,0.0,0.0,1.498760890463617e-63,0.0,0.0,4.1358880465602665e-31,0.9999999999998916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1401476505468022e-39,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.9999999966055144,0.0,6.025420941670732e-303,7.173303636079517e-47,0.0,0.0,0.0,1.2197120931158923e-51,3.0465192668772073e-72,0.0,0.0,3.1680083020164e-88,0.0,0.0,4.493084208814397e-48,3.394485797629671e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59887822494463e-33,0.0,0.0,0.0
Robin_office_Donald,0.0,0.0,1.0264966102927902e-48,0.0,7.393587822582618e-126,3.213372853652139e-12,0.0,0.0,0.0,1.2083581489493316e-50,0.9974002418958373,0.0,0.0,1.642061136446517e-07,0.0,0.0,0.0025995938948358424,4.315641044466197e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2361135271850138e-21,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,8.681396416744188e-09,0.0,3.0778548931207116e-215,1.742740816231697e-27,0.0,0.0,0.0,4.551915931090846e-22,5.668240664747274e-47,0.0,0.0,1.6740230840870584e-77,0.0,0.0,1.758175734067666e-30,0.9999999913186031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.774874737395131e-16,0.0,0.0,0.0
Robin_office_Soledad,0.0,0.0,3.795673794507953e-48,0.0,3.2566625180108214e-248,1.044774594949701e-14,0.0,0.0,0.0,0.9999999999911289,1.0919794086926677e-42,0.0,0.0,2.5400577832570172e-23,0.0,0.0,4.700156708626213e-35,5.154665041411321e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.860209081311386e-12,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,3.0569575495664662e-80,0.0,9.237364950363437e-110,3.630767283394483e-65,0.0,0.0,0.0,7.445891570671433e-90,1.2759158357806458e-129,0.0,0.0,3.269576166419106e-50,0.0,0.0,3.608678465744563e-81,4.7364979747584325e-169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.759308217182996e-75,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,1.3213086416427396e-82,0.0,1.0809970422009393e-213,2.7081881513223344e-42,0.0,0.0,0.0,5.476260574362229e-38,2.2793086259413087e-56,0.0,0.0,1.2240609784048068e-44,0.0,0.0,1.8425644017538717e-53,8.845758272104081e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.690870243727543e-51,0.0,0.0,1.0
Robin_lodging_Donna,0.0,0.0,7.809743009663652e-10,0.0,3.8754277960559076e-184,1.220702967415962e-29,0.0,0.0,0.0,3.884675216165629e-19,3.693434863374128e-40,0.0,0.0,1.9387598813893857e-27,0.0,0.0,4.024685322010652e-31,1.2476049426748395e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999094265,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,1.675812627976776e-194,0.0,5.156869648642371e-147,1.5927703103403318e-113,0.0,0.0,0.0,1.6946144434878862e-223,8.963776748555915e-120,0.0,0.0,2.927908447219432e-97,0.0,0.0,4.030380502367114e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9227173974752346e-138,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,4.74551134299e-74,0.0,0.0,4.891815654458853e-51,0.0,0.0,0.0,1.4427252871723264e-59,2.2193675268471107e-140,0.0,0.0,1.1286720049737169e-72,0.0,0.0,1.4626921618846413e-95,5.1477073389960414e-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31970199902111e-60,1.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,7.846750447794703e-44,0.0,2.383138040550759e-82,5.864759848039722e-10,0.0,0.0,0.0,1.3251996638533224e-45,4.4379277389949853e-38,0.0,0.0,0.9999999994134052,0.0,0.0,2.2709414590325754e-20,1.185648111378435e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.326927994275221e-56,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,4.483286104264594e-25,0.0,2.2666699926554917e-196,3.2717982731397264e-29,0.0,0.0,0.0,2.682892291428052e-39,3.151699894674942e-39,0.0,0.0,2.232454308630029e-60,0.0,0.0,1.0861047429540228e-38,4.351878058923774e-21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24949666519831e-23,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,4.200121637899299e-14,0.0,3.267874070483337e-149,1.0989735339849366e-16,0.0,0.0,0.0,1.8206288871515515e-18,2.830144522352803e-29,0.0,0.0,2.0916573512835978e-13,0.0,0.0,1.9607840987664278e-28,4.063942024818697e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999997491,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,3.0785898992887003e-50,0.0,2.839642283254469e-162,4.5569755812949815e-11,0.0,0.0,0.0,0.9999998595547935,3.0395183153216427e-35,0.0,0.0,1.4021923718953215e-07,0.0,0.0,4.25953264708125e-30,4.331484332012764e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.803993926625237e-10,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,1.1458332472141054e-79,0.0,0.0,1.3912760074792644e-64,0.0,0.0,0.0,1.2367266680891952e-96,1.2890086997386354e-59,0.0,0.0,9.680198440920824e-72,0.0,0.0,2.0573496900448567e-95,2.587436302183429e-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5355042724414507e-59,0.0,1.0,0.0
Shrew_office_Sherill,0.0,0.0,1.826233269979799e-259,0.0,0.0,1.1740898397299735e-171,0.0,0.0,0.0,0.0,4.00912275202177e-154,0.0,0.0,4.4413702078800984e-182,0.0,0.0,2.5294800858878678e-166,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9634926192048475e-166,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,1.642192900762225e-20,0.0,2.989424105627226e-216,0.9999914722840835,0.0,0.0,0.0,3.7162003685704506e-15,1.4778810228815692e-40,0.0,0.0,3.3786568478161585e-11,0.0,0.0,6.432520942769237e-36,2.8467538176808693e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6809283087186785e-06,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,5.199893552228426e-133,0.0,0.0,3.3752637811208356e-137,0.0,0.0,0.0,2e-323,6.662558132052696e-153,0.0,1.0,1.123738787276197e-168,0.0,0.0,2.3949983834908734e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1511290684075055e-128,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,3.4091208075839186e-181,0.0,0.0,2.7328611452560754e-149,0.0,0.0,0.0,9.089800752292386e-96,4.409485971518803e-93,0.0,0.0,2.7061585583581114e-118,0.0,0.0,4.961867681525889e-79,7.622390670065357e-303,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8540932302154647e-153,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,1.0871686900219453e-37,0.0,5.06697981344748e-206,1.0827212425804668e-16,0.0,0.0,0.0,1.3906035399265534e-59,0.9999999998770877,0.0,0.0,2.9913261397533774e-12,0.0,0.0,1.199191114571222e-10,7.824331334630402e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9674531413361378e-15,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,7.721241082917978e-24,0.0,8.40034973817329e-140,1.150818107317622e-11,0.0,0.0,0.0,2.0328754882375086e-18,1.810453788627327e-17,0.0,0.0,0.9992121942116088,0.0,0.0,5.66776137972399e-19,2.8810722860497144e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007878057768828448,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,2.6839779578659832e-55,0.0,1.267180083928124e-181,2.4342472434205232e-32,0.0,0.0,0.0,1.6073402791075803e-72,0.9999999962336314,0.0,0.0,2.848875769732317e-28,0.0,0.0,3.7663693863723375e-09,4.595457925258277e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2356103091297978e-38,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,1.9899190457918148e-171,0.0,0.0,2.1182376827850388e-118,0.0,0.0,0.0,5.773920318873485e-292,4.815669811489922e-78,0.0,0.0,2.9000018452677218e-123,0.0,0.0,4.380523267156072e-109,1.3627809354253073e-250,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.520565519766378e-113,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,1.6237552489397883e-69,0.0,1.3736825687217418e-288,1.1023685778042428e-59,0.0,0.0,0.0,4.4303594512828317e-66,1.81895125658663e-66,0.0,0.0,3.0640118079969184e-80,0.0,0.0,2.0970608400350286e-75,7.0958372559072665e-149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.49131539909675e-69,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6015515409908654e-190,0.0,0.0,1.29910452e-315,3.346234125467606e-235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0323822906925883e-299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
