,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38
Robin_education_Lashandra,0.0,0.0,0.0,0.0,6.629452959297589e-121,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.329675672716503e-180,0.0,7.291948409502767e-93,0.0,0.0,0.0,0.0,0.0,4.5119562099319866e-66,0.0,5.701455459817887e-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,5.660492437205612e-124,0.0,0.0,0.0,9.024179459860028e-54,6.104115484628936e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.641556432842005e-99,0.0,6.1989158896081834e-183,0.0,0.0,0.0,0.0,0.0,1.299550269999921e-44,0.0,1.7595842217548052e-89,0.0,0.0,0.0,2.3682818162690386e-65,0.0,0.0,0.0,6.623613764383097e-84,1.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,0.0,0.0,2.723075781963051e-50,0.0,0.0,0.0,2.533725639698225e-15,4.561916664481818e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999979279,0.0,5.87191851932379e-161,0.0,0.0,0.0,0.0,0.0,1.9000272236032538e-12,0.0,1.7017389859898495e-13,0.0,0.0,0.0,1.1294218866327232e-27,0.0,0.0,0.0,9.291651444596468e-18,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,3.00341504597647e-60,0.0,0.0,0.0,3.3372600503619677e-12,0.9999999999966631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30707434307049e-36,0.0,4.203478483296748e-193,0.0,0.0,0.0,0.0,3.8e-322,3.015868713180666e-26,0.0,1.7992008070750522e-27,0.0,0.0,0.0,3.746367073060619e-50,0.0,7.766919387351879e-134,0.0,7.603600738069256e-90,0.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,6.284906610014611e-48,0.0,0.0,0.0,3.031945211535835e-259,2.055577896792705e-209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8207032938505335e-133,0.0,1.3356310749910965e-111,0.0,0.0,0.0,0.0,0.0,5.321384498651687e-51,1.0,1.5593440469338109e-176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,1.6267402688698995e-92,0.0,0.0,0.0,3.6938350107385803e-11,0.99999394965564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0167598351139832e-44,0.0,1.3081829101889162e-164,0.0,0.0,0.0,0.0,0.0,6.050307421827117e-06,0.0,6.470732274990911e-38,0.0,0.0,0.0,6.98543102747511e-43,0.0,0.0,0.0,2.554835893350663e-35,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,1.3382622739525557e-34,0.0,0.0,0.0,1.7692497608333443e-46,4.1483961586251856e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.718627123486829e-32,0.0,2.432824083391222e-126,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.312679517185815e-93,0.0,0.0,0.0,5.056106135583788e-173,0.0,0.0,0.0,6.422681453138075e-110,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,0.0,4.007545653800957e-134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.324126634025611e-249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.885778266122418e-130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,5.00984541094626e-83,0.0,0.0,0.0,2.7130531936760753e-221,1.2018989838249704e-260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77566628726843e-162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.136818480871723e-64,0.0,4.406876411627076e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,0.0,1.6165911249503088e-75,0.0,0.0,0.0,4.221119247594146e-75,3.5998181471939226e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.322103989402474e-41,0.0,5.382813839634212e-230,0.0,1.0,0.0,0.0,0.0,3.3927617351037124e-58,0.0,1.0864704831109408e-39,0.0,0.0,0.0,2.115321665023936e-239,0.0,0.0,0.0,1.22092323844707e-231,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,0.0,0.0,6.396114834905648e-99,0.0,0.0,0.0,0.9999650476699338,1.0494994282567755e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9968480391737717e-14,0.0,5.331498776655014e-158,0.0,0.0,0.0,0.0,0.0,2.7813805292199768e-05,0.0,1.5641924111381898e-20,0.0,0.0,0.0,3.059826977292406e-131,0.0,0.0,0.0,7.138524744387546e-06,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,1.1915115958944073e-83,0.0,0.0,0.0,6.431223536842344e-11,1.616460409561581e-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56658300519086e-32,0.0,1.1162180421173013e-130,0.0,0.0,0.0,0.0,0.0,5.813726825109844e-10,0.0,4.789490934560712e-21,0.0,0.0,0.0,1.5835792776768405e-154,0.0,0.0,0.0,0.9999999993543152,0.0,0.0,0.0
Robin_education_Kiera,0.0,1.0,0.0,0.0,1.4086071467722924e-58,0.0,0.0,0.0,1.5104424794180223e-59,1.550693584367318e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.007486050079233e-43,0.0,9.268358510455229e-219,0.0,0.0,0.0,0.0,0.0,1.0741111524477107e-49,0.0,9.182413716702128e-56,0.0,0.0,0.0,1.8366029271375082e-78,0.0,4.648295002633355e-117,0.0,1.3838636470710238e-94,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,0.0,6.353185001644744e-77,0.0,0.0,0.0,2.1399629294607296e-46,1.5146672677188254e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.457965015598064e-60,0.0,1.6378429734714558e-249,0.0,0.0,0.0,0.0,1.0,3.719123566414841e-45,0.0,1.378286952834367e-24,0.0,0.0,0.0,4.459603226572312e-35,0.0,0.0,0.0,7.528917907537215e-168,0.0,0.0,0.0
Robin_education_So,0.0,0.0,0.0,0.0,4.646108914366347e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0268133139188123e-228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.068362663143978e-64,0.0,3.366087658468459e-263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.767716460231321e-145,8.245218008787318e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45087471121271e-68,0.0,6.819444943596784e-76,0.0,0.0,0.0,0.0,0.0,2.1945045672579875e-20,0.0,6.738823636260399e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816630919279488e-219,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,0.0,0.0,1.4160429044479555e-56,0.0,0.0,0.0,9.585817243638778e-10,1.8190181699917558e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999998995488,0.0,1.3222568557111748e-204,0.0,0.0,0.0,0.0,0.0,4.591756517350812e-11,0.0,5.0816380241813586e-17,0.0,0.0,0.0,1.299374277088785e-14,0.0,3.741179743760986e-81,0.0,2.2082059397550918e-24,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,0.0,1.6740990378952789e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1332341859523715e-185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2298965470418087e-49,0.0,1.7553076683428103e-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,0.0,0.9999999999998144,0.0,0.0,0.0,5.6658736629411034e-148,1.2498930932942453e-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6192626972329655e-48,0.0,2.884154246923037e-116,0.0,0.0,0.0,0.0,0.0,1.8532517386245863e-13,0.0,9.230508467012324e-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.423752785090236e-199,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,0.0,9.317451739827539e-87,0.0,0.0,0.0,0.9997784611081199,2.2918122741655005e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33611659092942e-11,0.0,1.8137518910910807e-152,0.0,0.0,0.0,0.0,0.0,0.0002215388285189652,0.0,6.237114069300977e-34,0.0,0.0,0.0,8.088365421320284e-100,0.0,0.0,0.0,6.89899578038068e-29,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,0.0,9.896407130947187e-50,0.0,0.0,0.0,6.453763849754182e-10,5.173978497344948e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.80481138300593e-06,0.0,5.6746155056637345e-120,0.0,0.0,0.0,0.0,0.0,0.9999971945432404,0.0,4.646310524617904e-51,0.0,0.0,0.0,7.906056959445276e-29,0.0,0.0,0.0,3.3986785492393683e-31,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,0.0,7.094589630028986e-58,0.0,0.0,0.0,1.497987322651236e-35,1.366299860728306e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.858217059924801e-28,0.0,9.07247895550822e-134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.015888644212384e-90,0.0,0.0,0.0,4.89876437576496e-178,0.0,0.0,0.0,2.5144456111527343e-70,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,0.0,2.811041510329398e-72,0.0,0.0,0.0,2.7576781867009616e-47,7.01355284353908e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.667387051818715e-66,0.0,1.2251181615119951e-293,0.0,0.0,0.0,0.0,0.9999999999980602,8.42113242466136e-81,0.0,3.0550389814013387e-32,0.0,0.0,0.0,1.9397381531901474e-12,0.0,2.744222517122144e-78,0.0,7.36544053819445e-291,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,0.0,1.221216823019265e-45,0.0,0.0,0.0,1.3768335842450565e-10,5.669420041651572e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999998344937,0.0,2.0258257682056356e-177,0.0,0.0,0.0,0.0,0.0,3.3017568439437977e-15,0.0,7.924517170586921e-17,0.0,0.0,0.0,2.7819542516806292e-11,0.0,2.7584365098318645e-144,0.0,6.39562720737301e-26,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,6.57282962030083e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5268865186851894e-217,0.0,4.7482081275437085e-129,0.0,0.0,0.0,0.0,0.0,8.858890747293574e-84,0.0,1.9682703314414794e-283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,7.87959419783642e-102,0.0,0.0,0.0,1.673862202937118e-38,6.686339363522074e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2047312652774594e-48,0.0,3.5500915783650425e-202,0.0,0.0,0.0,0.0,0.0,8.777643310719331e-95,0.0,4.056421019926046e-31,0.0,0.0,0.0,0.9999999999999991,0.0,3.20470195795356e-114,0.0,2.783082540762991e-261,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,0.0,1.071290058379056e-76,0.0,0.0,0.0,5.08713169274362e-56,1.990993289602118e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.442617087007682e-69,0.0,4.08162854857777e-195,0.0,0.0,0.0,1.0,0.0,2.7936904629004003e-37,0.0,2.2908905693616326e-75,0.0,0.0,0.0,5.991514177636801e-194,0.0,0.0,0.0,5.983299567954077e-70,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,3.5151471977203495e-68,0.0,0.0,0.0,1.4032539222178948e-29,1.7074931185349134e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.471146854216625e-26,0.0,1.7164653819853964e-297,0.0,0.0,0.0,0.0,0.0,2.035988829934605e-65,0.0,8.970032725412282e-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0722747136824765e-179,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,1.5923542262330434e-107,0.0,0.0,0.0,9.058471253801749e-54,3.413236106017545e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696226591633086e-70,0.0,9.673087441808025e-306,0.0,0.0,0.0,0.0,0.0,4.7311364150945194e-91,0.0,1.0445518378979469e-46,0.0,0.0,0.0,4.4754816991158975e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,0.0,0.0,0.0,0.9999999852574337,0.0,0.0,0.0,5.108578539609135e-108,1.309817521094883e-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1155262404474714e-39,0.0,7.613680323698545e-127,0.0,0.0,0.0,0.0,0.0,1.4742566217476077e-08,0.0,1.9069092004443795e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90390594029254e-135,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,1.0432253905369827e-60,0.0,0.0,0.0,4.21159117317312e-34,1.5993804897944678e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.212441875301012e-38,0.0,4.679421943781687e-217,0.0,0.0,0.0,0.0,0.0,2.4469570832921772e-79,0.0,2.5413836703270697e-30,0.0,0.0,0.0,1.0,0.0,1.0452638135187947e-75,0.0,2.626521004599636e-254,0.0,0.0,0.0
Robin_office_Soledad,0.0,0.0,0.0,0.0,2.4884332205887795e-90,0.0,0.0,0.0,2.826066207108737e-12,5.8498560132584155e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.377741952053768e-27,0.0,1.8542094195279126e-249,0.0,0.0,0.0,0.0,0.0,1.1972282646995198e-24,0.0,0.9999999999971738,0.0,0.0,0.0,1.5563336401407832e-140,0.0,3.0990689648397935e-216,0.0,1.6580054328216296e-34,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,0.0,2.4356193823612696e-77,0.0,0.0,0.0,1.3425913842867615e-132,9.221273128770634e-136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5165261044581036e-95,0.0,9.237364950363437e-110,0.0,0.0,0.0,0.0,0.0,2.92871309075401e-50,0.0,1.2205287547062826e-126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0605991931066158e-166,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,0.0,9.98367925325025e-64,0.0,0.0,0.0,0.9999999999999218,4.513757703672113e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.383135747987581e-27,0.0,7.979311112549047e-183,0.0,0.0,0.0,0.0,0.0,7.912508112536412e-14,0.0,9.403265471760645e-40,0.0,0.0,0.0,3.0936911095371683e-190,0.0,0.0,0.0,3.61716838533129e-27,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,8.484201950911283e-87,0.0,0.0,0.0,2.6198892354132217e-15,0.999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7593249350769667e-54,0.0,8.405455360571717e-185,0.0,0.0,0.0,0.0,0.0,3.6487329085312433e-28,0.0,5.4710383819930635e-15,0.0,0.0,0.0,1.0058039830492251e-93,0.0,0.0,0.0,1.356046315981505e-95,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,1.0,2.637788641855353e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9812406823474704e-281,0.0,5.156869648642371e-147,0.0,0.0,0.0,0.0,0.0,7.780127130050102e-98,0.0,1.1283833657074075e-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,3.587319608274942e-137,0.0,0.0,0.0,6.470413848530232e-53,5.133121266310989e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2650376284705832e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.629060869778539e-73,0.0,6.91479259539132e-63,0.0,0.0,0.0,1.1116639543477834e-221,0.0,0.0,0.0,8.895807188957016e-136,0.0,0.0,1.0
Robin_office_Zelma,0.0,0.0,0.0,0.0,2.7361322340843543e-54,0.0,0.0,0.0,3.7302812718955485e-31,1.1402624486071641e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.801116773707054e-23,0.0,2.3819050012692816e-82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.9847381768612635e-79,0.0,0.0,0.0,1.7568261251266704e-67,0.0,0.0,0.0,4.2140435232989294e-152,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,0.0,4.286447204705252e-87,0.0,0.0,0.0,9.395284788375309e-72,1.7481807176965744e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0312735206547814e-41,0.0,2.2666699926554917e-196,0.0,1.0,0.0,0.0,0.0,2.1786360999731347e-60,0.0,6.580180343465716e-36,0.0,0.0,0.0,3.44372306079392e-198,0.0,0.0,0.0,1.5849850529063988e-214,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,0.0,2.218225956669535e-91,0.0,0.0,0.0,1.1253290048730899e-08,0.999999988746572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0607448984440796e-34,0.0,2.3884905611296136e-149,0.0,0.0,0.0,0.0,0.0,1.381679366974129e-13,0.0,7.016754396289261e-23,0.0,0.0,0.0,5.395708789582435e-62,0.0,0.0,0.0,2.527642443235032e-47,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,1.6154301604935284e-89,0.0,0.0,0.0,6.92640310441644e-05,4.177321853266529e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3848949525255248e-20,0.0,5.025185380793029e-162,0.0,0.0,0.0,0.0,0.0,2.204141269649006e-07,0.0,1.173173856483137e-16,0.0,0.0,0.0,5.154492880199808e-100,0.0,0.0,0.0,0.9999305155548289,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,3.101704707579377e-64,0.0,0.0,0.0,1.121576283151217e-147,2.042848766466034e-152,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6751738276947554e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.991846126623037e-72,0.0,1.4858596899932172e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0448315972022832e-221,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,1.6686527146114416e-214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1563204372742734e-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.0,5.0450984833382035e-107,0.0,0.0,0.0,0.9999986483413186,1.2741445945518148e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351164193292285e-06,0.0,5.410249199780992e-215,0.0,0.0,0.0,0.0,0.0,4.93213216362681e-10,0.0,9.144603767900627e-24,0.0,0.0,0.0,5.1906761828754004e-132,0.0,6.206635088382558e-127,0.0,1.0510174889234941e-31,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,0.0,5.499624327341483e-75,0.0,0.0,0.0,2.9128486926707963e-250,1.0300542842455008e-244,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.863825292642342e-226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1022144199432906e-169,0.0,1.5913253036584152e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,1.670745235765908e-110,0.0,0.0,0.0,6.526591784680836e-80,1.1626841573410824e-105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7968381155516964e-224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.053088403708056e-118,0.0,1.2422096913779439e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0198381386063596e-141,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,0.0,0.99999999999336,0.0,0.0,0.0,2.13979628818503e-115,2.4726894277252055e-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.305797584396064e-45,0.0,1.3775151827366522e-205,0.0,0.0,0.0,0.0,0.0,6.640233871919513e-12,0.0,1.0992004160528535e-62,0.0,0.0,0.0,0.0,0.0,5.9472855697017385e-158,0.0,2.581503278245879e-148,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,6.7987897316853845e-56,0.0,0.0,0.0,8.267143725663135e-15,3.482229888020179e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5862605723866797e-24,0.0,8.490759533366928e-140,0.0,0.0,0.0,0.0,0.0,0.9999999651776929,0.0,2.1272004125891987e-49,0.0,0.0,0.0,3.5630969832872806e-42,0.0,0.0,0.0,7.015198566484857e-37,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,0.0,0.0,7.431781091445706e-58,0.0,0.0,0.0,4.309235107322243e-200,3.385403302793557e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4124131264927295e-110,0.0,2.1179426921217737e-212,0.0,0.0,0.0,0.0,0.0,3.389266490594459e-59,0.0,1.05348192877247e-111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.788118976217832e-267,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,0.0,0.0,2.17205094319393e-139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82599025491914e-289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6155707904228364e-124,0.0,4.849932478549668e-258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
