,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41
Robin_education_Lashandra,0.0,0.0,0.0,1.443334242842862e-91,0.0,0.0,0.0,0.0,0.0,0.0,1.3646298190006147e-116,0.0,0.0,0.0,0.0,0.0,7.291948409502767e-93,0.0,0.0,0.0,0.0,0.0,0.0,1.9826994827027786e-158,1.2914779615637278e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.048515637385735e-270,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,2.7147587619219434e-50,0.0,0.0,0.0,0.0,0.0,0.0,3.6765864427802947e-72,0.0,0.0,0.0,0.0,0.0,6.1989158896081834e-183,0.0,0.0,0.0,0.0,0.0,0.0,7.130919058141152e-58,1.0255794928608064e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23976607109533e-104,0.0,1.0,0.0,0.0,6.630670604128592e-84
Robin_office_Gayle,0.0,0.0,0.0,0.9999999999952145,0.0,0.0,0.0,0.0,0.0,0.0,1.259755645910444e-16,0.0,0.0,0.0,0.0,0.0,6.255487225074819e-159,0.0,0.0,0.0,0.0,0.0,0.0,4.540428049009513e-20,4.7851602517950634e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.90298865552918e-16
Robin_office_Shirlene,0.0,0.0,0.0,0.9999999999927063,0.0,0.0,0.0,0.0,0.0,0.0,6.795196337556586e-30,0.0,0.0,4.2964868613305295e-133,0.0,0.0,2.3252706993174626e-192,0.0,0.0,0.0,0.0,0.0,0.0,7.29450088349712e-12,5.70332018410732e-32,2.11e-321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.220145894228865e-89
Robin_education_Madeline,0.0,0.0,0.0,2.166225153941429e-80,0.0,0.0,0.0,0.0,0.0,0.0,6.188524148669449e-84,0.0,0.0,0.0,0.0,0.0,1.3356310749910965e-111,0.0,0.0,0.0,0.0,0.0,0.0,3.2924210062753076e-105,4.925028355884061e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.477157735850428e-173,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,1.6336735197623382e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0706937653428614e-14,0.0,0.0,0.0,0.0,0.0,4.455635034867861e-165,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999835429,8.974145279926782e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28098668e-315,0.0,0.0,0.0,0.0,8.699923601422773e-36
Robin_education_Jasper,0.0,0.0,0.0,3.1640038118653534e-12,0.0,0.0,0.0,0.0,0.0,0.0,5.256951420393978e-14,0.0,0.0,0.0,0.0,0.0,1.4539105865240712e-126,0.0,0.0,0.0,0.0,0.0,0.0,5.694365626242025e-14,0.9999999999967271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5838907145719096e-92,0.0,3.8627486057427226e-110
Robin_office_Wai,0.0,0.0,0.0,1.4525857478631047e-134,0.0,0.0,0.0,0.0,0.0,0.0,1.9192618791220373e-175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1013740547611197e-196,7.412651418737989e-196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,1.150974370125655e-281,0.0,7.700440689378627e-109,0.0,0.0,0.0,0.0,0.0,0.0,2.3097638089627557e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6417134057635e-201,4.7084150295899795e-67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.507799308730214e-200,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,4.627897121936279e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.2690588490388967e-48,0.0,0.0,0.0,0.0,0.0,5.382813839634212e-230,0.0,0.0,0.0,0.0,0.0,1.0,6.509443962420176e-39,3.217730734316003e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2354802517224085e-231
Robin_office_Addie,0.0,0.0,0.0,3.970989884151251e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.9999887388728438,0.0,0.0,0.0,0.0,0.0,8.400728801921638e-158,0.0,0.0,0.0,0.0,0.0,0.0,3.1163723969278263e-12,5.4763829525867735e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1257153049774154e-05
Robin_education_Cecilia,0.0,0.0,0.0,8.321480410381813e-21,0.0,0.0,0.0,0.0,0.0,0.0,7.732345658372024e-14,0.0,0.0,0.0,0.0,0.0,1.1163221167837808e-130,0.0,0.0,0.0,0.0,0.0,0.0,7.705199238739736e-35,7.918344676964317e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999227
Robin_education_Kiera,0.0,0.0,0.0,0.9999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,6.517579853457077e-25,0.0,0.0,2.916203795964162e-87,0.0,0.0,5.814695981050018e-189,0.0,0.0,0.0,0.0,0.0,0.0,8.459569329208427e-16,4.661953274257999e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3061713909099563e-305,0.0,8.698447846638682e-65
Robin_lodging_Pricilla,0.0,0.0,0.0,6.817794089819689e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.6313721604536052e-42,0.0,0.0,0.0,0.0,0.0,1.6378429734878415e-249,0.0,0.0,0.0,0.0,0.0,0.0,2.647337963934847e-32,4.652709225273305e-41,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.577680210744326e-168
Robin_education_So,0.0,0.0,0.0,1.832349616669398e-85,0.0,0.0,0.0,0.0,0.0,0.0,2.5638552711125534e-133,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5200580637206656e-211,8.713770167546988e-153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,3.2663436508589304e-294,0.0,2.106845592313456e-30,0.0,0.0,0.0,0.0,0.0,0.0,2.818552136104053e-49,0.0,0.0,0.0,0.0,0.0,3.6309771673588e-78,0.0,0.0,0.0,0.0,0.0,0.0,1.5765841337349706e-53,2.147492179907653e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.840069732580014e-222
Robin_office_Serena,0.0,0.0,0.0,0.9999912285683048,0.0,0.0,0.0,0.0,0.0,0.0,8.771431694564508e-06,0.0,0.0,1.7829459709536264e-80,0.0,0.0,6.3015216988374985e-204,0.0,0.0,0.0,0.0,0.0,0.0,4.2077564184700027e-16,5.076113442091256e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.188146802226084e-105,0.0,0.0,0.0,0.0,1.0531983016838124e-23
Robin_education_Derrick,0.0,0.0,0.0,9.16392616226832e-82,0.0,0.0,0.0,0.0,0.0,0.0,2.288783178846593e-121,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.937624854767002e-185,5.412150518500189e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3065856561433688e-267,0.0,0.0
Robin_education_Megan,0.0,7.831301136307611e-42,0.0,2.7687001716509075e-23,0.0,0.0,0.0,0.0,0.0,0.0,7.328973220195056e-33,0.0,0.0,0.0,0.0,0.0,5.253875305675272e-118,0.0,0.0,0.0,0.0,0.0,0.0,1.668438530284975e-42,7.144261921825748e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.161076580612444e-201
Robin_office_Adolph,0.0,0.0,0.0,4.522681192962773e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999954747327,0.0,0.0,0.0,0.0,0.0,1.5505253351565255e-153,0.0,0.0,0.0,0.0,0.0,0.0,2.5860768843744912e-12,1.0887448421459199e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.910598977398417e-30
Robin_office_Lindsay,0.0,0.0,0.0,2.9226812911165386e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9999183009089619,0.0,0.0,0.0,0.0,0.0,3.441579941135541e-120,0.0,0.0,0.0,0.0,0.0,0.0,3.416854101495773e-16,7.877640974669283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5844824073717242e-204,0.0,2.065816728565321e-31
Robin_education_Takako,0.0,0.0,0.0,2.5533449858303764e-22,0.0,0.0,0.0,0.0,0.0,0.0,2.9763243965846602e-09,0.0,0.0,0.0,0.0,0.0,1.457018586524869e-134,0.0,0.0,0.0,0.0,0.0,0.0,1.2862630294876655e-21,0.999999997023675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6719980078704095e-143,0.0,4.055694675554608e-71
Robin_lodging_Oliva,0.0,0.0,0.0,3.2297350240179516e-16,0.0,0.0,0.0,0.0,0.0,0.0,6.305523630939919e-63,0.0,0.0,2.7442225170962494e-78,0.0,0.0,1.2251181615004349e-293,0.0,0.0,0.0,0.0,0.0,0.0,5.699489642014155e-35,6.971522633841538e-72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6875328730025054e-75,0.0,0.0,0.0,0.0,7.467318896118082e-291
Robin_office_Victor,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2335012441269713e-18,0.0,0.0,1.3318377974442672e-144,0.0,0.0,9.781161609180159e-178,0.0,0.0,0.0,0.0,0.0,0.0,1.2806506896827335e-16,6.577943650064701e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.210888318561693e-76,0.0,0.0,0.0,0.0,3.0903348291470096e-26
Robin_education_Margarito,0.0,0.0,0.0,2.2404606179836328e-114,0.0,0.0,0.0,0.0,0.0,1.0,5.324564871860497e-135,0.0,0.0,0.0,0.0,0.0,4.7482081275437085e-129,0.0,0.0,0.0,0.0,0.0,0.0,2.7669023333784596e-164,2.3858619718223785e-138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,1.4874902724475389e-41,0.0,0.0,0.0,0.0,0.0,0.0,3.647328961252698e-122,0.0,0.0,2.5189278102174683e-143,0.0,0.0,2.7904075083701153e-231,0.0,0.0,0.0,0.0,0.0,0.0,3.197629375264443e-69,3.868467949382476e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.056480365404605e-187,0.0,0.0,0.0,1.0,2.2164554041860973e-290
Robin_education_Kristopher,0.0,0.0,0.0,1.1521746676990967e-55,0.0,0.0,0.0,0.0,0.0,0.0,1.0844674301051565e-50,0.0,0.0,0.0,0.0,0.0,4.08162854857777e-195,0.0,0.0,0.0,0.0,0.0,0.0,3.9285558730484624e-46,2.267677984001771e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.957901149862911e-291,0.0,5.99349395733984e-70
Robin_education_Billi,0.0,0.0,0.0,3.0252466122023813e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.8141944395895694e-60,0.0,0.0,0.0,0.0,0.0,1.4670443367929821e-301,0.0,0.0,0.0,0.0,0.0,0.0,1.1901443493775537e-48,5.28524067040257e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7867343530686477e-183
Robin_lodging_Celia,0.0,0.0,0.0,5.536213196001474e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.1430816459712298e-59,0.0,0.0,1.0,0.0,0.0,9.673087441808025e-306,0.0,0.0,0.0,0.0,0.0,0.0,6.204421886488906e-28,1.6870929018575694e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,0.9999999999999996,0.0,9.500232148172957e-22,0.0,0.0,0.0,0.0,0.0,0.0,2.3844927688967774e-32,0.0,0.0,0.0,0.0,0.0,3.7615510767368544e-130,0.0,0.0,0.0,0.0,0.0,0.0,2.241091659204941e-34,3.513581591323233e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3212561332574453e-18,0.0,9.488693474054205e-139
Robin_assembly_Colleen,0.0,0.0,0.0,1.325466545226817e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.04881567335164e-49,0.0,0.0,1.2084159342258722e-77,0.0,0.0,5.409819001383271e-219,0.0,0.0,0.0,0.0,0.0,0.0,7.077497167565986e-26,2.3117981106028987e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999986748,0.0,0.0,0.0,0.0,3.075866751827355e-256
Robin_office_Soledad,0.0,0.0,0.0,2.803866329664584e-37,0.0,0.0,0.0,0.0,0.0,0.0,2.5990850404062197e-52,0.0,0.0,8.761139739150343e-246,0.0,0.0,5.2418929731606e-279,0.0,0.0,0.0,0.0,0.0,0.0,1.2515885027936836e-60,2.8997682232118015e-66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.695282972241205e-64
Robin_education_Audrea,0.0,0.0,0.0,1.2368364619982464e-70,0.0,0.0,0.0,0.0,0.0,0.0,6.443609995047387e-88,0.0,0.0,0.0,0.0,0.0,9.237364950363437e-110,0.0,0.0,0.0,0.0,0.0,0.0,9.979802749334175e-126,5.757132812442946e-47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.319286747239104e-122,0.0,2.076140454203571e-166
Robin_office_Saul,0.0,0.0,0.0,6.994388200172855e-50,0.0,0.0,0.0,0.0,0.0,0.0,2.474134024134113e-59,1.0,0.0,0.0,0.0,0.0,1.0809970422009393e-213,0.0,0.0,0.0,0.0,0.0,0.0,1.218541006245716e-58,1.8912150453109277e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9101813453434314e-58
Robin_lodging_Donna,0.0,0.0,0.0,5.254978095829358e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.1793072697905733e-24,0.0,0.0,0.0,0.0,0.0,2.9546933289540225e-184,0.0,0.0,0.0,0.0,0.0,0.0,0.9999947450219044,1.848283918964662e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.781109916644258e-95
Robin_office_Antonina,0.0,0.0,0.0,2.431690807148803e-148,1.0,0.0,0.0,0.0,0.0,0.0,9.135917180809882e-187,0.0,0.0,0.0,0.0,0.0,5.156869648642371e-147,0.0,0.0,0.0,0.0,0.0,0.0,3.1723329306381006e-237,8.372465557476727e-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.404032591139015e-247,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,1.269966788518888e-46,0.0,0.0,0.0,0.0,0.0,0.0,3.843930147113923e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.50589738613595e-104,1.4909625781831915e-83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.935330111751923e-136
Robin_office_Zelma,0.0,0.0,0.0,3.460625475625722e-16,0.0,0.0,0.0,0.0,0.0,0.0,2.1481188237337149e-10,0.0,0.0,0.0,0.0,0.0,2.6054110886105686e-82,0.0,0.0,0.0,0.0,0.0,0.0,4.4972187205633574e-36,0.9999999997851878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.543727561352613e-198,0.0,0.0,2.78060728631302e-256,0.0,4.66117140907653e-152
Robin_lodging_Renea,0.0,0.0,0.0,1.2329380961374881e-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0229991020793924e-44,0.0,0.0,0.0,0.0,0.0,2.2666699926554917e-196,0.0,0.0,0.0,0.0,0.0,1.0,1.9239753498535554e-24,2.89518113941676e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6020275086548038e-214
Robin_lodging_Armand,0.0,0.0,0.0,9.081637112424764e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.63370492903574e-13,0.0,0.0,0.0,0.0,0.0,1.8454045787531795e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999990909729,1.4681308307692694e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9545641679651886e-48
Robin_education_Karyl,0.0,0.0,0.0,2.134573409027383e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.7026770404112925e-06,0.0,0.0,0.0,0.0,0.0,5.0234658644234385e-162,0.0,0.0,0.0,0.0,0.0,0.0,2.5620078522979597e-22,6.011490013427507e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999995297109502
Robin_lodging_Janie,0.0,9.264476009865384e-212,0.0,1.647873322625872e-79,0.0,0.0,0.0,0.0,0.0,0.0,1.759396008195564e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5731168671126138e-105,2.613460052090983e-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0623514594945076e-221
Shrew_office_Sherill,0.0,0.0,0.0,2.1595306550495202e-203,0.0,0.0,0.0,0.0,0.0,0.0,3.691199480301902e-269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5e-324,3.288545263486364e-302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.42404283167502815,0.0,0.0,0.0,0.0,0.0,0.0,0.5759555735576386,0.0,0.0,6.748642357083157e-127,0.0,0.0,5.882710420717227e-215,0.0,0.0,0.0,0.0,0.0,0.0,1.5947673341325188e-06,2.647215020884981e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1441245874693155e-31
Shrew_office_Nora,0.0,0.0,0.0,6.433225307659018e-150,0.0,0.0,0.0,0.0,1.0,0.0,1.0273104749617135e-203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.662157344044312e-266,2.8826318468320867e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,3.7215279187805043e-110,0.0,0.0,0.0,0.0,0.0,0.0,1.0806120361517502e-237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.864152357681288e-194,2.4726216088350703e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0205993446167038e-141
Shrew_office_Ila,0.0,1.0,0.0,1.0899564185794646e-17,0.0,0.0,0.0,0.0,0.0,0.0,9.04291309014403e-36,0.0,0.0,4.0012759531485906e-162,0.0,0.0,9.267788323232772e-210,0.0,0.0,0.0,0.0,0.0,0.0,3.0160013847673386e-29,4.379682421065192e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5165178961903382e-70,0.0,1.7511677502961866e-152
Shrew_office_Doug,0.0,0.0,0.0,4.498190396192521e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.500578781985731e-06,0.0,0.0,0.0,0.0,0.0,1.2591698099750147e-139,0.0,0.0,0.0,0.0,0.0,0.0,0.9991591524490951,0.000830897153083337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8883757828114825e-261,0.0,1.0414593722426205e-36
Shrew_office_Doris,0.0,0.0,0.0,1.1143896641552173e-59,0.0,0.0,0.0,0.0,0.0,0.0,3.175823900450483e-78,0.0,0.0,0.0,0.0,0.0,2.1179426921217737e-212,0.0,0.0,0.0,0.0,0.0,0.0,1.2782103872222355e-80,2.13405309409691e-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.66362681850926e-130,0.0,6.887724344994819e-267
