,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42
Robin_education_Lashandra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2115412742394274e-210,0.0,0.0,0.0,3.3267966047338026e-66,0.0,0.0,0.0,0.0,1.8694757045804316e-91,0.0,1.0,0.0,0.0,1.778872217402176e-216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,2.0433718424686304e-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9471696444718523e-16,0.0,0.0,0.0,0.0,6.820478104690477e-27,0.0,0.0,0.0,0.0,8.786357492837708e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.248163039395577e-76,0.0,0.0,0.0,0.0,0.0,3.1613982674640963e-62,0.0,0.0
Robin_office_Gayle,0.0,2.1757902008173558e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29697491881365e-108,0.0,0.0,0.0,8.774605515102895e-10,0.0,0.0,0.0,0.0,0.9999999991225152,0.0,0.0,0.0,0.0,2.4691448194287664e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423677047696793e-271,4.547751554296335e-32,0.0,0.0
Robin_office_Shirlene,0.0,4.193887568681011e-36,0.0,0.0,0.0,0.0,2.317e-321,0.0,0.0,0.0,0.0,0.0,9.84835660785293e-139,0.0,0.0,0.0,1.7663073830296397e-25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.021444096550063e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7143029406779514e-133,0.0,0.0,0.0,0.0,7.068388816574753e-26,0.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.914809168056066e-153,0.0,0.0,0.0,4.60088469655507e-51,0.0,0.0,0.0,0.0,3.3834820894067703e-87,0.0,0.0,0.0,0.0,1.095837487213438e-149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,3.4821842038093623e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999985347363408,0.0,0.0,0.0,1.4643760910937169e-06,0.0,0.0,0.0,0.0,1.872847535427359e-14,0.0,0.0,0.0,0.0,6.780876452636821e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3498655e-316,0.0,0.0,0.0,0.0,0.0,8.87549086187323e-10,0.0,0.0
Robin_education_Jasper,0.0,6.549520418174062e-145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.875848825416432e-42,0.0,0.0,0.0,0.9999999999999618,0.0,0.0,0.0,0.0,3.871869145771851e-14,0.0,0.0,0.0,0.0,1.0765095475320249e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.628194420439004e-92,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9715348622119603e-130,1.0,0.0,0.0,0.0,3.680129854604826e-171,0.0,0.0,0.0,0.0,2.335789111588641e-232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,0.0,1.150974370314996e-281,0.0,0.0,0.0,0.0,0.0,0.0,2.819514496230839e-204,0.0,0.0,0.0,7.94633456992178e-64,0.0,0.0,0.0,0.0,5.603885238420571e-118,0.0,0.0,0.0,0.0,6.936397075916518e-148,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,4.757515040879933e-275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3918915694576885e-83,0.0,0.0,0.0,3.344372560044508e-58,0.0,0.0,0.0,0.0,3.807925613113207e-19,0.0,0.0,1.0,0.0,1.9736355240413667e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8896138199795624e-100,0.0,0.0
Robin_office_Addie,0.0,3.195699909772124e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195131835159335e-44,0.0,0.0,0.0,0.00011485629107702605,0.0,0.0,0.0,0.0,1.2869811777900993e-08,0.0,0.0,0.0,0.0,0.9998851308391108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.693476172438205e-20,0.0,0.0
Robin_education_Cecilia,0.0,3.568168835017935e-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6673849993630885e-87,0.0,0.0,0.0,3.025396453074928e-08,0.0,0.0,0.0,0.0,2.8661848853865123e-21,0.0,0.0,0.0,0.0,0.9999999697460358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3832268664162965e-55,0.0,0.0
Robin_education_Kiera,0.0,5.2844654951816565e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2115008096639531e-178,0.0,0.0,0.0,1.0835309190659096e-49,0.0,0.0,0.0,0.0,3.411715153592463e-32,0.0,0.0,0.0,0.0,1.874264068563306e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.648295002633355e-117,0.0,0.0,0.0,0.0,3.5644515946291004e-69,0.0,0.0
Robin_lodging_Pricilla,0.0,6.710755334098716e-265,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.35206295169371e-57,0.0,0.0,0.0,3.658056175623488e-45,0.0,0.0,0.0,0.0,7.383190095117223e-17,0.0,0.0,0.0,0.0,1.2924496534044092e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.602582739990933e-88,0.0,0.0
Robin_education_So,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8575648401066096e-279,0.0,0.0,0.0,3.352537311618619e-92,0.0,0.0,0.0,0.0,2.4972903616589682e-113,0.0,0.0,0.0,0.0,1.2871360278232472e-296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,8.321485437330407e-215,0.0,0.0,0.0,1.176e-321,0.0,0.0,0.0,0.0,0.0,0.0,1.2689023814994973e-132,0.0,0.0,0.0,3.98117746704405e-50,0.0,0.0,0.0,0.0,8.1373767455408e-60,0.0,0.0,0.0,0.0,4.578964352077384e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.55055699636255e-224,0.0,0.0
Robin_office_Serena,0.0,5.3088625171155835e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4992661599639868e-88,0.0,0.0,0.0,1.0332839507014514e-10,0.0,0.0,0.0,0.0,0.9999999988756096,0.0,0.0,0.0,0.0,1.0210619939997807e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0088869555608586e-105,8.552080604618216e-81,0.0,0.0,0.0,0.0,2.587820675571704e-32,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.403391042063987e-78,0.0,0.0,0.0,0.0,6.826866425138796e-112,0.0,0.0,0.0,0.0,7.176709033110114e-221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Megan,0.0,1.288213579647177e-198,0.0,0.0,0.0,2.1495265182682244e-44,0.0,0.0,0.0,0.0,0.0,0.0,1.8142071755654994e-136,0.0,0.0,0.0,8.658063118306274e-18,0.0,0.0,0.0,0.0,1.55932726440026e-27,0.0,0.0,0.0,0.0,4.734907949373621e-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3221307188537477e-177,0.0,0.0
Robin_office_Adolph,0.0,0.9999811626187303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68284778986038e-45,0.0,0.0,0.0,1.8814823414553955e-05,0.0,0.0,0.0,0.0,2.2557441238017042e-08,0.0,0.0,0.0,0.0,4.1393319725942715e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.946274896338902e-286,1.368329509804307e-35,0.0,0.0
Robin_office_Lindsay,0.0,1.3417725953099284e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1440684057944907e-57,0.0,0.0,0.0,0.9999989926620183,0.0,0.0,0.0,0.0,1.0073378012159484e-06,0.0,0.0,0.0,0.0,1.8014073098121244e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8874435295633553e-286,1.8669602525380115e-52,0.0,0.0
Robin_education_Takako,0.0,1.407900878083113e-139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5075851675641926e-57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5436698835895175e-26,0.0,0.0,0.0,0.0,4.940342426486428e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.537106335154993e-91,0.0,0.0
Robin_lodging_Oliva,0.0,1.1042509880367686e-232,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0133763623242083e-140,0.0,0.0,0.0,8.188160730898845e-81,0.0,0.0,0.0,0.0,1.5129874189481655e-17,0.0,0.0,0.0,0.0,6.29589829115e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.687532872609692e-75,2.7442225170958596e-78,0.0,0.0,0.0,0.0,3.191873685962514e-91,0.0,0.0
Robin_office_Victor,0.0,2.4084154974562406e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8723800244351757e-142,0.0,0.0,0.0,3.8609524502790715e-15,0.0,0.0,0.0,0.0,0.9999999999346043,0.0,0.0,0.0,0.0,6.539174101574617e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7588759302474715e-75,3.2486114628852943e-144,0.0,0.0,0.0,0.0,6.62756797741183e-26,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.881847653936896e-240,0.0,0.0,0.0,6.219667596553094e-84,0.0,0.0,0.0,0.0,5.537845201382147e-129,0.0,0.0,0.0,0.0,1.4967026331497343e-237,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,2.8847516956434265e-128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.888299920141734e-124,0.0,0.0,0.0,0.0,1.2178029634313775e-42,0.0,0.0,0.0,0.0,8.224560041782643e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.056480354768632e-187,2.5189278055255993e-143,0.0,1.0,0.0,0.0,3.159578702737907e-79,0.0,0.0
Robin_education_Kristopher,0.0,8.595193117702141e-195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.368814572369415e-96,0.0,0.0,0.0,2.8219024715816246e-37,0.0,0.0,0.0,0.0,5.194544149671194e-62,0.0,0.0,0.0,0.0,1.4956635789852397e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.892036469497998e-79,0.0,1.0
Robin_education_Billi,0.0,1.323129402756046e-186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.953252842501655e-239,0.0,0.0,0.0,1.7288591997103726e-69,0.0,0.0,0.0,0.0,1.8453130365040274e-19,0.0,0.0,0.0,0.0,8.504332731320169e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.739353178273942e-93,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3386700009890809e-122,0.0,0.0,0.0,4.52467659471933e-91,0.0,0.0,0.0,0.0,2.6494204442365157e-20,0.0,0.0,0.0,0.0,1.9620013220632932e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.081594155433397e-96,0.0,0.0
Robin_office_Donald,0.0,1.9428967599456178e-147,0.0,0.0,0.0,0.9999999999929212,0.0,0.0,0.0,0.0,0.0,0.0,1.278235003361732e-145,0.0,0.0,0.0,7.078791434335975e-12,0.0,0.0,0.0,0.0,1.4544083282385815e-22,0.0,0.0,0.0,0.0,6.189329297037352e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3274740151600974e-129,0.0,0.0
Robin_assembly_Colleen,0.0,1.4603039853096904e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.060595992775665e-165,0.0,0.0,0.0,2.7273799765850308e-81,0.0,0.0,0.0,0.0,6.566642841122555e-15,0.0,0.0,0.0,0.0,7.999376715526642e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999938,1.2084159342096269e-77,0.0,0.0,0.0,0.0,1.3040715407192281e-49,0.0,0.0
Robin_office_Soledad,0.0,1.2664701842967548e-188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6267791527860382e-171,0.0,0.0,0.0,1.985275205332196e-23,0.0,0.0,0.0,0.0,4.285299487819666e-06,0.0,0.0,0.0,0.0,0.9999957147005122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.447469584674411e-215,0.0,0.0,0.0,0.0,1.3069754303071395e-42,0.0,0.0
Robin_education_Audrea,0.0,3.34252665174807e-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4465699048396627e-154,0.0,0.0,0.0,2.9708352742249447e-50,0.0,0.0,0.0,0.0,1.8863138391423585e-82,0.0,0.0,0.0,0.0,7.466692616314067e-90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.822441382407234e-284,0.0,0.0
Robin_office_Saul,0.0,0.9999999934818291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.133987255796647e-84,0.0,0.0,0.0,1.234397564302053e-15,0.0,0.0,0.0,0.0,4.462741200972695e-23,0.0,0.0,0.0,0.0,6.518169991030757e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.560091534183357e-51,0.0,0.0
Robin_lodging_Donna,0.0,3.3458531644401205e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2542540543503407e-44,0.0,0.0,0.0,2.933958125538519e-30,0.0,0.0,0.0,0.0,1.0180925828021747e-08,0.0,0.0,0.0,0.0,7.247517406959621e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999898190741,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4703300344187664e-98,0.0,0.0,0.0,0.0,1.486122444432557e-145,0.0,0.0,0.0,0.0,1.7034598109558718e-223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,1.8465636621006596e-141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.035806285383922e-243,0.0,0.0,0.0,8.371710114322735e-73,0.0,0.0,0.0,0.0,3.900226748625054e-50,0.0,0.0,0.0,0.0,1.4350371763544071e-59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.708151434923158e-181,0.0,0.0
Robin_office_Zelma,0.0,3.637311237518413e-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1156575655985323e-25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.337266330082191e-18,0.0,0.0,0.0,0.0,1.3488187308399305e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3253907953680683e-198,0.0,0.0,0.0,0.0,0.0,1.2740395877335026e-171,0.0,0.0
Robin_lodging_Renea,0.0,1.711859520339823e-301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7003701623232725e-72,0.0,0.0,0.0,2.1285544758563186e-60,0.0,0.0,0.0,0.0,1.1475487174258643e-18,0.0,0.0,1.0,0.0,2.6800960274426252e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76609490343607e-68,0.0,0.0
Robin_lodging_Armand,0.0,5.1180478969369395e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9919696910912847e-17,0.0,0.0,0.0,3.2230650930858213e-15,0.0,0.0,0.0,0.0,6.929780421245631e-11,0.0,0.0,0.0,0.0,3.242094369583372e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999930699,0.0,0.0
Robin_education_Karyl,0.0,9.451262181217595e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.303992418899035e-67,0.0,0.0,0.0,1.1916963408266192e-07,0.0,0.0,0.0,0.0,4.22025461980691e-11,0.0,0.0,0.0,0.0,0.9999998807881636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.967557564501033e-33,0.0,0.0
Robin_lodging_Janie,1.0,8.45e-322,0.0,0.0,0.0,9.264476009223956e-212,0.0,0.0,0.0,0.0,0.0,0.0,1.309200832928103e-178,0.0,0.0,0.0,7.926429388798055e-72,0.0,0.0,0.0,0.0,4.789124857706203e-92,0.0,0.0,0.0,0.0,1.222578368231788e-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4973112353639667e-270,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096773975589196e-183,0.0,1.0,0.0,0.0,9.731126364365143e-216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,1.5223436614188445e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0131416136430251e-56,0.0,0.0,0.0,1.4350601286304423e-11,0.0,0.0,0.0,0.0,0.999999999985647,0.0,0.0,0.0,0.0,2.0958068729812046e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.930983020226879e-128,0.0,0.0,0.0,0.0,1.6193903434446028e-22,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.340232179765038e-169,0.0,0.0,0.0,0.0,3.600752567724215e-168,0.0,0.0,0.0,0.0,1.5e-323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,2.3057338029751543e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4024501722453965e-295,0.0,0.0,0.0,3.5311117864467523e-118,0.0,0.0,1.0,0.0,9.591792282018013e-119,0.0,0.0,0.0,0.0,9.089578998434969e-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6489956531831382e-243,0.0,0.0
Shrew_office_Ila,0.0,2.1271464672361053e-150,0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,2.2858384762185258e-153,0.0,0.0,0.0,4.3319850718344786e-16,0.0,0.0,0.0,0.0,9.41489428582498e-18,0.0,0.0,0.0,0.0,2.548997788012135e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0012759530068914e-162,0.0,0.0,0.0,0.0,3.844084554531521e-125,0.0,0.0
Shrew_office_Doug,0.0,2.154535732584805e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.576171612380545e-25,0.0,0.0,0.0,0.9999999413293947,0.0,0.0,0.0,0.0,5.8670605702503464e-08,0.0,0.0,0.0,0.0,2.0795453669043824e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1634212106799541e-20,0.0,0.0
Shrew_office_Doris,0.0,1.559871374987222e-290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9844316985925655e-160,0.0,0.0,0.0,3.1294285498473895e-59,0.0,0.0,0.0,0.0,4.19302768628389e-59,0.0,0.0,0.0,0.0,2.6934519700032756e-103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79794254691844e-215,0.0,0.0
