,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29
Robin_office_Wai,0.0,2.8259660305347736e-105,0.0,0.0,0.0,4.3830683412703895e-73,0.0,0.0,0.0,0.0,0.0,0.0,8.514524277465303e-232,1.0,0.0,0.0,7.919865153665847e-109,0.0,2.067987066391223e-208,7.965153276075724e-241,0.0,0.0,0.0,0.0,2.8064864776177588e-201,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,4.234654740779424e-70,0.0,0.0,0.0,3.2168401466585967e-62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.859578837014971e-50,0.0,2.20287832036722e-310,7.796445877638538e-109,0.0,0.0,0.0,0.0,3.7561146035030643e-121,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,7.337835211317201e-19,0.0,0.0,0.0,1.7615017460364649e-12,0.0,0.0,0.0,0.0,0.0,0.0,6.66386475455616e-108,0.0,5.382813839676437e-230,0.0,5.588208294927197e-16,0.0,2.563331681825592e-41,1.5894615152716615e-34,0.0,0.0,0.0,0.0,4.661588910296998e-125,0.0,0.0,0.9999999999982379,0.0,0.0
Robin_office_Addie,0.0,8.602842837424605e-05,0.0,0.0,0.0,4.1831625437797486e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.761559175262858e-25,0.0,2.1181840310432923e-157,0.0,6.150900348416743e-07,0.0,2.1202033207294843e-28,0.9998715248561534,0.0,0.0,0.0,0.0,2.446095453299186e-97,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,7.953668661757253e-08,0.0,0.0,0.0,4.0492212574847773e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.097652996235753e-49,0.0,1.5004134231208184e-127,0.0,2.498235396060367e-06,0.0,3.318410573473544e-91,0.9999970173057913,0.0,0.0,0.0,0.0,1.3353231590417584e-91,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,5.280223568523016e-07,0.0,0.0,0.0,0.99977064975855,0.0,0.0,0.0,0.0,0.0,0.0,7.217298336164381e-31,0.0,3.941867706885361e-188,0.0,3.3012001955251447e-08,0.0,0.00022878920531491388,1.7768772672851032e-12,0.0,0.0,0.0,0.0,1.7468852920152297e-37,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,3.667490449699176e-08,0.0,0.0,0.0,1.7608261485272773e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.407722590336779e-147,0.0,4.80559961033221e-244,0.0,2.490038920081706e-10,0.0,0.9999982022499386,5.0364384294382945e-15,0.0,0.0,0.0,0.0,5.709647232174206e-95,0.0,0.0,0.0,0.0,0.0
Robin_education_So,0.0,3.9886568420987648e-81,0.0,0.0,0.0,7.35132806416651e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.823231858791346e-61,0.0,1.7821082524995178e-150,2.134467645653164e-255,0.0,0.0,0.0,0.0,2.6463167672885555e-111,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,1.7231263848892377e-18,0.0,0.0,0.0,5.59515395582923e-19,0.0,0.0,0.0,0.0,0.0,0.0,4.8562557904447e-27,0.0,4.1782586520684825e-76,0.0,1.1153935087447824e-13,0.0,1.6903703529408863e-65,2.307635359318627e-62,0.0,0.0,0.0,0.0,0.999999999999889,0.0,0.0,0.0,0.0,0.0
Robin_office_Serena,0.0,4.3925419715040706e-07,0.0,0.0,0.0,0.9998046119007196,0.0,0.0,0.0,0.0,0.0,0.0,1.1952327008541076e-20,0.0,2.4469014267929312e-203,0.0,2.057886594821995e-06,0.0,8.611743849764117e-05,0.00010677351999068968,0.0,0.0,0.0,0.0,1.9384834713749784e-69,0.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,3.912436365971351e-63,0.0,0.0,0.0,6.784044441461123e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.581627655033735e-46,0.0,7.703427740808158e-258,7.291855281040953e-188,0.0,0.0,0.0,0.0,1.4056196197134358e-84,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,4.410668691025361e-21,0.0,0.0,0.0,2.7819009311756236e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.9995380309782662,0.0,8.862038794370119e-116,0.0,1.5033402008964302e-10,0.0,1.763730047395723e-63,2.1405666040554366e-62,0.0,0.0,0.0,0.0,0.00046196887112194893,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.00047331003760583984,0.0,0.0,0.0,0.013428180360414547,0.0,0.0,0.0,0.0,0.0,0.0,1.5486624281654993e-19,0.0,1.431279367752276e-149,0.0,0.0012180006032338664,0.0,2.7029683859934292e-20,0.9848805089987458,0.0,0.0,0.0,0.0,2.8724783422321867e-81,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,2.5806477527725973e-05,0.0,0.0,0.0,0.0017011317313462954,0.0,0.0,0.0,0.0,0.0,0.0,5.804163787254495e-17,0.0,2.673303999988551e-118,0.0,0.9978042464753799,0.0,1.2886545892807624e-10,0.0004688151868806492,0.0,0.0,0.0,0.0,7.958636872775029e-54,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,1.02463054515893e-07,0.0,0.0,0.0,2.6390494786964634e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0957401774600421e-15,0.0,3.4312290638155876e-134,0.0,0.9999998972730371,0.0,5.930644020476478e-55,2.8556597506434115e-15,0.0,0.0,0.0,0.0,2.802522712605681e-49,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,5.754395938370957e-14,0.0,0.0,0.0,3.150095094883822e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.275745742764085e-198,0.0,2.305297006728905e-289,0.0,4.02691536720962e-16,0.0,0.999999684990433,6.470291852036222e-17,0.0,0.0,0.0,0.0,1.2577830102944101e-96,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,1.4084288250030703e-06,0.0,0.0,0.0,0.9992768618670926,0.0,0.0,0.0,0.0,0.0,0.0,7.509994214113617e-22,0.0,7.488171984451943e-176,0.0,2.562986916933051e-08,0.0,0.0005094698996092401,0.00021223417460362203,0.0,0.0,0.0,0.0,3.402878247043242e-59,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,1.0222612729909097e-91,0.0,0.0,0.0,3.432159894473772e-77,0.0,0.0,0.0,0.0,0.0,0.0,1.963897829322535e-69,0.0,4.7482081275437085e-129,0.0,2.7862138595964565e-77,0.0,2.9406981448042926e-136,3.8550771146599204e-216,0.0,0.0,0.0,0.0,3.327891388676211e-118,1.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,1.6334698678667276e-16,0.0,0.0,0.0,1.0540744397554214e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.336305746233285e-140,0.0,2.768684210340505e-200,0.0,4.407594948947106e-25,0.0,0.9999998945892765,3.2795612591632432e-12,0.0,0.0,0.0,0.0,7.407716533656775e-106,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.9977574571405945,0.0,0.0,0.0,1.7292044465910404e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.3774344005294387e-34,0.0,5.882362311808831e-163,0.0,0.0022421937247554735,0.0,9.177290597890854e-92,3.3184260552853894e-07,0.0,0.0,0.0,0.0,1.849084079415722e-53,0.0,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,1.2849847001516834e-17,0.0,0.0,0.0,1.2629016936281774e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3837836979962915e-82,0.0,9.157162597870492e-296,0.0,1.5973798567539183e-20,0.0,0.9999873709803805,2.6827968045133446e-12,0.0,0.0,0.0,0.0,8.573629615936723e-85,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,9.622113101565696e-17,0.0,0.0,0.0,7.2850762222292785e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.8948791748726194e-166,0.0,2.677263836567448e-301,0.0,9.047246702217505e-17,0.0,0.9999927149237771,2.1660097320894842e-19,0.0,0.0,0.0,0.0,3.2016346191443187e-135,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,9.51641403495894e-15,0.0,0.0,0.0,2.584817435392042e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.6236615359918296e-07,0.0,6.1222610074742274e-127,0.0,7.757114299730668e-09,0.0,2.7623983054096444e-74,3.040734244215635e-45,0.0,0.0,0.0,0.0,0.999999729874138,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,6.71731372436805e-11,0.0,0.0,0.0,7.616000906094425e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.908393506903904e-140,0.0,5.283548241222087e-215,0.0,1.6363505516946312e-14,0.0,0.9999923839313591,5.455557982526964e-13,0.0,0.0,0.0,0.0,6.050227630633281e-83,0.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,0.0,1.5507326091223505e-11,0.0,0.0,0.0,0.007399278860386807,0.0,0.0,0.0,0.0,0.0,0.0,9.896310889351005e-44,0.0,2.449110206318244e-247,0.0,1.3070802363455326e-13,0.0,7.240680220430316e-30,0.992600721123975,0.0,0.0,0.0,0.0,2.627224058806868e-108,0.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,4.282548551773486e-51,0.0,0.0,0.0,1.4014127683736828e-49,0.0,0.0,0.0,0.0,0.0,0.0,1.5839481262644517e-177,0.0,9.237364950363437e-110,0.0,8.354152489856006e-42,0.0,4.4075253992498615e-149,1.3707985051177253e-73,0.0,0.0,0.0,1.0,3.3441437134557573e-180,0.0,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0004620409804830412,0.0,0.0,0.0,4.794800423137749e-11,0.0,0.0,0.0,0.0,0.0,0.0,2.6500673139678746e-26,0.0,2.29593861822828e-182,0.0,7.286547153311839e-09,0.0,5.811375085382924e-70,0.9995379516850226,0.0,0.0,0.0,0.0,2.614116948813553e-64,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.9966379493890127,0.0,0.0,0.0,0.0033584352790710695,0.0,0.0,0.0,0.0,0.0,0.0,1.0515994407298006e-55,0.0,6.794465860274902e-183,0.0,1.2288335996058256e-09,0.0,8.346847929907695e-10,3.6132683979989917e-06,0.0,0.0,0.0,0.0,5.142774062886544e-96,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,1.1826182302935426e-83,0.0,0.0,0.0,1.987600842018292e-85,0.0,0.0,0.0,0.0,0.0,0.0,1.514950241613558e-59,0.0,5.156869648642371e-147,0.0,1.837182089093784e-80,0.0,0.0,5.051114124290509e-225,0.0,0.0,0.0,0.0,2.0788577864092247e-214,0.0,1.0,0.0,0.0,0.0
Robin_office_Erma,0.0,1.2805322633669096e-19,0.0,0.0,0.0,0.9999999998722142,0.0,0.0,0.0,0.0,0.0,0.0,7.277397346617347e-138,0.0,0.0,0.0,6.779219548671019e-16,0.0,1.7854692480323904e-66,1.2778602613374528e-10,0.0,0.0,0.0,0.0,1.3419354455561468e-179,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,1.5865294732459827e-16,0.0,0.0,0.0,5.816394504687804e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.68593041728176e-40,0.0,7.096879550327843e-81,0.0,0.9999999418217554,0.0,1.4294405795846638e-11,5.3978833221298995e-15,0.0,0.0,0.0,0.0,2.5638189344745876e-60,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.0,6.9615508946804414e-15,0.0,0.0,0.0,2.6531343152264944e-14,0.0,0.0,0.0,0.0,0.0,0.0,2.3832808347182236e-106,0.0,2.2666699926285627e-196,0.0,3.468179608837319e-16,0.0,1.5496714184293719e-21,7.591262710990466e-31,0.0,0.0,0.0,0.0,2.8609330985014466e-95,0.0,0.0,0.9999999999999662,0.0,0.0
Robin_lodging_Armand,0.0,0.9993399574066678,0.0,0.0,0.0,0.0006074620455660264,0.0,0.0,0.0,0.0,0.0,0.0,7.461454503759216e-33,0.0,2.06916689134151e-148,0.0,3.0557939251148406e-06,0.0,8.790017609763707e-23,4.952475384117154e-05,0.0,0.0,0.0,0.0,1.5229101731385005e-85,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,1.1223029465380325e-07,0.0,0.0,0.0,2.359117919678069e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0194113089497498e-28,0.0,2.5585599148514906e-161,0.0,7.540059927960128e-08,0.0,1.9331528323003755e-32,0.9999974532511866,0.0,0.0,0.0,0.0,5.6662147385083456e-95,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,3.0805530670030297e-50,0.0,0.0,0.0,1.5174823654589151e-49,0.0,0.0,0.0,0.0,0.0,0.0,2.468038243309114e-275,0.0,0.0,0.0,9.52137894000263e-45,0.0,2.8759190395109423e-170,1.2657329387921962e-76,0.0,0.0,0.0,0.0,1.0647293284524351e-81,0.0,0.0,0.0,0.0,1.0
Shrew_office_Sherill,0.0,1.132999397773196e-132,0.0,0.0,0.0,2.605337230333249e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.578203753725945e-135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.250979547051008e-296,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.00033327557686233075,0.0,0.0,0.0,0.9983963376769942,0.0,0.0,0.0,0.0,0.0,0.0,3.969078555492288e-39,0.0,8.319002005453137e-216,0.0,1.1403432699349803e-07,0.0,4.081691139447146e-08,0.0012702318949057456,0.0,0.0,0.0,0.0,1.240285106108447e-108,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,3.6170050733960165e-94,0.0,0.0,0.0,1.654326157605758e-76,0.0,0.0,0.0,0.0,0.0,0.0,8.969987555337697e-134,0.0,0.0,1.0,5.160847884412187e-72,0.0,0.0,3.5907659844399783e-124,0.0,0.0,0.0,0.0,2.07288523713877e-214,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,1.6144343535315805e-53,0.0,0.0,0.0,4.2925165514856694e-80,0.0,0.0,0.0,0.0,0.0,0.0,7.205461730547136e-105,0.0,0.0,0.0,2.2190841519843614e-74,0.0,2.3799152015167835e-304,4.155762815850298e-54,0.0,1.0,0.0,0.0,9.489052829536625e-143,0.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,1.1386297972682179e-14,0.0,0.0,0.0,1.1490960975448394e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.4791598709492296e-36,0.0,2.0221745240946082e-207,0.0,2.3230704110682525e-12,0.0,1.4193359870728602e-61,9.147028540343096e-51,0.0,0.0,0.0,0.0,0.999999999882756,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.9278395384204259,0.0,0.0,0.0,0.0002607575536951988,0.0,0.0,0.0,0.0,0.0,0.0,7.135596558100648e-20,0.0,8.106307371769967e-139,0.0,0.07189949909577985,0.0,5.714124414224783e-19,2.0493009870513847e-07,0.0,0.0,0.0,0.0,2.5337831149794735e-49,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,8.576288693534201e-48,0.0,0.0,0.0,1.1355429475931541e-48,0.0,0.0,0.0,0.0,0.0,0.0,2.860835195749028e-72,0.0,2.1179426921217737e-212,0.0,1.0855867814114185e-47,0.0,2.1931202490445583e-134,1.5105393315907908e-101,0.0,0.0,0.0,0.0,1.028239676446129e-57,0.0,0.0,0.0,1.0,0.0
Shrew_office_Lin,0.0,1.2263397051466079e-95,1.0,0.0,0.0,4.7863957392830216e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2756318434175093e-96,0.0,7.7856707e-317,1.6125690514998002e-284,0.0,0.0,0.0,0.0,4.815669833477872e-170,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,1.409303362056496e-16,0.0,0.0,0.0,4.8905237238818416e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.9863779697748143e-88,0.0,3.940798694198042e-254,0.0,2.4462788559417943e-16,0.0,1.3139588053887046e-114,0.9999999999510933,0.0,0.0,0.0,0.0,4.992416922382581e-95,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,2.3734039148432106e-236,0.0,0.0,0.0,0.0,1.0,0.0,1.5842215774310505e-270,0.0,0.0,0.0,1.0200290690851035e-175,0.0,8.514602871117907e-182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,8.538031068538298e-302,0.0,0.0,0.0,1.0389790167434486e-231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6284e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,7.124238632898161e-09,0.0,0.0,0.0,9.605124397188467e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0430936342363465e-30,0.0,2.2322114195214133e-185,0.0,9.682926434865746e-15,0.0,8.49925196957923e-123,0.9999999928757504,0.0,0.0,0.0,0.0,1.28527654075403e-98,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,5.636870572197782e-254,0.0,0.0,0.0,9.882004065304474e-167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.176504139977538e-185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,4.627138203898241e-05,0.0,0.0,0.0,0.8480637499095907,0.0,0.0,0.0,0.0,0.0,0.0,1.531406693750989e-32,0.0,3.1563357920214594e-208,0.0,0.1518899028136309,0.0,5.31747581501676e-15,7.58947335809925e-08,0.0,0.0,0.0,0.0,2.120195520779382e-65,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,1.6508027047840248e-101,0.0,0.0,0.0,8.461279940124032e-88,0.0,0.0,0.0,1.0,0.0,0.0,3.816543208510882e-113,0.0,1.3945895353591143e-200,0.0,7.90450131860266e-111,0.0,1.7061282631259044e-266,1.3545599e-316,0.0,0.0,0.0,0.0,7.851663920457887e-178,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,1.0,0.0,8.473668352162791e-275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2445847095110804e-197,0.0,2.490819871725359e-190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
