,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31
Robin_office_Addie,0.0,0.0,0.0,0.0,0.017064677059241355,0.0,0.0,0.0,0.0,0.0,2.6397828037817876e-114,0.0,0.0,0.0,0.0,2.2796941047024038e-05,0.0,0.0,1.658615008914774e-05,0.9828959398496228,6.9496195408917025e-158,2.1219026502495048e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.122555852232665e-127,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,6.046070049167052e-06,0.0,0.0,0.0,0.0,0.0,1.4352559474609134e-100,0.0,2.180448082914896e-262,0.0,0.0,6.073694119327584e-08,0.0,0.0,1.52474687254815e-07,0.9999937407183227,6.119924175526356e-128,1.1243399634605418e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0253242116246901e-94,0.0,0.0
Robin_education_Kiera,2.716402108657545e-158,0.0,6.144898503763452e-87,0.0,4.8454514907793186e-20,0.0,0.0,0.0,0.0,0.0,9.074701428638095e-44,0.0,1.6851628696200076e-72,0.0,0.0,1.1118530584597e-07,0.0,0.0,0.9999998888146937,8.36161541750922e-25,1.2252475867701159e-188,2.6922453988755796e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7298543132281164e-28,0.0,0.0
Robin_lodging_Pricilla,1.228865057440714e-248,0.0,0.0,0.0,1.0686359203034333e-43,0.0,0.0,0.0,0.0,0.0,2.315358933201389e-17,0.0,0.0,0.0,0.0,1.3772950744383297e-07,0.0,0.0,1.8905511384556677e-08,2.440903583149903e-20,3.6053630117962846e-244,0.9999998433649819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0473785711942959e-85,0.0,0.0
Robin_education_So,3.6423408720115077e-239,0.0,0.0,0.0,2.5839291438320786e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.810576096871857e-253,0.0,0.0,1.2089531051362435e-78,0.0,0.0,5.536867438040303e-55,2.8210821878493153e-241,1.0,5.141246421978625e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.128687658637802e-110,0.0,0.0
Robin_office_Maryann,0.9999988137380302,0.0,0.0,0.0,2.484282202407573e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.385983753802788e-126,0.0,0.0,3.938007369279411e-21,0.0,0.0,4.481800561602382e-21,1.8400765202607095e-65,9.08405054458521e-78,2.605937973343682e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1862619697666213e-06,0.0,0.0
Robin_office_Serena,1.6061074402139148e-246,0.0,2.834461213090115e-80,0.0,1.3129089126342513e-08,0.0,0.0,0.0,0.0,0.0,1.1083979229567935e-15,0.0,8.411612648153656e-189,0.0,0.0,6.641352423631552e-08,0.0,0.0,0.9999999053350512,1.512233452519521e-08,1.0017924900698769e-203,2.6738570664587675e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.408032245392566e-63,0.0,0.0
Robin_education_Derrick,4.5804095424416134e-160,0.0,0.0,0.0,9.711779947051567e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1047795993105922e-60,0.0,0.0,1.8462136261013888e-45,1.720650015340787e-176,1.0,8.078786077387527e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.411186383759087e-77,0.0,0.0
Robin_education_Megan,1.4766175666682917e-150,0.0,0.0,0.0,1.9598280653442066e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3343273522598817e-31,0.0,0.0,2.0644159941730655e-22,0.0,0.0,5.280254717075926e-14,2.0799669352589177e-81,4.0656252074189456e-116,3.2838521156729485e-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999980349,0.0,0.0
Robin_office_Adolph,3.380690369247359e-283,0.0,0.0,0.0,0.999801931677536,0.0,0.0,0.0,0.0,0.0,2.3434506946452724e-90,0.0,4.6585781355893456e-185,0.0,0.0,6.762389982790725e-07,0.0,0.0,0.00019311996629476716,4.272117170740924e-06,1.9374981058512134e-151,6.261482462651664e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2430758175587136e-113,0.0,0.0
Robin_office_Lindsay,3.834807747731124e-232,0.0,0.0,0.0,0.9999871825734722,0.0,0.0,0.0,0.0,0.0,1.6629904353191416e-31,0.0,5.659762e-317,0.0,0.0,4.0904353129186915e-10,0.0,0.0,1.2763548598142767e-05,5.3468886148195763e-08,1.0369115438356306e-120,2.07643224386069e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8626039166390222e-64,0.0,0.0
Robin_education_Takako,3.5323035456680775e-147,0.0,0.0,0.0,0.9999999988735588,0.0,0.0,0.0,0.0,0.0,1.8335247414944246e-137,0.0,0.0,0.0,0.0,2.0771426135128835e-10,0.0,0.0,9.187266151899178e-10,8.676495218393936e-16,3.81209046143436e-133,6.257909371125308e-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.740599575335761e-96,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,2.301119382310766e-74,0.0,1.462327013414572e-84,0.0,0.0,0.0,0.0,0.0,0.9999999997024736,0.0,0.0,0.0,0.0,6.10636811891748e-13,0.0,0.0,1.0276209559256978e-10,1.497182274705348e-24,1.0273012226747759e-289,1.9415384314909388e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8508473924761137e-76,0.0,0.0
Robin_office_Victor,2.1928726897811127e-244,0.0,1.7389037995874602e-143,0.0,4.6513962175681705e-14,0.0,0.0,0.0,0.0,0.0,1.6732674134865e-13,0.0,2.6070347319489553e-174,0.0,0.0,1.9517341105038243e-07,0.0,0.0,0.9999997992493622,5.577012902750493e-09,1.277069859413767e-176,7.916710080354128e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.115594920685067e-43,0.0,0.0
Robin_education_Margarito,1.5713175465513674e-142,0.0,0.0,0.0,7.623498014439865e-73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.979144068762102e-91,0.0,0.0,2.0026102877108977e-79,6.663021804749877e-206,4.7482081275437085e-129,3.646852400181854e-226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.498682687535956e-99,0.0,0.0
Robin_public_Cami,3.223759210005152e-299,0.0,9.757214493972494e-114,0.0,5.426265464757527e-106,0.0,0.0,0.0,0.0,0.0,0.9999999999861364,0.0,0.0,0.0,0.0,3.535796933552985e-16,0.0,0.0,1.3862974379645036e-11,9.619230424398388e-25,1.0808807015409334e-201,9.64756337596909e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.036470250748943e-155,0.0,0.0
Robin_education_Kristopher,1.1866682439309026e-163,0.0,0.0,0.0,3.039055215651301e-06,0.0,0.0,0.0,0.0,0.0,3.3065187151371795e-109,0.0,1.940147994793346e-234,0.0,0.0,0.9999957823260444,0.0,0.0,3.666167619644982e-09,1.1749525724686302e-06,8.203506652776254e-163,2.450525296807256e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3051868773873805e-48,0.0,0.0
Robin_education_Billi,5.0455842234389395e-231,0.0,0.0,0.0,6.706529357833445e-69,0.0,0.0,0.0,0.0,0.0,0.9999999809398867,0.0,0.0,0.0,0.0,9.65826927058689e-18,0.0,0.0,1.906011290337328e-08,2.3711238237063707e-17,7.517546852518665e-297,1.0013596546365926e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4153131100217067e-73,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.9999999999982521,0.0,4.783430000128397e-98,0.0,0.0,0.0,0.0,0.0,1.7477851667155658e-12,0.0,1.3028643794922008e-99,0.0,0.0,1.3410468557688218e-20,0.0,0.0,1.3582271483760577e-16,1.0462126966995602e-37,9.673087441861911e-306,1.2361933005807494e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.078378817869904e-130,0.0,0.0
Robin_office_Donald,4.107908483314495e-102,0.0,0.0,0.0,4.053832962604356e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.811932850398115e-17,0.0,0.0,1.9412064325822565e-12,1.5284337206255178e-43,1.3619403363925835e-127,3.7792726124041587e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999959442261,0.0,0.0
Robin_assembly_Colleen,5.921592005506722e-290,0.0,2.242418852132767e-75,0.0,2.7721256971760825e-85,0.0,0.0,0.0,0.0,0.0,0.9999999989779744,0.0,0.0,0.0,0.0,5.575232631561149e-12,0.0,0.0,1.0164501989390397e-09,2.79838739881051e-19,1.0038828330614517e-216,3.90785276524314e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8168255273881664e-70,0.0,0.0
Robin_office_Soledad,0.0,0.0,1.5491705608118427e-214,0.0,3.90914292936157e-21,0.0,0.0,0.0,0.0,0.0,1.0760066468381654e-110,0.0,0.0,0.0,0.0,1.4168534535473817e-11,0.0,0.0,0.0013425784468837647,0.998657421538947,9.268869712177225e-248,6.452858066939901e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8512619604616807e-85,0.0,0.0
Robin_education_Audrea,3.449555749340166e-202,0.0,0.0,0.0,7.482988096698392e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.552024675825487e-50,0.0,0.0,6.429755307597162e-51,4.917172381104784e-81,9.237364950363437e-110,4.620056405026733e-120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.450031982636611e-79,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,0.0,1.1331422285719447e-14,0.0,0.0,0.0,0.0,0.0,6.53479146179075e-150,0.0,0.0,0.0,0.0,0.00022212063417907709,0.0,0.0,2.316428918725898e-10,0.9997778791341659,2.2768340298896945e-182,1.1589600016819662e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.901176341785163e-63,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,1.866272076276897e-26,0.0,0.0,0.0,0.0,0.0,1.6493096331656955e-78,0.0,3.48987938245561e-212,0.0,0.0,0.9978953356120802,0.0,0.0,0.0021046469472479046,1.731510780326986e-08,3.5959747308481205e-183,1.2556447303811917e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214711156316272e-97,0.0,0.0
Robin_office_Antonina,3.983931970173757e-172,0.0,0.0,0.0,2.5560330128287213e-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2741158632396467e-81,0.0,0.0,9.69869179336188e-84,1.579365692474031e-212,5.156869648642371e-147,1.0191421889146375e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2149955914856712e-117,1.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,3.1861747826752933e-36,0.0,0.0,0.0,0.0,0.0,1.9090715194847068e-123,0.0,1.2324970828617689e-112,0.0,0.0,1.6421152566310578e-17,0.0,0.0,1.0,4.6322566468250135e-25,0.0,2.5995824799524305e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7327831258157273e-119,0.0,0.0
Robin_office_Zelma,7.930855867835864e-157,0.0,0.0,0.0,0.9999999999969793,0.0,0.0,0.0,0.0,0.0,8.669829079572065e-63,0.0,1.2870994851043865e-235,0.0,0.0,1.4676781585883307e-18,0.0,0.0,3.0207356176794506e-12,9.027420734927396e-22,3.607869167836795e-82,1.8213950720461598e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.515567174582674e-79,0.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,0.0,9.442185271423856e-60,0.0,0.0,0.0,0.0,0.0,2.2681220200407493e-157,0.0,1.1339445791978203e-164,0.0,0.0,5.8357391526147085e-09,0.0,0.0,3.134700483569042e-11,4.015360791202366e-29,1.1363170761986986e-190,0.9999999941329136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3191980400435683e-125,0.0,0.0
Robin_lodging_Armand,1.2386001307958314e-251,0.0,0.0,0.0,1.4010804940193727e-11,0.0,0.0,0.0,0.0,0.0,6.375652628040298e-51,0.0,5.718316981308563e-116,0.0,0.0,0.9983363887888933,0.0,0.0,0.0016636110459500024,1.5114548361152956e-10,3.1605919584259146e-148,1.050983396904783e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3021111431476118e-125,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,2.540835220809001e-05,0.0,0.0,0.0,0.0,0.0,5.186558785393451e-84,0.0,0.0,0.0,0.0,3.5506114860983696e-08,0.0,0.0,6.301358744193569e-07,0.9999739260058025,6.433598799905187e-162,1.0386492957018182e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006360510765853e-108,0.0,0.0
Robin_lodging_Janie,3.70230899389044e-291,0.0,0.0,0.0,1.7586043558895116e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3830972031645109e-18,0.0,0.0,5.5802374542920254e-21,3.3243262692056536e-64,7.275304043106624e-305,5.251783508197567e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9520161592681745e-37,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,3.0055094239052604e-160,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91406375947925e-127,0.0,0.0,2.872379525305819e-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.779145162007448e-246,0.0,0.0
Shrew_office_Rose,6.69820363561212e-263,0.0,5.720736473674513e-128,0.0,1.1897907451587794e-07,0.0,0.0,0.0,0.0,0.0,2.692709989481037e-120,0.0,1.8048813791582314e-131,0.0,0.0,1.52156602412424e-05,0.0,0.0,0.9999846653407918,1.989215572760893e-11,4.9866972183007846e-216,6.11803583423299e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4342561353901096e-144,0.0,0.0
Shrew_office_Nora,3.658611332376643e-248,0.0,0.0,0.0,1.9177961548614942e-179,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.264836748278777e-88,0.0,0.0,5.6695561769103385e-84,4.6740819744446296e-306,0.0,3.1232812752484054e-119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3758294251606972e-77,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,2.790291560004445e-138,0.0,0.0,0.0,0.0,0.0,1.3960926675926621e-254,0.0,6.682040490586906e-91,0.0,1.0,1.407518673493407e-51,0.0,0.0,1.7302585510785252e-78,9.766856613054303e-72,0.0,4.640771146827631e-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6432910968134688e-130,0.0,0.0
Shrew_office_Ila,3.4906213138487486e-70,0.0,2.714910832347717e-158,0.0,6.734284701206543e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.714277215941012e-114,0.0,0.0,4.05235616155576e-14,0.0,0.0,1.1849570285471569e-08,1.0714674878366132e-51,6.288298834497464e-206,6.963370056700446e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999880830464,0.0,0.0
Shrew_office_Doug,3.3214270304793226e-153,0.0,0.0,0.0,0.9994957972477422,0.0,0.0,0.0,0.0,0.0,3.4007655900965473e-40,0.0,2.976023183555721e-239,0.0,0.0,0.0004743593756890526,0.0,0.0,2.9843055888677877e-05,3.2067999702500147e-10,4.0578516831186677e-140,4.085942895859714e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1080922254822243e-80,0.0,0.0
Shrew_office_Doris,1.0,0.0,0.0,0.0,4.4779202447984305e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.125023379410537e-20,0.0,0.0,1.1683816146565838e-21,5.311371100240934e-69,1.4709774554031157e-184,3.731770314867422e-113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210048812083144e-51,0.0,0.0
Shrew_office_Lin,3.417803819249983e-229,0.0,0.0,0.0,9.8465236831431e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.006154248473255e-97,0.0,0.0,1.9548776325749276e-93,1.0,0.0,2.0773345419581357e-83,1.0710518558359279e-278,0.0,7.143563935187365e-245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142635896672961e-149,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,0.0,5.098223216048229e-86,0.0,0.0,0.0,0.0,0.0,6.990383722370613e-131,0.0,0.0,0.0,0.0,1.0324290699323443e-48,0.0,0.0,7.610188386497689e-47,1.6601673815032076e-62,1.3736825687217418e-288,1.2099010634488042e-61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0978706826255754e-123,0.0,0.0
Mouse_health_Buddy,0.0,1.0,0.0,0.0,1.8065547372272862e-218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1830702852843793e-291,0.0,0.0,2.1164228860431248e-243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,0.0,5.553013620094698e-31,0.0,0.0,0.0,0.0,0.0,1.0444528021189216e-116,0.0,0.0,0.0,0.0,9.728485814369716e-10,0.0,0.0,2.5083685298918996e-17,0.9999999990271515,1.2801173698175182e-186,2.7259159356899074e-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.570648064777908e-76,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,6.317116662909322e-197,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.141286464864651e-245,0.0,0.0,7.527034628710218e-236,0.0,0.0,2.4523837584970445e-169,0.0,0.0,2.61934e-319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,5.519006290486012e-256,0.0,1.137269377813535e-277,0.0,0.012059965791905741,0.0,0.0,0.0,0.0,0.0,4.748513216784292e-47,0.0,2.00305424927022e-309,0.0,0.0,3.423427030678965e-07,0.0,0.0,0.9879396916305276,2.348637673547097e-10,1.0946237503992282e-208,3.511009755949944e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8351241125380644e-47,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,1.0,4.5534682555115253e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0308451117811952e-301,0.0,0.0,9.77100583138071e-99,0.0,0.0,9.924167730424222e-85,9.468169747958784e-289,1.3945895353591143e-200,4.483492115989926e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3249788121784803e-169,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,0.0,7.817060007618699e-285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.00233113183232e-228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
