,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30
Robin_lodging_Phillip,0.0,0.0,0.0024691089358878943,0.0,0.0,0.0,0.0,0.0,2.3364992780182394e-26,5.911727066171131e-08,0.0,7.24499768352716e-13,0.0,0.0,0.9975308319461171,0.0,0.0,0.0,6.529112770063651e-164,0.0,7.751503793924282e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.99999999912046,0.0,0.0,0.0,0.0,0.0,1.513032300839798e-10,4.719215062795136e-10,0.0,1.6331437253312346e-24,0.0,0.0,2.563159208944865e-10,0.0,0.0,0.0,2.8295380674664954e-125,0.0,9.866325426590383e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,1.941849522387604e-72,0.0,0.0,0.0,0.0,0.0,3.650898070969948e-105,2.1655217363882667e-171,0.0,3.405806539609728e-228,1.0,0.0,4.151592697641101e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,3.298335895670913e-56,0.0,0.0,0.0,0.0,0.0,2.9338154654802e-129,1.1510352842204933e-258,0.0,4.2759741568024856e-132,0.0,0.0,3.1681195905357584e-67,0.0,0.0,0.0,0.0,0.0,1.8651867183352553e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,3.737885307087083e-22,0.0,0.0,0.0,0.0,0.0,1.1616194974643068e-33,1.5202188356891619e-30,0.0,1.3995033894215051e-33,0.0,0.0,6.59819054793677e-12,0.0,0.0,0.0,8.150788409819373e-224,0.0,0.9999999999934017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,0.021575535394655895,0.0,0.0,0.0,0.0,0.0,1.8660339807095474e-24,8.120912634889503e-20,0.0,0.9783991104710413,0.0,0.0,2.535413430263681e-05,0.0,0.0,0.0,6.972780562287217e-158,0.0,4.733535190695851e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0001537521172341589,0.0,0.0,0.0,0.0,0.0,1.2315656157970973e-25,1.8281282379318425e-71,0.0,0.9998461767580542,0.0,0.0,7.112471181861434e-08,0.0,0.0,0.0,6.122352507023953e-128,0.0,1.2033345069737894e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,1.5763338511207873e-05,0.0,0.0,0.0,0.0,0.0,4.3687210102963815e-13,0.9999832596737583,0.0,6.884751399242358e-24,0.0,0.0,9.769872938305885e-07,0.0,0.0,0.0,9.767188081517649e-188,0.0,7.286923310753339e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.898469107920194e-86,6.43822485205747e-205
Robin_lodging_Pricilla,0.0,0.0,2.5408864427829624e-17,0.0,0.0,0.0,0.0,0.0,3.937752439197051e-37,0.9999954780619611,0.0,8.271575180559538e-19,0.0,0.0,4.52193803944763e-06,0.0,0.0,0.0,1.1835568964494506e-242,0.0,1.4633976378271625e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,2.5426475787391985e-35,0.0,0.0,0.0,0.0,0.0,3.466056887522549e-81,3.8132380455833037e-109,0.0,3.327545655335285e-241,0.0,0.0,1.1817279507437736e-78,0.0,0.0,0.0,1.0,0.0,3.524034165002056e-269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,1.5397011570564773e-13,0.0,0.0,0.0,0.0,0.0,0.9999999999998463,1.870416001361216e-46,0.0,2.513088939366556e-63,0.0,0.0,5.292883953353563e-19,0.0,0.0,0.0,1.188969667242483e-75,0.0,8.825750633236158e-121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.160687008258765e-289
Robin_office_Serena,0.0,0.0,0.017025536787968632,0.0,0.0,0.0,0.0,0.0,3.4344589705304805e-18,0.9829739640319748,0.0,8.365880745892699e-08,0.0,0.0,4.1552124925124626e-07,0.0,0.0,0.0,5.503232355499828e-203,0.0,1.913067992093826e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5570867115479986e-79,0.0
Robin_education_Derrick,0.0,0.0,2.1595394683166188e-29,0.0,0.0,0.0,0.0,0.0,7.852513347207627e-63,3.0030959791411777e-200,0.0,1.9377671874523926e-176,0.0,0.0,2.1315480966787395e-60,0.0,0.0,0.0,1.0,0.0,3.6137548593695613e-214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,6.176108944505223e-07,0.0,0.0,0.0,0.0,0.0,0.9999993823891058,2.037009184913766e-45,0.0,3.77085753536801e-81,0.0,0.0,3.9417741138933234e-22,0.0,0.0,0.0,6.889004041269743e-116,0.0,6.902878621973166e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.9999904626260988,0.0,0.0,0.0,0.0,0.0,3.233437220087304e-20,2.0165016603735454e-14,0.0,8.118147218758764e-06,0.0,0.0,1.4192266624931928e-06,0.0,0.0,0.0,3.689264364336895e-151,0.0,1.866181669792862e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.551306271762652e-259
Robin_office_Lindsay,0.0,0.0,0.9999995577421031,0.0,0.0,0.0,0.0,0.0,1.8028533938979983e-14,2.279619425029248e-07,0.0,2.1241093576415473e-07,0.0,0.0,1.885000200072699e-09,0.0,0.0,0.0,4.130929794254472e-120,0.0,1.6144774902559812e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.748694094174964e-300
Robin_education_Takako,0.0,0.0,0.9999999998353513,0.0,0.0,0.0,0.0,0.0,8.245271043149424e-13,2.9476612169280878e-43,0.0,6.021157602899592e-16,0.0,0.0,1.638234558362775e-10,0.0,0.0,0.0,2.6250585457656276e-133,0.0,1.713767923468379e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,7.642116631889366e-32,0.0,0.0,0.0,0.0,0.0,1.129165561257209e-40,0.9999999999829612,0.0,4.25050068831389e-23,0.0,0.0,1.7038303241549127e-11,0.0,0.0,0.0,2.773898549693815e-288,0.0,1.0831575428775524e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.213445533846163e-73,0.0
Robin_office_Victor,0.0,0.0,0.0009451209992446608,0.0,0.0,0.0,0.0,0.0,5.771686601777914e-16,0.9990539012621363,0.0,2.4351179973288246e-08,0.0,0.0,9.533874382582855e-07,0.0,0.0,0.0,5.5285411647958396e-176,0.0,1.7894759074980543e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52786934106809e-143,4.277705917589437e-238
Robin_education_Margarito,0.0,0.0,3.2942912464895617e-59,0.0,0.0,0.0,0.0,0.0,1.8547054153284035e-49,3.505630584411015e-112,0.0,7.554919790050082e-206,0.0,1.0,7.073124844200061e-91,0.0,0.0,0.0,4.7482081275437085e-129,0.0,1.23618955118986e-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,1.8125633306191612e-37,0.0,0.0,0.0,0.0,0.0,4.433736718828536e-36,0.9999999999999911,0.0,2.1541600365676315e-23,0.0,0.0,8.732440711368284e-15,0.0,0.0,0.0,2.3210314645648608e-200,0.0,3.305433396221388e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.095221722932987e-112,1.309834682157333e-111
Robin_education_Kristopher,0.0,0.0,0.002180844323171354,0.0,0.0,0.0,0.0,0.0,8.186259252445068e-13,8.22556932706861e-73,0.0,1.16839258886931e-06,0.0,0.0,0.9978179872834217,0.0,0.0,0.0,8.0869656657349e-163,0.0,1.5897024668083655e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.920980007788786e-144
Robin_education_Billi,0.0,0.0,1.1480449010379321e-25,0.0,0.0,0.0,0.0,0.0,1.2334771043198152e-27,1.0,0.0,3.981819652400224e-16,0.0,0.0,1.7915486631636936e-16,0.0,0.0,0.0,1.2152207674077958e-295,0.0,4.838295911663379e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,1.7060996077516112e-40,0.0,0.0,0.0,0.0,0.0,9.205206416032365e-48,2.8012747721780617e-07,0.0,1.1238403790954019e-37,0.0,0.0,1.4127456958491127e-20,0.0,0.0,0.0,9.673101001784424e-306,0.0,1.063669281776157e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999997198725228,0.0
Robin_office_Donald,0.0,0.0,0.0004005904934662515,0.0,0.0,0.0,0.0,0.0,0.9995994095065267,4.213798738996269e-54,0.0,1.5227719280887676e-41,0.0,0.0,7.26716733788593e-15,0.0,0.0,0.0,1.3229830717072437e-125,0.0,1.392174752661455e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0647334486044216e-170
Robin_assembly_Colleen,0.0,0.0,5.3679263825510836e-31,0.0,0.0,0.0,0.0,0.0,2.044034703572285e-28,0.9999999997307398,0.0,1.3066573552648684e-17,0.0,0.0,2.6926036237559123e-10,0.0,0.0,0.0,4.5032740578702835e-215,0.0,9.545146003563567e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0059166750083127e-73,0.0
Robin_office_Soledad,0.0,0.0,1.1307677485722693e-08,0.0,0.0,0.0,0.0,0.0,3.362768206301645e-28,8.248725465807703e-21,0.0,0.9999999886742099,0.0,0.0,1.8112206294053314e-11,0.0,0.0,0.0,9.199299522560693e-248,0.0,5.4745373390217635e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5375446279084044e-214,0.0
Robin_education_Audrea,0.0,0.0,8.138143055589599e-44,0.0,0.0,0.0,0.0,0.0,2.4454659893630297e-74,6.00110455497313e-132,0.0,5.072277133220033e-81,0.0,0.0,7.720804786833218e-50,0.0,0.0,0.0,9.237364950363437e-110,0.0,5.66280253605238e-102,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,1.4733334165327104e-07,0.0,0.0,0.0,0.0,0.0,1.498084064217934e-15,7.32231819237215e-54,0.0,0.9997636123630164,0.0,0.0,0.00023624030364107745,0.0,0.0,0.0,2.280617349988068e-182,0.0,1.3558551586581654e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0572498619358076e-134
Robin_lodging_Donna,0.0,0.0,9.874232832119432e-11,0.0,0.0,0.0,0.0,0.0,2.059720747270325e-26,1.3058575941644836e-07,0.0,1.750506896854779e-08,0.0,0.0,0.9999998518104295,0.0,0.0,0.0,3.57978055611831e-183,0.0,5.223500366346051e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,1.9209024570436824e-73,0.0,0.0,0.0,0.0,0.0,6.548969900547342e-57,0.0,0.0,1.7497481572843883e-212,0.0,0.0,1.2045805169122837e-81,0.0,0.0,0.0,5.156869648642371e-147,0.0,2.4044414532581132e-261,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5499371362701887e-255
Robin_office_Erma,0.0,0.0,1.666832588755508e-47,0.0,0.0,0.0,0.0,0.0,8.9520183730118e-86,1.6705853788272563e-87,0.0,2.740199251512845e-59,0.0,0.0,1.2116323087698041e-51,0.0,0.0,0.0,0.0,0.0,8.532950620720985e-109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.9999999981577483,0.0,0.0,0.0,0.0,0.0,7.969685236985928e-17,1.8422519375081646e-09,0.0,4.906718885074692e-21,0.0,0.0,8.1247499257335e-18,0.0,0.0,0.0,1.9297506697251316e-81,0.0,9.797476960420333e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,1.0597710077133492e-23,0.0,0.0,0.0,0.0,0.0,2.1251781041362742e-30,3.2073967426467826e-13,0.0,4.039689620012604e-29,0.0,0.0,5.82224559059997e-09,0.0,0.0,0.0,1.0983497045329001e-190,0.0,0.9999999941774336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,4.8830464104558426e-05,0.0,0.0,0.0,0.0,0.0,9.348562408408161e-24,1.4172408738701424e-17,0.0,1.5221608106445665e-10,0.0,0.0,0.9999511693836798,0.0,0.0,0.0,3.150349530085499e-148,0.0,1.1750784232219691e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112450130449099e-203
Robin_education_Karyl,0.0,0.0,0.00016454960081250652,0.0,0.0,0.0,0.0,0.0,3.9730606550610457e-25,7.745002598807526e-23,0.0,0.9998354082779393,0.0,0.0,4.212124826904522e-08,0.0,0.0,0.0,6.466984153404782e-162,0.0,9.874975885311941e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,5.533613328530429e-52,0.0,0.0,0.0,0.0,0.0,5.344501767887301e-75,1.5239002687830101e-145,0.0,6.602517679286036e-94,0.0,0.0,2.6270998692729185e-48,0.0,0.0,0.0,0.0,0.0,3.333625019530604e-102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,3.6229560805175453e-109,0.0,0.0,0.0,0.0,0.0,6.209744052018359e-135,0.0,0.0,0.0,0.0,0.0,7.454957856087867e-127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.9904420996386547,0.0,0.0,0.0,0.0,0.0,2.3654788943802795e-27,0.00873428248140048,0.0,9.875532641026115e-10,0.0,0.0,0.0008236168923918013,0.0,0.0,0.0,2.4560109739145294e-214,0.0,1.3437557171087176e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.817553836555447e-126,1.8797751564133227e-239
Shrew_office_Nora,0.0,0.0,9.084170966964322e-105,0.0,0.0,0.0,0.0,0.0,2.127612986056083e-72,0.0,0.0,6.54684580617229e-306,0.0,0.0,1.1124435138902301e-87,0.0,0.0,1.0,0.0,0.0,2.254931320685664e-161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,1.0,0.0,3.891413591918261e-93,0.0,0.0,0.0,0.0,0.0,3.0251202243267674e-72,8.104712730509932e-257,0.0,1.0299480048236438e-71,0.0,0.0,1.5476031862364466e-51,0.0,0.0,0.0,0.0,0.0,8.108877765952656e-254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,8.953458557202925e-08,0.0,0.0,0.0,0.0,0.0,3.488454300066654e-08,2.6863446257171416e-44,0.0,2.607816316393815e-53,0.0,0.0,1.0140573484310385e-15,0.0,0.0,0.0,1.4681307878157465e-207,0.0,1.3322641180540046e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.338527552287334e-160,0.9999998755808706
Shrew_office_Doug,0.0,0.0,0.9957746766702191,0.0,0.0,0.0,0.0,0.0,5.9430975343913444e-15,3.125906328551789e-13,0.0,2.7309088832980353e-09,0.0,0.0,0.004225320598553347,0.0,0.0,0.0,3.449627698131848e-139,0.0,3.2525936197499264e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.710848577488661e-57
Shrew_office_Doris,0.0,0.0,1.7722474127528336e-19,0.0,0.0,0.0,0.0,0.0,1.689376572077495e-11,4.7810875058349924e-79,0.0,3.9591977471263327e-69,0.0,0.0,2.9817857672409196e-20,0.0,0.0,0.0,1.046796930397486e-184,0.0,1.0433349195433595e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999831064
Shrew_office_Lin,0.0,0.0,8.775588055064445e-77,0.0,0.0,1.0,0.0,0.0,8.390174578061048e-89,3.631523463741468e-242,0.0,1.292384470323043e-278,0.0,0.0,1.9358143347369035e-93,0.0,0.0,0.0,0.0,0.0,9.302554901447206e-297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5610054865865453e-121
Shrew_office_Kenneth,0.0,0.0,1.409358847057488e-55,0.0,0.0,0.0,0.0,0.0,1.665235852088252e-63,1.1104414792491071e-126,0.0,1.7345103746476298e-62,0.0,0.0,1.2099451771946749e-48,0.0,0.0,0.0,1.3736825687217418e-288,0.0,9.235434715867778e-134,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,4.8845742444421996e-160,0.0,0.0,0.0,0.0,0.0,5.944729258697678e-308,5.887085446293198e-258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.788490069303769e-268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,3.196411935024635e-241,0.0,1.0,0.0,0.0,0.0,2.218704493796377e-261,0.0,0.0,0.0,0.0,0.0,1.9644862710682814e-291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,1.1215158821423222e-16,0.0,0.0,0.0,0.0,0.0,2.932200923439837e-25,1.5440354530408772e-100,0.0,0.9999999988851709,0.0,0.0,1.114829844908334e-09,0.0,0.0,0.0,1.2764927790466795e-186,0.0,6.647365716560207e-76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,2.5855863798989923e-146,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0052052871297225e-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.99999992122151,0.0,0.0,0.0,0.0,0.0,6.939304096085758e-18,1.5115104098971602e-10,0.0,4.695387876351553e-11,0.0,0.0,7.858038473619e-08,0.0,0.0,0.0,2.1832921118432204e-209,0.0,3.1462889324840742e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2683607643991888e-278,9.258462534050635e-210
Mouse_health_Estela,0.0,0.0,2.0767032808776846e-74,0.0,0.0,0.0,0.0,0.0,2.3506644667086336e-67,2.428664910517899e-201,0.0,1.1119620230488875e-288,0.0,0.0,1.092948965124589e-98,0.0,0.0,0.0,1.3945895353591143e-200,1.0,2.804918246335e-312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,2.3141928663613676e-201,1.0,0.0,0.0,0.0,0.0,0.0,2.300418165040629e-282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6856106025481404e-267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
