,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36
Robin_office_Gayle,1.6393851905536168e-45,0.0,0.0,7.228133450302574e-26,0.0,0.0,0.0,6.199453993858834e-25,0.0,0.0,0.0,4.671302932409521e-15,7.971376962643977e-159,1.5332387994136312e-25,0.0,0.0,0.9999999906599744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31330546260218e-09,0.0,2.6714742609005126e-11,0.0,0.0,0.0,0.0
Robin_office_Shirlene,4.825752886793461e-61,0.0,0.0,1.0100061953432065e-128,0.0,0.0,0.0,2.9767352661351524e-12,0.0,0.0,0.0,3.6407294080755574e-09,1.819076579979596e-192,1.6212606096544859e-49,0.0,0.0,0.9999999963562942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110473588340376e-46,0.0,2.145609917303161e-20,0.0,0.0,0.0,0.0
Robin_education_Madeline,9.10706913880871e-55,0.0,0.0,6.483634975473682e-66,0.0,0.0,0.0,5.17903816573069e-113,0.0,0.0,0.0,1.3007631250474767e-125,1.3356310749910965e-111,0.0,0.0,0.0,6.983286750880158e-89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.856083801250504e-47,0.0,6.219281971283372e-279,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,2.750322780015983e-131,0.0,0.0,2.3015729340182866e-14,0.0,0.0,0.0,1.985631769421219e-14,0.0,0.0,0.0,1.292785001695112e-14,1.191953312235109e-165,6.3647930392721e-44,0.0,0.0,2.1084899456650431e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.364660929589325e-14,0.0,0.99999999999971,0.0,0.0,0.0,0.0
Robin_education_Jasper,2.9029061863496667e-52,0.0,0.0,0.9999999430108327,0.0,0.0,0.0,2.932689618773143e-40,0.0,0.0,0.0,5.569052961493808e-26,9.996341826546876e-127,2.07753161368086e-173,0.0,0.0,7.30184158937182e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.698916006244572e-08,0.0,3.4527782095427394e-75,0.0,0.0,0.0,0.0
Robin_office_Wai,2.9879861351413225e-151,0.0,0.0,1.8356271775869627e-135,0.0,0.0,1.0,3.535963872560721e-135,0.0,0.0,0.0,2.4976726349207604e-228,0.0,0.0,0.0,0.0,1.2904671370991248e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.437271138766884e-80,0.0,1.0641845270592426e-224,0.0,0.0,0.0,0.0
Robin_education_Terrance,1.2687210780829067e-90,0.0,0.0,3.3352074655236277e-103,0.0,0.0,0.0,2.738521142827222e-115,0.0,0.0,0.0,3.4390857218429955e-132,0.0,0.0,0.0,0.0,1.0900275267106534e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.090005580340334e-68,0.0,1.286590368481544e-221,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,9.389785359549717e-105,0.0,0.0,1.956784000496e-312,0.0,0.0,0.0,1.9240108061998403e-18,0.0,0.0,0.0,8.772298716400959e-40,5.382813839634212e-230,2.1153362508968593e-239,0.0,0.0,4.308015739871343e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6786138184952193e-112,0.0,5.2135184580665837e-70,0.0,0.0,0.0,0.0
Robin_office_Addie,4.11621057841749e-127,0.0,0.0,3.4880006942111417e-09,0.0,0.0,0.0,6.878127367309053e-38,0.0,0.0,0.0,0.987218099183331,6.940780011653613e-158,3.9834279129377585e-131,0.0,0.0,1.0143078503659268e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012781845723902159,0.0,5.160375202701787e-08,0.0,0.0,0.0,0.0
Robin_education_Cecilia,1.0272214377922298e-94,0.0,0.0,5.052426420326027e-26,0.0,0.0,0.0,1.8415305630795143e-54,0.0,0.0,0.0,0.9999996606693687,6.132125403383466e-128,8.699717909791804e-152,0.0,0.0,7.0267747085715835e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3933062962035747e-07,0.0,2.0328019652640083e-15,0.0,0.0,0.0,0.0
Robin_education_Kiera,1.921944530658749e-29,0.0,0.0,7.256679748748703e-81,0.0,0.0,0.0,5.16568167799303e-15,0.0,0.0,0.0,9.00539661086731e-26,1.3613247883848234e-189,2.697580907849656e-49,0.0,0.0,0.9999999999999822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.030769707339117e-27,0.0,1.266385201344706e-14,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,5.6411900964599795e-86,0.0,0.0,2.133328394836244e-233,0.0,0.0,0.0,0.9999999999999627,0.0,0.0,0.0,1.3023722782168443e-20,1.942157017208402e-244,5.2882186822084024e-30,0.0,0.0,3.796639783976326e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.869287723538287e-88,0.0,3.5021630710332456e-38,0.0,0.0,0.0,0.0
Robin_education_So,2.128530847921203e-110,0.0,0.0,7.673869902923935e-125,0.0,0.0,0.0,1.012996700579516e-161,0.0,0.0,0.0,2.3776619041168678e-241,1.0,0.0,0.0,0.0,3.983999618637594e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.570562005935604e-54,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,1.7079278146393755e-34,0.0,0.0,5.518285820284916e-61,0.0,0.0,0.0,1.369869141255782e-91,0.0,0.0,0.0,2.5163059782667444e-93,1.3079242073089083e-105,0.0,0.0,0.0,8.519889781178998e-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7600132023950222e-63,0.0,5.605269025981882e-140,0.0,1.0,0.0,0.0
Robin_office_Serena,5.30912549891507e-63,0.0,0.0,3.146534679616319e-41,0.0,0.0,0.0,4.443447518796006e-23,0.0,0.0,0.0,1.8161236435532098e-08,1.2066808412431713e-203,1.185798600909889e-13,0.0,0.0,0.9999999230827775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9278761597317176e-08,0.0,3.9477105672264474e-08,0.0,0.0,0.0,0.0
Robin_education_Derrick,6.41068504602281e-77,0.0,0.0,2.8199252147048403e-85,0.0,0.0,0.0,1.9179904948664258e-141,0.0,0.0,0.0,1.5110244300666705e-176,1.0,0.0,0.0,0.0,2.1176208418270474e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6468975917936538e-36,0.0,8.77377328165095e-303,0.0,0.0,0.0,0.0
Robin_education_Megan,0.9999999998194449,0.0,0.0,4.4324366086037445e-24,0.0,0.0,0.0,1.2796932394890154e-61,0.0,0.0,0.0,1.895558484906371e-81,4.0656311755313874e-116,0.0,0.0,0.0,1.1634298136527398e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8055532915575928e-10,0.0,1.6536559316763986e-112,0.0,0.0,0.0,0.0
Robin_office_Adolph,1.0807251205551608e-113,0.0,0.0,1.6460931733848632e-08,0.0,0.0,0.0,5.374944572294862e-37,0.0,0.0,0.0,2.055524483800848e-06,9.337356017818312e-152,4.163969104632375e-99,0.0,0.0,2.7959356666413216e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999979277349906,0.0,1.5475134394048239e-26,0.0,0.0,0.0,0.0
Robin_office_Lindsay,9.715667759512826e-65,0.0,0.0,5.057413260361694e-09,0.0,0.0,0.0,1.5310603934898934e-42,0.0,0.0,0.0,2.7840711457593157e-08,5.409434394689971e-121,7.536599466334006e-30,0.0,0.0,1.4198147068511178e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999952903728,0.0,5.741877544552247e-34,0.0,0.0,0.0,0.0
Robin_education_Takako,1.323782534060289e-96,0.0,0.0,1.5991428641853698e-12,0.0,0.0,0.0,4.369775576340762e-48,0.0,0.0,0.0,1.4640250247522503e-16,6.521608319291042e-134,3.5214182968876306e-178,0.0,0.0,4.401936455185087e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984013,0.0,5.889468735870362e-62,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,1.8306621500184017e-76,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999839100991,0.0,0.0,0.0,1.4758063396695163e-24,1.0162191112239294e-289,1.6089900247254276e-08,0.0,0.0,8.224667957435366e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.636866995288951e-166,0.0,2.052759146303966e-54,0.0,0.0,0.0,0.0
Robin_office_Victor,2.5499390230945603e-45,0.0,0.0,2.017178897644723e-54,0.0,0.0,0.0,2.548163019167028e-23,0.0,0.0,0.0,1.2678106965448626e-10,2.9190534055659165e-178,4.008573872766009e-12,0.0,0.0,0.9999999997990268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4198205689068506e-15,0.0,7.01824027078005e-11,0.0,0.0,0.0,0.0
Robin_education_Margarito,8.498211060625495e-99,0.0,0.0,1.9018474377681201e-121,0.0,0.0,0.0,5.83065721807299e-154,0.0,0.0,0.0,5.922925181437766e-206,4.7482081275437085e-129,0.0,0.0,0.0,1.2139960432374424e-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.974774551006806e-76,0.0,0.0,0.0,0.0,0.0,1.0
Robin_public_Cami,1.6533504775191503e-155,0.0,0.0,0.0,0.0,0.0,0.0,6.818583427393205e-12,0.0,0.0,0.0,3.138133577553612e-25,3.550091685103981e-202,0.9999999999931779,0.0,0.0,3.249975794397454e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7759709589843453e-181,0.0,2.7718902845985946e-45,0.0,0.0,0.0,0.0
Robin_education_Kristopher,2.6394419716237302e-80,0.0,0.0,1.4820946032034554e-42,0.0,0.0,0.0,2.7904335020326085e-62,0.0,0.0,0.0,5.790510161295757e-39,4.08162854857777e-195,5.99156130378968e-194,0.0,0.0,4.280144746269303e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3450023595814096e-42,0.0,6.1787891408601994e-49,1.0,0.0,0.0,0.0
Robin_education_Billi,3.231249753021105e-74,0.0,0.0,5.112052791972535e-299,0.0,0.0,0.0,1.5795388981005827e-15,0.0,0.0,0.0,5.428637508017368e-18,1.7164652917390292e-297,0.9999999999786588,0.0,0.0,2.134003871521338e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.984047033795113e-108,0.0,1.7671800996393523e-54,0.0,0.0,0.0,0.0
Robin_lodging_Celia,2.539784778344509e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999725,0.0,0.0,0.0,6.403048747738886e-35,6.025421016397218e-303,2.7878050780512713e-14,0.0,0.0,2.5831785715766105e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6584459806834838e-190,0.0,5.59551881611873e-89,0.0,0.0,0.0,0.0
Robin_office_Donald,0.9999998832764515,0.0,0.0,8.375694244823638e-16,0.0,0.0,0.0,1.8908567461523015e-50,0.0,0.0,0.0,1.4790428169825851e-43,1.361936996590351e-127,0.0,0.0,0.0,2.1943230088717778e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1672354761709348e-07,0.0,1.413474388412679e-80,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,2.244991236203184e-70,0.0,0.0,0.0,0.0,0.0,0.0,1.3198769252108502e-10,0.0,0.0,0.0,1.3104281200905353e-19,4.6794219740749846e-217,0.9999999998417621,0.0,0.0,2.625021827960074e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.287809823917686e-163,0.0,2.267867237559165e-24,0.0,0.0,0.0,0.0
Robin_office_Soledad,2.8436366921159034e-85,0.0,0.0,8.630415726504711e-97,0.0,0.0,0.0,1.0774172029053637e-47,0.0,0.0,0.0,0.9999999886133253,9.24420014263944e-248,7.759165843267667e-139,0.0,0.0,1.1385905707233043e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.848905853400541e-32,0.0,7.695101032728673e-13,0.0,0.0,0.0,0.0
Robin_education_Audrea,3.4499497471409946e-79,0.0,0.0,2.615703893531891e-74,0.0,0.0,0.0,3.0569500578590817e-80,0.0,0.0,0.0,4.730555059272962e-81,9.237364950363437e-110,0.0,0.0,0.0,2.204757644096078e-84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046002029744441e-49,0.0,1.8871173501945457e-155,0.0,0.0,0.0,0.0
Robin_office_Saul,6.903519911468174e-63,0.0,0.0,1.7831384201612823e-08,0.0,0.0,0.0,2.7839825921647644e-51,0.0,0.0,0.0,0.9999999821686157,2.2776511193829967e-182,8.830826259169249e-190,0.0,0.0,6.550840170830441e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.721253243163597e-16,0.0,2.6279956808258375e-32,0.0,0.0,0.0,0.0
Robin_lodging_Donna,1.1182011686787812e-98,0.0,0.0,3.6042727567568494e-156,0.0,0.0,0.0,6.671759977810355e-10,0.0,0.0,0.0,1.5917520483039212e-09,3.3107271664539453e-184,3.961651735637768e-93,0.0,0.0,1.1422140608251124e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3856171313037273e-60,0.0,0.9999988555270111,0.0,0.0,0.0,0.0
Robin_office_Antonina,1.2148465994481287e-117,0.0,0.0,5.32220891739052e-122,0.0,0.0,0.0,1.6758049004401817e-194,0.0,0.0,0.0,1.3942367398609596e-212,5.156869648642371e-147,0.0,0.0,0.0,1.198716199116237e-216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.664880301497484e-86,0.0,2.108426231845717e-289,0.0,0.0,0.0,0.0
Robin_office_Erma,2.6872991242051595e-153,0.0,0.0,3.37126430035794e-191,0.0,0.0,0.0,4.745496262028907e-74,0.0,0.0,0.0,2.5912098762299124e-59,0.0,1.1116752380447785e-221,0.0,0.0,1.2736765996887656e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.056578641349744e-81,1.0,3.091405026062055e-68,0.0,0.0,0.0,0.0
Robin_office_Zelma,2.574282757028373e-78,0.0,0.0,5.034187561672745e-05,0.0,0.0,0.0,6.773763615667385e-43,0.0,0.0,0.0,5.07039693603773e-21,2.05726555566329e-81,1.5173825145703883e-66,0.0,0.0,1.8606617168412688e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999949658124383,0.0,1.2871471450161654e-184,0.0,0.0,0.0,0.0
Robin_lodging_Renea,8.612179116970776e-131,0.0,0.0,2.8e-322,0.0,0.0,0.0,4.483283969085086e-25,0.0,0.0,0.0,7.868562206523587e-35,2.2666699926554917e-196,3.443735401687983e-198,0.0,0.0,1.1377929980783227e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.307983829670568e-120,0.0,7.13796953393727e-43,0.0,0.0,0.0,0.0
Robin_lodging_Armand,2.2251699013515473e-127,0.0,0.0,4.345252813333223e-75,0.0,0.0,0.0,6.944176429010039e-15,0.0,0.0,0.0,2.5561866975649798e-12,5.402867842238176e-150,1.220534407355756e-62,0.0,0.0,6.4651433777792146e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5391669650179683e-27,0.0,0.9999999999909717,0.0,0.0,0.0,0.0
Robin_education_Karyl,1.0029321377762855e-108,0.0,0.0,1.6880903564581734e-14,0.0,0.0,0.0,6.952512150752521e-50,0.0,0.0,0.0,0.9999997613382466,6.412907288228399e-162,6.577940490365111e-100,0.0,0.0,1.2816935588764491e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.386337727089884e-07,0.0,2.7835725703201705e-11,0.0,0.0,0.0,0.0
Robin_lodging_Janie,3.5783836670081886e-67,0.0,0.0,3.18892916515223e-214,0.0,0.0,0.0,1.1458310408899345e-79,0.0,0.0,0.0,5.653089269143953e-94,0.0,0.0,1.0,0.0,3.089164848217023e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.821708215468191e-92,0.0,8.121670919216547e-96,0.0,0.0,0.0,0.0
Shrew_office_Sherill,6.777092339685764e-246,0.0,0.0,8.405419435470599e-305,0.0,0.0,0.0,1.826221688329967e-259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1414328055070678e-276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.751225722443407e-182,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,7.543743941671235e-145,0.0,0.0,3.0803814050869133e-46,0.0,0.0,0.0,6.019355802769619e-21,0.0,0.0,0.0,4.338172650392824e-12,1.0957556536624666e-216,1.0512869183795705e-133,0.0,0.0,3.65554938566538e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.679547486321752e-10,0.0,0.9999634442338506,0.0,0.0,0.0,0.0
Shrew_office_Nora,3.3756138707326204e-77,0.0,0.0,0.0,0.0,0.0,0.0,5.1998759457757095e-133,0.0,0.0,0.0,2.9978537897458884e-306,0.0,0.0,0.0,1.0,8.220139141347904e-221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6869700879429542e-203,0.0,3.1964884360799986e-265,0.0,0.0,0.0,0.0
Shrew_office_Katherine,1.6429800701547837e-130,0.0,0.0,1.2018158389656378e-82,0.0,0.0,0.0,3.40911917902119e-181,0.0,0.0,0.0,9.195822635023522e-72,0.0,0.0,0.0,0.0,5.286628434021668e-137,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.130217378512757e-169,0.0,1.2799152663910673e-119,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.9999999999983418,0.0,0.0,9.350455553696875e-17,0.0,0.0,0.0,1.3492138083061357e-37,0.0,0.0,0.0,1.0241365486157443e-51,6.28830214174716e-206,0.0,0.0,0.0,3.1615459722260935e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6584285290400612e-12,0.0,1.1054190757198774e-52,0.0,0.0,0.0,0.0
Shrew_office_Doug,8.219646729687494e-80,0.0,0.0,0.9999352055477277,0.0,0.0,0.0,1.4546039381456928e-23,0.0,0.0,0.0,1.2430112174095707e-09,1.5825416813403517e-139,6.641047809541654e-42,0.0,0.0,6.000335528348293e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.479155777068273e-05,0.0,1.051456838266874e-09,0.0,0.0,0.0,0.0
Shrew_office_Doris,1.7419176368214932e-79,0.0,0.0,4.438907149027204e-88,0.0,0.0,0.0,4.485946283416144e-86,0.0,0.0,0.0,7.31728990192282e-97,2.1179426921217737e-212,0.0,0.0,0.0,2.9408452463567e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.474003287504891e-75,0.0,3.77738050092599e-108,0.0,0.0,1.0,0.0
Shrew_office_Lin,4.142162783870632e-149,0.0,0.0,2.8867987424472822e-269,0.0,0.0,0.0,1.9899101501364708e-171,0.0,1.0,0.0,8.952497903563978e-279,0.0,0.0,0.0,0.0,9.888505639231432e-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6551559261869282e-157,0.0,2.5257727134319147e-280,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,1.0977202179002284e-123,0.0,0.0,9.544277843446805e-207,0.0,0.0,0.0,1.623751737676772e-69,0.0,0.0,0.0,1.5756034571899794e-62,1.3736825687217418e-288,1.1252338538005201e-203,0.0,0.0,2.8185645893192145e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1061663921742544e-98,0.0,2.6956304533484053e-98,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8125788413469136e-208,0.0,0.0,0.0,0.0,0.0,0.0
