,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28
Robin_education_Lashandra,2.300809976081423e-67,1.6891654260222262e-76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.164045354821909e-41,4.095343502065585e-197,0.0,3.74605518016516e-56,1.0824286817126599e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.493914146551548e-153,0.0,0.0,3.776803506102323e-86,1.0,0.0,0.0
Robin_education_Lizbeth,2.74090977633892e-20,0.999999999176902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1548732896055116e-58,8.230954625294026e-10,0.0,1.9981387800666193e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8537501435995145e-19,0.0,0.0,3.730599489314693e-34,0.0,0.0,0.0
Robin_office_Gayle,1.5733955816347523e-17,1.0194847592795942e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.4603735767730086e-42,4.716501828263837e-57,3.3258999342995983e-15,0.0,8.159117370726565e-11,1.0812300498371743e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7538874825381137e-09,0.0,0.0,0.9999898033169249,0.0,0.0,0.0
Robin_office_Shirlene,1.9214602710233593e-23,8.459103103820109e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999498330818,4.378615550526038e-61,1.0720633554755636e-12,0.0,1.5028949417260455e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9319932756918726e-08,0.0,0.0,2.899209486599694e-15,0.0,0.0,0.0
Robin_education_Madeline,0.9999801451151323,1.4001496955883662e-33,0.0,0.0,0.0,0.0,0.0,0.0,1.5807631938068863e-233,1.9854884865023037e-05,5.127756895228591e-94,0.0,1.9061986649753003e-15,3.581769756621476e-253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.478267024356649e-76,0.0,0.0,1.0484217933796403e-54,0.0,0.0,0.0
Robin_lodging_Phillip,1.1662319336121408e-19,0.9996957170017615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.687002936407454e-58,7.134315158569912e-13,0.0,0.0003042829849144646,8.342793860558653e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2610922346836021e-11,0.0,0.0,8.597967730744103e-22,0.0,0.0,0.0
Robin_education_Jasper,7.62899338272788e-09,1.2179320281431578e-10,0.0,0.0,0.0,0.0,0.0,0.0,1e-323,1.611579446390238e-41,8.384160404195715e-25,0.0,0.9999999922492133,1.5910805312721038e-199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75660414466228e-23,0.0,0.0,9.859927297542206e-21,0.0,0.0,0.0
Robin_office_Wai,1.0728131745444008e-73,3.206538707379221e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.050481048685535e-88,2.910678913745954e-228,0.0,1.9086053123879628e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7543752815812823e-171,0.0,0.0,1.2117769173551174e-165,0.0,0.0,0.0
Robin_education_Terrance,8.546736549532221e-38,1.7421813178969824e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.549180126456363e-40,2.0928288740108243e-102,0.0,2.1733224149710533e-36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3058180819719262e-85,0.0,0.0,1.425260403111219e-52,0.0,0.0,0.0
Robin_lodging_Elmer,8.321610576624475e-32,4.238236381830022e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98236455360206e-59,9.00042004349244e-40,0.0,2.5191634267536174e-63,1.1043983615746126e-218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3601891895891556e-17,0.0,0.0,1.6133559419454614e-20,0.0,0.0,0.0
Robin_office_Addie,3.0569229207173132e-21,2.274936098513583e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6891608987082153e-66,0.9828327053245621,0.0,0.017134831932053413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4825993489939144e-19,0.0,0.0,9.713382399779288e-06,0.0,0.0,0.0
Robin_education_Cecilia,2.954508448683717e-20,6.021314622981883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.654497624891047e-66,0.9999940029725691,0.0,5.935016969644305e-06,2.182389969359425e-262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.628639022509355e-25,0.0,0.0,1.7973155450549118e-09,0.0,0.0,0.0
Robin_education_Kiera,1.1503755189829974e-14,1.1193517402093873e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999758185565,1.0373306687767363e-50,8.390960239152471e-28,0.0,4.4899140747831377e-23,1.6887690800219526e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.809944572130155e-09,0.0,0.0,1.9259552337327077e-08,0.0,0.0,0.0
Robin_lodging_Pricilla,5.117702783350766e-23,6.584569004528088e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.423411086223664e-241,3.9944028677570276e-57,1.1805504908557364e-19,0.0,5.073967255266547e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999993415431004,0.0,0.0,5.424764510569492e-19,0.0,0.0,0.0
Robin_education_So,6.014519936456329e-41,1.1782998503219145e-75,0.0,0.0,0.0,0.0,0.0,0.0,8.75768382703676e-128,1.0,2.851351804808791e-238,0.0,2.5482765393853686e-43,2.8579323246718985e-250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3994655996613016e-175,0.0,0.0,1.1317997582165666e-87,0.0,0.0,0.0
Robin_office_Maryann,1.0,4.1131204784618474e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0226506433062602e-125,1.9259322329529212e-19,1.9362010765401477e-63,0.0,2.55103026159906e-21,8.871239269861685e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6179544926384888e-54,0.0,0.0,1.292976484622056e-29,0.0,0.0,0.0
Robin_office_Serena,6.971141364466268e-17,1.480659532066089e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.00697234689505e-172,2.1690825785954255e-54,3.3747468997695136e-08,0.0,2.7673291066056353e-08,1.8727074597250018e-188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08703427552626e-07,0.0,0.0,0.9999995818098593,0.0,0.0,0.0
Robin_education_Derrick,2.1557107207423056e-30,1.137620637053182e-58,0.0,0.0,0.0,0.0,0.0,0.0,2.6424242038268e-209,1.0,9.591382410297768e-175,0.0,4.979565953202671e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.86895800583863e-148,0.0,0.0,4.4032337637502545e-63,0.0,0.0,0.0
Robin_education_Megan,0.9999999993995257,6.211871166090354e-21,0.0,0.0,0.0,0.0,0.0,0.0,7.579138393848425e-68,2.8112164829084955e-31,6.272948160144263e-80,0.0,6.004752368842232e-10,4.07151143458441e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.824723202568954e-49,0.0,0.0,4.382801068100997e-19,0.0,0.0,0.0
Robin_office_Adolph,1.227049150004047e-18,6.729110844095217e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.050751206394859e-61,4.256889917742282e-06,0.0,0.9999867205339158,4.6505342499950524e-185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.643771308183212e-18,0.0,0.0,8.349665082130203e-06,0.0,0.0,0.0
Robin_office_Lindsay,1.311932259640582e-14,4.056473548847794e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.5417631432497714e-270,1.529985459776727e-51,5.331715148451059e-08,0.0,0.9999998615300527,5.65882e-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699287063815285e-17,0.0,0.0,8.474713552601549e-08,0.0,0.0,0.0
Robin_education_Takako,9.927304503236955e-07,2.070105169157828e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95297220626494e-41,8.734009952755192e-16,0.0,0.9999990070625389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1804399765401848e-24,0.0,0.0,1.131053392602392e-18,0.0,0.0,0.0
Robin_lodging_Oliva,4.991861129487389e-29,1.3329140444956736e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0982483705331058e-38,4.304070559447809e-73,3.328189067267709e-24,0.0,3.0697802370560927e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999986668,0.0,0.0,1.2070147679326277e-21,0.0,0.0,0.0
Robin_office_Victor,3.739996239805516e-16,4.063862934556498e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.013197086874275989,3.925624236762934e-52,1.1613140172217304e-08,0.0,9.027501905425792e-14,5.418477707305677e-174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0586134612254134e-07,0.0,0.0,0.986802189264854,0.0,0.0,0.0
Robin_education_Margarito,5.534070612009527e-48,6.773108263104495e-91,0.0,0.0,0.0,0.0,0.0,1.0,3.644897024476114e-269,2.4430813860437957e-37,6.665078487573825e-206,0.0,6.635324012941265e-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.126701744624514e-160,0.0,0.0,3.779687001338006e-136,0.0,0.0,0.0
Robin_public_Cami,9.656789596708897e-25,1.9958998437101827e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.377934340486498e-69,5.525406923349168e-23,0.0,2.846727814806691e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999827445,0.0,0.0,1.72365145095362e-11,0.0,0.0,0.0
Robin_education_Kristopher,5.564118972114141e-08,0.999995820427472,0.0,0.0,0.0,0.0,0.0,0.0,8.385013504805686e-253,1.2418186538611812e-45,1.1800881374000793e-06,0.0,2.9438432010322398e-06,1.9498109975213745e-234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.252079570046431e-25,0.0,0.0,1.5826235235581553e-17,0.0,0.0,0.0
Robin_education_Billi,3.620198418399479e-21,4.651356942354003e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.3375332497667307e-39,8.285548834623408e-63,1.1571733891762665e-15,0.0,2.713601686086489e-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999998259,0.0,0.0,1.7284054300177905e-13,0.0,0.0,0.0
Robin_lodging_Celia,6.5125318369119546e-31,9.550400507772142e-17,0.0,0.0,0.0,0.0,0.0,0.0,2.3721818932581775e-292,1.0148880449197073e-88,7.593029510045591e-34,0.0,3.2800751659191883e-94,9.213987407002151e-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.516765214089898e-28,0.0,0.0,0.0
Robin_office_Donald,0.9999997120010311,4.914811340152657e-15,0.0,0.0,0.0,0.0,0.0,0.0,5.311645218032304e-59,8.616440331487147e-23,1.1086621322933902e-41,0.0,2.8799816588613077e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.667662462751228e-40,0.0,0.0,7.985701303567508e-13,0.0,0.0,0.0
Robin_assembly_Colleen,5.959312019915004e-23,1.6554531168428612e-09,0.0,0.0,0.0,0.0,0.0,0.0,5.659651171637487e-33,1.991426601407185e-67,8.40952562156946e-17,0.0,7.697655132245452e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999983355581,0.0,0.0,8.98886503057739e-12,0.0,0.0,0.0
Robin_office_Soledad,4.6081290405249305e-24,1.4010839314637775e-11,0.0,0.0,0.0,0.0,0.0,0.0,2.8274121989261425e-66,7.031071928899515e-82,0.9999924961920998,0.0,3.699133410192479e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073266163033366e-14,0.0,0.0,7.5037938790971e-06,0.0,0.0,0.0
Robin_education_Audrea,4.961918908939173e-64,7.369656743353972e-50,0.0,0.0,0.0,0.0,0.0,0.0,7.87223417085987e-266,8.704789523883566e-66,4.898601634968461e-81,0.0,6.396395990583444e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.858799734815621e-70,0.0,0.0,6.6387085704509465e-71,0.0,1.0,0.0
Robin_office_Saul,5.1284618129086274e-17,0.0002212263430783537,0.0,0.0,0.0,0.0,0.0,0.0,6.660829401724564e-140,3.8638946123863063e-66,0.9997787736305257,0.0,1.0489386792582508e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.791769727950793e-29,0.0,0.0,2.638612150698959e-11,0.0,0.0,0.0
Robin_lodging_Donna,4.469164009957134e-23,0.9999979923737614,0.0,0.0,0.0,0.0,0.0,0.0,1.586947646617903e-213,1.517826096090442e-67,1.7331858213731265e-08,0.0,1.8487864221567375e-26,3.471357553330698e-212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9902943809157525e-06,0.0,0.0,7.774193808149378e-17,0.0,0.0,0.0
Robin_office_Antonina,6.3029920383418455e-27,6.154984962822051e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.738448089067371e-181,0.0,8.955559284535428e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705653881002202e-190,0.0,0.0,5.782749255248703e-54,0.0,0.0,0.0
Robin_office_Erma,8.03591495209508e-74,9.298499959712124e-52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3751122380020846e-118,2.667238985570662e-59,0.0,1.4119565675733062e-70,6.999405702464189e-147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.527188763072277e-47,0.0,0.0,4.736091712513852e-47,0.0,0.0,0.0
Robin_office_Zelma,1.4875256417219909e-13,1.4372151445042607e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.314027034452641e-37,8.996344288394847e-22,0.0,0.9999999999998517,1.2839682579950339e-235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.262398967232207e-20,0.0,0.0,1.1373637551040891e-26,0.0,0.0,0.0
Robin_lodging_Renea,1.9427951783606187e-24,1.1678608380219228e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8845796984957406e-63,8.09760459704257e-35,0.0,1.8397281196571872e-65,2.261937451120918e-170,0.0,0.9999999999999885,0.0,0.0,0.0,0.0,0.0,0.0,2.3482405802956136e-17,0.0,0.0,2.259569916330784e-19,0.0,0.0,0.0
Robin_lodging_Armand,1.0135188269404176e-18,0.999999997861325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9425582615365486e-58,1.506810166838559e-10,0.0,1.4080190608404761e-11,5.7015196641513e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721389959815846e-09,0.0,0.0,1.7746271973063133e-12,0.0,0.0,0.0
Robin_education_Karyl,8.61220354866192e-22,3.527447546451232e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6989054220876263e-71,0.9999745812273506,0.0,2.5351551278018286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.483174757665131e-21,0.0,0.0,3.194689625825647e-08,0.0,0.0,0.0
Robin_lodging_Janie,2.6086726023441426e-19,1.3609481201250207e-18,0.0,0.0,0.0,0.0,0.0,0.0,3.846301436103093e-229,1.3848331799110913e-47,3.3364506710577366e-64,0.0,1.5782702451576e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.679484722333191e-44,0.0,0.0,6.930570393785039e-39,0.0,0.0,0.0
Shrew_office_Sherill,3.561475242106303e-95,6.825672527080993e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.542774883694627e-109,0.0,0.0,1.5466575731718827e-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3380850003367748e-154,0.0,0.0,1.0
Shrew_office_Rose,4.94411164995175e-23,4.111519872530433e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02681270305477e-67,5.3579573449735427e-11,0.0,3.1075566675673057e-07,4.858633018431673e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2272480424156198e-10,0.0,0.0,0.9999585737693031,0.0,0.0,0.0
Shrew_office_Nora,1.4760177272298356e-69,9.021824610642414e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3702310693108287e-186,4.488491980092271e-306,0.0,1.2429385715598803e-179,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5473765652285254e-142,0.0,0.0,4.3195930380181134e-69,0.0,0.0,0.0
Shrew_office_Katherine,6.450141680673968e-66,1.372496374197066e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.453068530604613e-140,9.725149299576036e-72,0.0,1.6868444514165517e-138,6.682040490586906e-91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8778242234131317e-108,0.0,0.0,1.8810202310568648e-108,0.0,0.0,0.0
Shrew_office_Ila,0.9999999976993479,1.4622081779577521e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.1599296536850158e-46,1.0514122312052827e-25,3.8648491049212927e-50,0.0,2.2962082942504844e-09,2.7884109201579714e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3390128313959707e-37,0.0,0.0,2.981082595079503e-12,0.0,0.0,0.0
Shrew_office_Doug,1.1488744672593847e-12,0.00047231258637998587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9572279968080903e-48,3.185803819919132e-10,0.0,0.9995276870852954,2.964318116623553e-239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4599466183637237e-16,0.0,0.0,8.594742301391352e-12,0.0,0.0,0.0
Shrew_office_Doris,0.9999999999999982,1.4149433580868483e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7597084068923154e-22,1.827086540961484e-64,0.0,1.4187479693887488e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.508355875173381e-60,0.0,0.0,6.37475068580188e-21,0.0,0.0,0.0
Shrew_office_Lin,2.020685692379515e-62,1.927445895569035e-93,0.0,0.0,0.0,0.0,0.0,0.0,3.849940001229062e-293,1.885328620271143e-74,1.0735189936438456e-278,0.0,8.953162828141719e-108,8.006154248473255e-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.266132344958938e-234,1.0,0.0,1.537563850987638e-100,0.0,0.0,0.0
Shrew_office_Kenneth,8.668883316908627e-21,4.572930809749324e-15,0.0,0.0,0.0,0.0,0.0,0.0,3.843851337041411e-195,3.527716351053925e-76,7.448798684686076e-29,0.0,2.1083867176520944e-52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.795716186144733e-17,0.0,0.0,0.9999999999999947,0.0,0.0,0.0
Mouse_health_Buddy,1.9137527104436864e-228,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4784574108325928e-218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.936860824825332e-246,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,1.6300308946154103e-234,2.0845994468520072e-291,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4784231281202473e-213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.827682897e-315,0.0,0.0,0.0
Mouse_lodging_Vicente,2.140505573952676e-21,9.608390485351767e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.25828551137799e-212,2.503575199175701e-74,0.9999999990391562,0.0,4.821005106580039e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7972722625801134e-34,0.0,0.0,4.2868208331162644e-15,0.0,0.0,0.0
Mouse_health_Justin,1.839630530174059e-306,6.36277596998531e-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.901950439177459e-82,0.0,1.0,1.929481335400477e-197,4.141286464864651e-245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9935280426938258e-224,0.0,0.0,0.0
Mouse_health_Ileana,2.3294880176396803e-15,1.54100157151943e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.3460886752012735e-206,2.320055163255354e-47,1.0618238417424727e-10,0.0,0.005086150281540119,9.05709073982783e-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0175688704637814e-13,0.0,0.0,0.9949136955117169,0.0,0.0,0.0
Mouse_health_Estela,8.757684701713461e-63,9.599205475117644e-99,0.0,0.0,0.0,0.0,0.0,0.0,1.3489700017033007e-251,1.4019203401259703e-61,9.360419792495841e-289,0.0,3.8411310265901186e-100,1.0308451117811952e-301,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.217169555863613e-248,0.0,0.0,5.0501716175131704e-96,0.0,0.0,0.0
Mouse_science_Micheal,6.125321610121196e-249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.122262205456164e-285,7.00233113183232e-228,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.2079863675867963e-267,0.0,0.0,0.0,0.0,0.0,0.0
