,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40
Robin_education_Cecilia,0.0,2.587917652734957e-12,0.0,0.0,0.0,1.6169547404378006e-153,0.0,0.0,2.6929916168551486e-108,0.0,0.0,0.0,2.0655537147342236e-50,0.0,0.0,0.0,0.0,0.0,0.0,3.6480551235055747e-25,0.0,4.488888636151681e-51,0.0,0.0,1.361547221197102e-29,0.0,0.0,0.0,0.0,0.0,0.0,3.422721780411921e-56,0.0,0.0,0.9999999999974123,0.0,0.0,0.0,0.0,1.0528079239688876e-32,0.0
Robin_education_Kiera,0.0,6.734426275505339e-12,0.0,0.0,0.0,2.704789875589586e-49,8.997402740299768e-207,0.0,3.157230371900459e-73,0.0,0.0,0.0,5.889880773015663e-23,0.0,0.0,0.0,0.0,0.0,0.0,7.518661348407343e-91,0.0,0.0,0.0,0.0,0.9999999999932605,0.0,0.0,0.0,0.0,0.0,0.0,5.179486245626898e-15,0.0,0.0,6.2319824972456584e-49,0.0,0.0,0.0,0.0,2.0150236837617851e-29,0.0
Robin_lodging_Pricilla,0.0,3.553723216308323e-34,0.0,0.0,0.0,5.2882186947299886e-30,0.0,0.0,5.439041223903221e-148,0.0,0.0,0.0,9.213419457875732e-46,0.0,0.0,0.0,0.0,0.0,0.0,5.5378511680080735e-244,0.0,0.0,0.0,0.0,3.94555739080679e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999609,0.0,0.0,4.706518175419504e-99,0.0,0.0,0.0,0.0,2.8456031521702643e-64,0.0
Robin_education_So,0.0,1.2444221023473854e-133,0.0,0.0,0.0,0.0,0.0,0.0,1.654984667502103e-246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.331040474274735e-181,0.0,0.0,0.0,0.0,6.129213244410236e-131,0.0,0.0,0.0,0.0,0.0,0.0,9.967197282074407e-190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1800278488923076e-262,1.0
Robin_office_Maryann,0.0,1.7889082798102664e-54,0.0,0.0,0.0,0.0,4.57697e-319,0.0,2.8214758360654633e-41,0.0,0.0,0.0,5.019560539737357e-186,0.0,0.0,0.0,0.0,0.0,0.0,1.1250868626805058e-85,0.0,0.0,0.0,0.0,9.027447860333458e-64,0.0,0.0,0.0,0.0,0.0,0.0,1.3698689564868366e-91,0.0,1.0,4.0107216568285623e-134,0.0,0.0,0.0,0.0,9.323259361733171e-56,0.0
Robin_office_Serena,0.0,0.000170531662338942,0.0,0.0,0.0,1.1655889239067165e-13,0.0,0.0,3.2879148483722734e-96,0.0,0.0,0.0,2.3814766477048496e-28,0.0,0.0,0.0,0.0,0.0,0.0,3.509529811248139e-42,0.0,2.3434397691334028e-153,0.0,0.0,0.999829468337512,0.0,0.0,0.0,0.0,0.0,0.0,4.367717366180307e-23,0.0,0.0,2.301627207989035e-17,0.0,0.0,0.0,0.0,3.262289455052647e-14,0.0
Robin_education_Derrick,0.0,6.903598758204418e-109,0.0,0.0,0.0,0.0,0.0,0.0,4.99878194406176e-180,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.409651366423249e-122,0.0,0.0,0.0,0.0,2.9450294085348095e-140,0.0,0.0,0.0,0.0,0.0,0.0,1.887172030537163e-169,0.0,0.0,1.4789000931483908e-266,0.0,0.0,0.0,0.0,5.592783606303908e-220,0.0
Robin_education_Megan,0.0,8.19703759506872e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.431219045595844e-161,0.0,0.0,0.0,0.0,0.0,0.0,1.273918779673312e-47,0.0,0.0,0.0,0.0,4.624388702861939e-28,0.0,0.0,0.0,0.0,0.0,0.0,4.755748253496542e-63,0.0,0.0,3.1974183209318575e-102,0.0,0.0,0.0,0.0,8.972711010377417e-19,0.0
Robin_office_Adolph,0.0,0.9999992865430172,0.0,0.0,0.0,1.448422884437191e-99,7.528462744673569e-260,0.0,1.5026816969951711e-96,0.0,0.0,0.0,1.0881798044982263e-43,0.0,0.0,0.0,0.0,0.0,0.0,1.593752031067692e-11,0.0,2.046738419886166e-55,0.0,0.0,1.032773926648895e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.869656599235577e-37,0.0,0.0,2.119682940863721e-13,0.0,0.0,0.0,0.0,7.13337556025982e-07,0.0
Robin_office_Lindsay,0.0,0.9966657789074568,0.0,0.0,0.0,4.55012503714224e-28,2.9636974998128954e-299,0.0,2.3348082090933475e-54,0.0,0.0,0.0,1.314337289584115e-57,0.0,0.0,0.0,0.0,0.0,0.0,8.609267160197045e-06,0.0,1.30058734628473e-240,0.0,0.0,8.775745091201767e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.243579851079552e-41,0.0,0.0,3.3746772354387573e-13,0.0,0.0,0.0,0.0,0.0033247342505361094,0.0
Robin_education_Takako,0.0,3.2080730695423666e-08,0.0,0.0,0.0,7.54066376092225e-180,0.0,0.0,9.389457378060746e-87,0.0,0.0,0.0,4.964286108535814e-93,0.0,0.0,0.0,0.0,0.0,0.0,9.525427350612562e-26,0.0,0.0,0.0,0.0,1.0206184981361632e-30,0.0,0.0,0.0,0.0,0.0,0.0,9.35731097288677e-50,0.0,0.0,5.212887565933175e-35,0.0,0.0,0.0,0.0,0.9999999679192696,0.0
Robin_lodging_Oliva,0.0,3.3242142014613577e-41,0.0,0.0,0.0,1.6089900243592083e-08,0.0,0.0,3.4283536632334654e-171,0.0,0.0,0.0,3.5444383942581415e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.262964343951223e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999839100991,0.0,0.0,1.1417744705834684e-169,0.0,0.0,0.0,0.0,7.544060730660847e-84,0.0
Robin_office_Victor,0.0,2.9146458740544475e-06,0.0,0.0,0.0,4.02894049524722e-12,2.2700944896068184e-240,0.0,7.69688697553508e-70,0.0,0.0,0.0,1.2404892617979638e-22,0.0,0.0,0.0,0.0,0.0,0.0,5.852601409855806e-52,0.0,1.6614750577023168e-182,0.0,0.0,0.9999970853500971,0.0,0.0,0.0,0.0,0.0,0.0,2.5611095703464075e-23,0.0,0.0,7.621350221700392e-21,0.0,0.0,0.0,0.0,2.911408693130279e-25,0.0
Robin_education_Margarito,1.0,3.4571068943165746e-107,0.0,0.0,0.0,0.0,0.0,0.0,9.152177926986526e-191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.463646758965534e-188,0.0,0.0,0.0,0.0,1.5079928740917174e-117,0.0,0.0,0.0,0.0,0.0,0.0,5.830655581711871e-154,0.0,0.0,3.3982187288285e-311,0.0,0.0,0.0,0.0,1.1199126122709193e-104,0.0
Robin_public_Cami,0.0,1.788157698637267e-33,0.0,0.0,0.0,0.9999999999931779,2.0034345018245547e-113,0.0,6.555479382209096e-170,0.0,0.0,0.0,3.4068445265350134e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4302018652164154e-15,0.0,0.0,0.0,0.0,0.0,0.0,6.8185833114706405e-12,0.0,0.0,1.6269484672585987e-157,0.0,0.0,0.0,0.0,6.251108382555955e-90,0.0
Robin_education_Kristopher,0.0,2.1529760518746373e-43,0.0,0.0,0.0,5.991561303469534e-194,3.493139284506632e-176,0.0,2.8633032903536715e-98,0.0,0.0,0.0,1.5405963827356469e-58,0.0,0.0,0.0,0.0,0.0,0.0,1.8136334290061237e-53,0.0,0.0,0.0,0.0,4.361153400167751e-66,0.0,0.0,0.0,0.0,0.0,1.0,2.790433334676024e-62,0.0,0.0,3.655547332870556e-52,0.0,0.0,0.0,0.0,5.334243374923482e-52,0.0
Robin_education_Billi,0.0,7.445456885750935e-26,0.0,0.0,0.0,0.9999999999789067,0.0,0.0,9.10952094764653e-181,0.0,0.0,0.0,2.678527991719434e-71,0.0,0.0,0.0,0.0,0.0,0.0,2.420583057e-315,0.0,1.0140677168024986e-212,0.0,0.0,2.1091825267160705e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.579538864466107e-15,0.0,0.0,6.408971748380014e-111,0.0,0.0,0.0,0.0,2.027051434626469e-64,0.0
Robin_lodging_Celia,0.0,1.1036526989773189e-51,0.0,0.0,0.0,2.7878050746702696e-14,0.0,0.0,5.58106063409731e-244,0.0,0.0,0.0,9.391402392625064e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6083766106774383e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999725,0.0,0.0,6.653424861740564e-210,0.0,0.0,0.0,0.0,4.8370276547481705e-80,0.0
Robin_office_Donald,0.0,3.158927612992241e-16,0.0,0.0,0.0,0.0,5.646064125850479e-172,0.0,0.9999999999998552,0.0,0.0,0.0,1.3670425341730452e-112,0.0,0.0,0.0,0.0,0.0,0.0,2.7791857413251163e-20,0.0,0.0,0.0,0.0,4.1228101121170445e-27,0.0,0.0,0.0,0.0,0.0,0.0,3.383822266785447e-50,0.0,0.0,8.329418787677725e-62,0.0,0.0,0.0,0.0,1.444739832859763e-13,0.0
Robin_assembly_Colleen,0.0,9.179635206093098e-30,0.0,0.0,0.0,0.9999999998422211,0.0,0.0,5.503440796009895e-139,0.0,0.0,0.0,1.0776464988478593e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.256966864885959e-276,0.0,0.0,2.579120761175458e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.3198769129700302e-10,0.0,0.0,2.5367082764142715e-152,0.0,0.0,0.0,0.0,3.757002939732558e-69,0.0
Robin_office_Soledad,0.0,6.475093629687455e-19,0.0,0.0,0.0,5.0933814762735225e-141,0.0,0.0,1.996774005450482e-121,0.0,0.0,0.0,1.9474819342644622e-57,0.0,0.0,0.0,0.0,0.0,0.0,6.048715332689956e-108,0.0,0.9999999999242313,0.0,0.0,7.576874407135574e-11,0.0,0.0,0.0,0.0,0.0,0.0,7.072534237650736e-50,0.0,0.0,2.166639566940339e-22,0.0,0.0,0.0,0.0,6.717002367733945e-42,0.0
Robin_education_Audrea,0.0,8.342870955765981e-67,0.0,0.0,0.0,0.0,0.0,0.0,7.058748060389227e-129,0.0,0.0,0.0,1.148485345189788e-189,0.0,0.0,0.0,0.0,0.0,0.0,2.2815859936281157e-104,1.0,0.0,0.0,0.0,2.2651284126736485e-84,0.0,0.0,0.0,0.0,0.0,0.0,3.0569497678521844e-80,0.0,0.0,1.8329510087093465e-105,0.0,0.0,0.0,0.0,9.47758719552059e-112,0.0
Robin_office_Saul,0.0,0.9999999997552695,0.0,0.0,0.0,1.4639883871899389e-189,1.750451584164675e-134,0.0,4.0955824558508355e-63,0.0,0.0,0.0,1.071864047491219e-46,0.0,0.0,0.0,0.0,0.0,0.0,7.015380918448298e-37,0.0,2.4595665127499615e-77,0.0,0.0,1.0982070993447496e-25,0.0,0.0,0.0,0.0,0.0,0.0,4.6153298980333647e-51,0.0,0.0,2.447311998008688e-10,0.0,0.0,0.0,0.0,1.7893064757157847e-16,0.0
Robin_lodging_Donna,0.0,7.26414176527793e-22,0.0,0.0,0.0,3.041258444523332e-94,0.0,0.0,1.3343911408966329e-123,0.0,0.0,0.0,0.9999999099135529,0.0,0.0,0.0,0.0,0.0,0.0,5.625900812845225e-160,0.0,4.443665175637464e-192,0.0,0.0,9.003522975619987e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.121738880457106e-11,0.0,0.0,3.7630006410858328e-62,0.0,0.0,0.0,0.0,9.044244470571856e-29,0.0
Robin_office_Antonina,0.0,5.2980381795485855e-110,0.0,0.0,0.0,0.0,3.549938726995647e-255,0.0,3.86983392525621e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5812246526127028e-169,0.0,0.0,0.0,0.0,1.729511776238001e-216,0.0,0.0,0.0,0.0,0.0,0.0,1.675804254785569e-194,1.0,0.0,3.3726517804527194e-258,0.0,0.0,0.0,0.0,4.985767059642809e-105,0.0
Robin_office_Erma,0.0,4.468073212000936e-26,0.0,0.0,0.0,1.2869162657484218e-192,0.0,0.0,2.5369170183043906e-232,0.0,0.0,0.0,1.0334154062371775e-90,0.0,0.0,0.0,0.0,0.0,0.0,1.0801355993239638e-200,0.0,1.0,0.0,0.0,1.5676091872858418e-27,0.0,0.0,0.0,0.0,0.0,0.0,5.493561416683639e-45,0.0,0.0,7.786236704063752e-78,0.0,0.0,0.0,0.0,2.161424745084088e-67,0.0
Robin_office_Zelma,0.0,5.117971508200845e-13,0.0,0.0,0.0,6.456437098606102e-69,0.0,0.0,1.2419671723076564e-86,0.0,0.0,0.0,2.0675490785696928e-195,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999994884,0.0,0.0,0.0,0.0,8.143263980314544e-20,0.0,0.0,0.0,0.0,0.0,0.0,2.8822247341397095e-45,0.0,0.0,1.1608194940553417e-68,0.0,0.0,0.0,0.0,2.531356488413188e-20,0.0
Robin_lodging_Renea,0.0,1.926969988791815e-35,0.0,0.0,0.0,3.443735401067248e-198,0.0,0.0,3.7444353892758006e-165,0.0,0.0,0.0,1.1869842091308678e-56,0.0,0.0,0.0,0.0,0.0,0.0,1.5894760137281e-310,0.0,0.0,0.0,0.0,1.2204608077023851e-21,1.0,0.0,0.0,0.0,0.0,0.0,4.483283722587964e-25,0.0,0.0,6.037804425182275e-125,0.0,0.0,0.0,0.0,2.4537090561368538e-60,0.0
Robin_lodging_Armand,0.0,2.771947782293816e-12,0.0,0.0,0.0,1.9750217319901606e-63,1.4187842649631422e-205,0.0,1.8376815840000102e-127,0.0,0.0,0.0,0.9999999999961049,0.0,0.0,0.0,0.0,0.0,0.0,3.158633867404972e-75,0.0,4.2507588357757755e-169,0.0,0.0,1.1208458035481329e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.1236798286692332e-15,0.0,0.0,2.2708701340840916e-35,0.0,0.0,0.0,0.0,1.170639302018069e-15,0.0
Robin_education_Karyl,0.0,1.4224032658153585e-09,0.0,0.0,0.0,4.0408240592543724e-101,0.0,0.0,2.918824059060361e-109,0.0,0.0,0.0,1.2709775154034488e-43,0.0,0.0,0.0,0.0,0.0,0.0,7.73940779259903e-30,0.0,7.137895663432629e-28,0.0,0.0,8.212304106394201e-15,0.0,0.0,0.0,0.0,0.0,0.0,4.27092293827863e-51,0.0,0.0,0.9999999985775885,0.0,0.0,0.0,0.0,3.3923592329214645e-20,0.0
Robin_lodging_Janie,0.0,2.2765101822082219e-69,0.0,0.0,0.0,0.0,0.0,0.0,9.494666115907783e-166,0.0,0.0,0.0,1.5103365871584547e-137,0.0,0.0,0.0,0.0,0.0,0.0,5.70356489958252e-229,0.0,0.0,0.0,0.0,3.436433061358497e-98,0.0,0.0,1.0,0.0,0.0,0.0,1.1458309449693865e-79,0.0,0.0,4.407432678873844e-145,0.0,0.0,0.0,0.0,2.272885759279348e-143,0.0
Shrew_office_Sherill,0.0,5.234150611497155e-185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.074393033185715e-276,0.0,0.0,0.0,0.0,0.0,0.0,1.8262208164966767e-259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5286995533661752e-268,0.0
Shrew_office_Rose,0.0,0.9971762538012454,0.0,0.0,0.0,7.421629743016076e-132,5.920628481705696e-240,0.0,7.041540052092322e-145,0.0,0.0,0.0,3.379831678765533e-14,0.0,0.0,0.0,0.0,0.0,0.0,2.021965930589797e-52,0.0,4.221338306256187e-52,0.0,0.0,0.002823746196912178,0.0,0.0,0.0,0.0,0.0,0.0,4.249404057574837e-19,0.0,0.0,8.771463831386653e-22,0.0,0.0,0.0,0.0,1.808666158126064e-12,0.0
Shrew_office_Nora,0.0,4.2742213252889513e-119,0.0,0.0,0.0,0.0,0.0,0.0,3.595355458988878e-194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.282569377561738e-221,0.0,0.0,0.0,0.0,0.0,0.0,5.199875029268922e-133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6213655657298455e-141,0.0
Shrew_office_Katherine,0.0,3.249441729565359e-86,0.0,0.0,0.0,0.0,0.0,0.0,3.5617483216496396e-185,0.0,0.0,0.0,5.512526747273553e-186,0.0,0.0,0.0,0.0,1.0,0.0,8.418727829988541e-241,0.0,0.0,0.0,0.0,5.387205382823133e-137,0.0,0.0,0.0,0.0,0.0,0.0,3.409117568974706e-181,0.0,0.0,1.2120980326956432e-119,0.0,0.0,0.0,0.0,7.86271219535807e-120,0.0
