,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37
Robin_education_Lashandra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3770807111875734e-120,0.0,0.0,4.393575417583938e-119,1.0,0.0,7.291948409502767e-93,0.0,0.0,4.128933301660195e-111,0.0,0.0,0.0,0.0,0.0,2.0895088399547582e-107,0.0,0.0,7.731370059858102e-130,0.0,0.0,5.1483433751510585e-92,0.0,0.0,0.0,0.0,5.701455458827468e-200,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.118831268112815e-92,0.0,0.0,4.8767507023972546e-11,0.0,0.0,1.8146106179829945e-150,0.0,0.0,3.629196750882907e-13,0.0,0.0,0.0,0.0,0.0,0.9999999999508695,0.0,0.0,1.7156744159873937e-37,1.5651269714795508e-254,0.0,3.2960782373544934e-38,0.0,0.0,0.0,0.0,5.150836483400886e-57,0.0,0.0,7.571367926428969e-36,0.0
Robin_office_Gayle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5047692648180655e-103,0.0,0.0,8.575884509046967e-38,0.0,0.0,1.5323821964615053e-189,0.0,0.0,1.4111310026775449e-42,0.0,0.0,0.0,0.0,0.0,4.748275111404704e-43,0.0,0.0,1.1917560029677514e-55,0.0,0.0,1.5278847983853987e-35,0.0,0.0,0.0,0.0,4.440992354622326e-42,0.0,0.0,1.3118580009672061e-241,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.756187903523207e-74,0.0,0.0,1.232655792821329e-29,0.0,0.0,2.410643701613259e-194,0.0,0.0,1.0514177574014856e-33,0.0,0.0,0.0,0.0,0.0,8.502669067859033e-10,0.0,0.0,3.944776546980808e-14,3.351649204167655e-89,0.0,2.2086297003140785e-05,0.0,0.0,0.0,0.0,1.0318197442809004e-28,0.0,0.0,0.9999779128526904,0.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0566215333061093e-64,0.0,0.0,1.7599367044157596e-88,0.0,0.0,1.3356310749910965e-111,0.0,0.0,2.382891286409571e-71,0.0,0.0,0.0,0.0,0.0,4.0161749088470676e-75,0.0,0.0,5.1790437446990566e-113,0.0,0.0,1.146560702421154e-97,0.0,0.0,0.0,1.0,1.5593440467638024e-176,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.713179842484805e-112,0.0,0.0,1.9744594515729324e-09,0.0,0.0,1.136384757532444e-164,0.0,0.0,3.702072197747276e-13,0.0,0.0,0.0,0.0,0.0,0.9999999980249807,0.0,0.0,1.893062439134408e-13,0.0,0.0,6.248354866356314e-21,0.0,0.0,0.0,0.0,5.620958254748749e-38,0.0,0.0,3.0475134870281276e-162,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3983427659282428e-31,0.0,0.0,3.4256743871055718e-12,0.0,0.0,1.4546839150856408e-126,0.0,0.0,0.9999999965731874,0.0,0.0,0.0,0.0,0.0,3.4233870066839775e-09,0.0,0.0,4.267700948342043e-40,0.0,0.0,4.6512324723961997e-23,0.0,0.0,0.0,0.0,4.970487289815156e-93,0.0,0.0,7.356062109586071e-31,0.0
Robin_office_Wai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3181623498998e-310,0.0,0.0,2.482543092621985e-289,0.0,0.0,0.0,0.0,0.0,6.539588835207113e-194,0.0,0.0,1.0,0.0,0.0,8.067956573397231e-136,0.0,0.0,3.5359651781732725e-135,0.0,0.0,2.3640875483825827e-177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0257097125779397e-130,0.0,0.0,2.0388521288136204e-109,0.0,0.0,0.0,0.0,0.0,9.353051221826613e-67,0.0,0.0,0.0,1.0,0.0,1.1218919077007014e-96,0.0,0.0,2.7385237418795166e-115,0.0,0.0,7.310874746753378e-123,0.0,0.0,0.0,0.0,4.406876411005831e-156,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.757904551802986e-143,0.0,0.0,1.0418337021091934e-70,0.0,0.0,5.382813839634212e-230,0.0,0.0,3.043658159041383e-50,0.0,0.0,0.0,0.0,0.0,2.6123559786975566e-24,0.0,0.0,1.9240112772566082e-18,0.0,0.0,1.242439248744542e-26,0.0,0.0,0.0,0.0,1.0864704831001329e-39,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0406303647409332e-108,0.0,0.0,0.9999999999545177,0.0,0.0,3.487262629593133e-159,0.0,0.0,5.191698823042607e-19,0.0,0.0,0.0,0.0,0.0,4.543716213701986e-11,0.0,0.0,3.455785357894772e-39,0.0,0.0,4.52005111096062e-14,0.0,0.0,0.0,0.0,1.0231175077227087e-21,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0445470081603027e-100,0.0,0.0,0.9999999999999778,0.0,0.0,1.899165008533131e-127,0.0,0.0,2.24633086389706e-14,0.0,0.0,0.0,0.0,0.0,7.526271101581557e-19,0.0,0.0,5.70336060537826e-54,0.0,0.0,5.120644125418587e-24,0.0,0.0,0.0,0.0,8.148975601817335e-18,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.744300419322038e-58,0.0,0.0,7.462470646401394e-28,0.0,0.0,1.3661649496898432e-188,0.0,0.0,1.1472700055946985e-18,0.0,0.0,0.0,0.0,0.0,1.5048537856168117e-10,0.0,0.0,5.1840496087567715e-14,9.005327135429144e-206,0.0,0.9999999998494626,0.0,0.0,0.0,0.0,1.353496604536677e-25,0.0,0.0,1.7114375078334012e-65,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3798474410064263e-125,0.0,0.0,5.503000737270648e-49,0.0,0.0,1.942156993891062e-244,0.0,0.0,5.8070338445265304e-36,0.0,0.0,0.0,0.0,0.0,1.479043725895264e-09,0.0,0.0,0.9999999985209556,0.0,0.0,1.2030196090948908e-22,0.0,0.0,0.0,0.0,1.6343750215935925e-19,0.0,0.0,4.1151970444141987e-17,0.0
Robin_education_So,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.786666685347807e-147,0.0,0.0,8.63624559765835e-148,0.0,0.0,1.0,0.0,0.0,5.187568240026422e-150,0.0,0.0,0.0,0.0,0.0,2.5142731306629544e-104,0.0,0.0,1.0129988960775248e-161,0.0,0.0,1.8516999229067358e-82,0.0,0.0,0.0,0.0,3.366087657444407e-263,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6303095614538025e-39,0.0,0.0,1.9566658237019187e-76,0.0,0.0,2.1755055429799645e-27,0.0,0.0,0.0,0.0,0.0,1.871674059011928e-25,0.0,0.0,2.0493378083941805e-62,6.847188901337872e-290,0.0,2.115449007502172e-37,0.0,0.0,0.0,0.0,1.9335335952648687e-101,0.0,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2207106429237966e-95,0.0,0.0,1.8092055646890783e-12,0.0,0.0,1.3094239924751576e-204,0.0,0.0,1.4492255437183527e-16,0.0,0.0,0.0,0.0,0.0,2.8076183150975082e-12,0.0,0.0,4.821787019402587e-24,0.0,0.0,0.9999999999953753,0.0,0.0,0.0,0.0,5.0323193419243233e-17,0.0,0.0,8.093589815910838e-15,0.0
Robin_education_Derrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3226240059597918e-94,0.0,0.0,1.422256954685254e-107,0.0,0.0,1.0,0.0,0.0,3.620192293816059e-104,0.0,0.0,0.0,0.0,0.0,3.4784616058574998e-93,0.0,0.0,1.9179938704280644e-141,0.0,0.0,1.834539908324088e-76,0.0,0.0,0.0,0.0,1.755307667899598e-192,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5238941687023137e-36,0.0,0.0,2.4228711965587386e-117,0.0,0.0,6.75308435079479e-23,0.0,0.0,0.0,0.0,0.0,2.8926695117336346e-32,0.0,0.0,7.626206336878725e-63,0.0,0.0,1.5953691920650761e-24,0.0,0.0,0.0,0.0,7.754208401384562e-86,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5531864970874637e-85,0.0,0.0,0.9999999744007025,0.0,0.0,1.209172908035847e-151,0.0,0.0,1.719140539917888e-14,0.0,0.0,0.0,0.0,0.0,8.284162580192411e-09,0.0,0.0,6.960472008672113e-37,2.802740674609819e-259,0.0,1.731511781994783e-08,0.0,0.0,0.0,0.0,4.158093173548718e-33,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9428604050136882e-49,0.0,0.0,0.999670923728938,0.0,0.0,1.1760691652960966e-119,0.0,0.0,0.00032907546853647526,0.0,0.0,0.0,0.0,0.0,2.946949039874183e-10,0.0,0.0,3.3286917446680196e-41,1.067252014717961e-299,0.0,5.078307548750043e-10,0.0,0.0,0.0,0.0,9.629520334705971e-51,0.0,0.0,3.32985670552665e-112,0.0
Robin_education_Takako,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4667427378911768e-53,0.0,0.0,7.766506572682696e-11,0.0,0.0,1.481193446927232e-134,0.0,0.0,0.999999999921716,0.0,0.0,0.0,0.0,0.0,6.194843212552545e-13,0.0,0.0,9.924679967354961e-49,0.0,0.0,1.222455714889178e-35,0.0,0.0,0.0,0.0,4.923808055565495e-91,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761632803249714e-142,0.0,0.0,3.0491169227643473e-91,0.0,0.0,1.0162190810467237e-289,0.0,0.0,6.27268986538714e-68,0.0,0.0,0.0,0.0,0.0,1.897073314494582e-16,0.0,0.0,1.0,0.0,0.0,6.063023628354516e-24,0.0,0.0,0.0,0.0,2.5341138543140647e-28,0.0,0.0,1.0603963521979584e-31,0.0
Robin_office_Victor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.412089461544551e-69,0.0,0.0,2.3892361016748583e-15,0.0,0.0,7.394814329484798e-178,0.0,0.0,6.522935711965059e-19,0.0,0.0,0.0,0.0,0.0,1.8150676280447295e-13,0.0,0.0,6.455242852724999e-23,5.721741144941738e-240,0.0,0.9999999082957152,0.0,0.0,0.0,0.0,2.8926640211249336e-17,0.0,0.0,9.170410090875835e-08,0.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1902783360860946e-133,0.0,0.0,5.669638666932154e-157,0.0,0.0,4.7482081275437085e-129,0.0,0.0,1.3384228318911992e-136,0.0,0.0,0.0,0.0,0.0,2.7350092524300526e-107,0.0,0.0,5.830666003076579e-154,0.0,0.0,3.570831008305025e-150,0.0,0.0,1.0,0.0,1.9682703311322344e-283,0.0,0.0,7.766869036548954e-182,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.863193339621557e-140,0.0,0.0,5.152255674275386e-126,0.0,0.0,2.790407503172576e-231,1.0,0.0,3.693804523493505e-108,0.0,0.0,0.0,0.0,0.0,1.2257002485845456e-56,0.0,0.0,5.359476107127948e-41,1.5747195176036587e-142,0.0,2.8967279869105847e-50,0.0,0.0,0.0,0.0,3.188387510553628e-60,0.0,0.0,5.042635565399293e-88,0.0
Robin_education_Kristopher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7687135382394827e-89,0.0,0.0,8.40597166153275e-42,0.0,0.0,4.08162854857777e-195,0.0,0.0,2.398803689293475e-36,0.0,0.0,0.0,0.0,0.0,4.323366441123961e-40,0.0,0.0,2.7904344389857736e-62,3.493139284387891e-176,0.0,1.1301017627695485e-72,0.0,0.0,0.0,0.0,2.290890569316706e-75,0.0,0.0,0.0,1.0
Robin_education_Billi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0915525238177095e-151,0.0,0.0,9.55484729618134e-77,0.0,0.0,1.0525002150238361e-298,0.0,0.0,4.6103099634685004e-63,0.0,0.0,0.0,0.0,0.0,6.87604190068366e-25,0.0,0.0,9.685400579174427e-17,0.0,0.0,1.2994616280726635e-22,0.0,0.0,0.0,0.0,5.500234069091621e-31,0.0,0.0,1.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1342236918093157e-209,0.0,0.0,2.8112959404405582e-108,0.0,0.0,6.025421068301193e-303,0.0,0.0,1.1691894007157322e-78,0.0,0.0,0.0,0.0,0.0,9.489505499686287e-18,0.0,0.0,1.0,0.0,0.0,4.011218333972642e-34,0.0,0.0,0.0,0.0,6.506572683200373e-44,0.0,0.0,3.883067126701888e-32,0.0
Robin_office_Donald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999964331,0.0,0.0,6.119850991271141e-22,0.0,0.0,2.6587969340778038e-126,0.0,0.0,3.5673694301325847e-12,0.0,0.0,0.0,0.0,0.0,1.9058252958510964e-23,0.0,0.0,3.691365631551885e-49,6.159209898506341e-171,0.0,2.881838309443845e-18,0.0,0.0,0.0,0.0,6.659176797296245e-69,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5609664325660188e-102,0.0,0.0,2.155836738786591e-91,0.0,0.0,6.797082767261964e-216,0.0,0.0,3.1327284585160857e-69,0.0,0.0,0.0,0.0,0.0,5.7244290937318e-14,0.0,0.0,1.917184270985952e-09,0.0,0.0,9.159902322740352e-19,0.0,0.0,0.0,0.0,3.6914805627281656e-29,0.0,0.0,0.9999999980827585,0.0
Robin_office_Soledad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.992771908606614e-125,0.0,0.0,3.950767483139415e-18,0.0,0.0,1.8542094195053572e-249,0.0,0.0,2.4005442249339932e-36,0.0,0.0,0.0,0.0,0.0,2.9234853433837165e-25,0.0,0.0,2.161093382548687e-49,0.0,0.0,1.898824105328582e-13,0.0,0.0,0.0,0.0,0.9999999999998099,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.239109001555816e-86,0.0,0.0,2.6570091160955676e-71,0.0,0.0,9.237364950363437e-110,0.0,0.0,6.31079012881092e-47,0.0,0.0,0.0,0.0,0.0,4.439038006194272e-68,0.0,0.0,3.0569521024596917e-80,0.0,0.0,1.2278401710518016e-97,0.0,1.0,0.0,0.0,1.220528754666806e-126,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7739446615125765e-69,0.0,0.0,0.9999999665053482,0.0,0.0,4.382632324615952e-181,0.0,0.0,1.6971893469011696e-21,0.0,0.0,0.0,0.0,0.0,3.349465151298052e-08,0.0,0.0,5.356915912974508e-50,2.0317096703673265e-133,0.0,2.0664694087627546e-26,0.0,0.0,0.0,0.0,5.164738488278063e-38,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2855729508761e-109,0.0,0.0,7.338703592632521e-27,0.0,0.0,2.8004622468152742e-183,0.0,0.0,3.7153614325237615e-35,0.0,0.0,0.0,0.0,0.0,0.9999999943428222,0.0,0.0,5.643478335527046e-09,0.0,0.0,1.35172485404985e-11,0.0,0.0,0.0,0.0,1.8227967175282553e-13,0.0,0.0,1.0570358506557914e-298,0.0
Robin_office_Antonina,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.600850900329059e-99,0.0,0.0,4.8387293493296054e-133,0.0,0.0,5.156869648642371e-147,0.0,0.0,7.659028147185569e-155,0.0,0.0,0.0,0.0,0.0,7.615629330244771e-136,0.0,0.0,1.6758081972505373e-194,3.5499387267571306e-255,0.0,4.368709863127899e-132,0.0,0.0,0.0,0.0,1.128383365464505e-181,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2458296264280945e-207,0.0,0.0,9.845707062496529e-89,0.0,0.0,0.0,0.0,0.0,3.395656434275163e-83,0.0,0.0,0.0,0.0,0.0,2.8243817107188264e-69,0.0,0.0,4.745497487433154e-74,0.0,1.0,4.9637670829378254e-51,0.0,0.0,0.0,0.0,6.914792595623619e-63,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.836198016146762e-66,0.0,0.0,4.382774912866218e-10,0.0,0.0,2.5376620057976588e-82,0.0,0.0,0.999999999561723,0.0,0.0,0.0,0.0,0.0,1.1996263503309501e-17,0.0,0.0,8.355526661623217e-44,0.0,0.0,9.007817694279521e-29,0.0,0.0,0.0,0.0,5.310699071994485e-79,0.0,0.0,2.789710532113722e-25,0.0
Robin_lodging_Renea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5393995593313334e-129,0.0,0.0,2.5161578952304436e-69,0.0,0.0,2.2666699926554917e-196,0.0,0.0,2.6520518650415967e-51,0.0,0.0,0.0,0.0,0.0,3.1262700787148906e-16,0.0,0.0,4.48328613096168e-25,0.0,0.0,3.0269845388696146e-28,0.0,0.0,0.0,0.0,6.580180343401569e-36,0.0,0.0,2.8255929510829735e-305,0.0
Robin_lodging_Armand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.228429311647716e-104,0.0,0.0,5.458801813945261e-13,0.0,0.0,6.146953170658581e-149,0.0,0.0,8.255879864952592e-20,0.0,0.0,0.0,0.0,0.0,0.9999999999952118,0.0,0.0,7.900533532509847e-14,9.975394305388949e-204,0.0,4.163171631550629e-12,0.0,0.0,0.0,0.0,1.8058124820721475e-22,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.839730519482922e-103,0.0,0.0,0.9999999999999996,0.0,0.0,2.592566242034783e-162,0.0,0.0,5.979634707219625e-18,0.0,0.0,0.0,0.0,0.0,4.661833564694234e-16,0.0,0.0,2.8107153907496146e-50,0.0,0.0,1.2196769089303638e-16,0.0,0.0,0.0,0.0,6.052574593469287e-17,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8249728467133826e-114,0.0,0.0,2.0680811358541766e-100,0.0,0.0,0.0,0.0,0.0,3.143764280597173e-67,0.0,0.0,0.0,0.0,0.0,5.164165795467515e-66,0.0,0.0,1.1458316025557624e-79,0.0,0.0,8.100646019468507e-102,0.0,0.0,0.0,0.0,1.4858596899456655e-105,1.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.640487379943747e-308,0.0,0.0,2.5e-323,0.0,0.0,0.0,0.0,0.0,2.619701952339683e-298,0.0,0.0,0.0,0.0,0.0,9.22056972325804e-195,1.0,0.0,1.8262258398208635e-259,0.0,0.0,7.741589842784394e-205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.174528970642678e-128,0.0,0.0,7.3951722663914e-12,0.0,0.0,2.995426822212149e-217,0.0,0.0,3.473051913006781e-26,0.0,0.0,0.0,0.0,0.0,4.653478144239326e-07,0.0,0.0,1.6454895798895009e-21,2.292634272707592e-242,0.0,0.9999995346447904,0.0,0.0,0.0,0.0,5.062981462433155e-26,0.0,0.0,6.908301389713502e-65,0.0
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0546335216378821e-132,0.0,0.0,4.978898602200676e-217,0.0,0.0,0.0,0.0,1.0,5.512740187580899e-154,0.0,0.0,0.0,0.0,0.0,6.875664384637637e-142,0.0,0.0,5.199880125465417e-133,0.0,0.0,3.569504607576548e-153,0.0,0.0,0.0,0.0,1.591325303565426e-124,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.192436359211426e-132,1.0,0.0,1.4758759793785022e-79,0.0,0.0,0.0,0.0,0.0,2.827860296257493e-108,0.0,0.0,0.0,0.0,0.0,4.038063097781342e-74,0.0,0.0,3.4091322477693097e-181,0.0,0.0,1.2270576208927654e-148,0.0,0.0,0.0,0.0,1.242209691488592e-129,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.255771805839542e-16,0.0,0.0,5.325470540945831e-35,0.0,0.0,1.4681298728096898e-207,0.0,0.0,1.0852686620110846e-19,0.0,0.0,0.0,0.0,0.0,1.9989921731660432e-22,0.0,0.0,3.150010882118309e-39,0.9999999999988551,0.0,1.1442421461451901e-12,0.0,0.0,0.0,0.0,1.171507208876273e-64,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3317173865340716e-60,0.0,0.0,0.007645070853811658,0.0,0.0,1.1271923411824525e-138,0.0,0.0,0.008859194601252411,0.0,0.0,0.0,0.0,0.0,0.9834957341315693,0.0,0.0,1.0360669193595414e-22,1.866065055626769e-56,0.0,4.133662401368059e-10,0.0,0.0,0.0,0.0,2.823968814378965e-48,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70212815163831e-38,0.0,0.0,2.176630537955299e-57,0.0,0.0,1.0467975825492668e-184,0.0,0.0,2.6560321308825592e-42,0.0,0.0,0.0,0.0,0.0,2.762157643337761e-29,0.0,0.0,2.2171896724059223e-58,1.0,0.0,2.542038417101049e-33,0.0,0.0,0.0,0.0,5.206856352895607e-84,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.314489868969657e-165,0.0,0.0,1.7474020459817924e-216,0.0,0.0,0.0,0.0,0.0,9.846716379914188e-208,0.0,1.0,0.0,0.0,0.0,2.9088734256605064e-130,0.0,0.0,1.9899123371316743e-171,1.561004989154132e-121,0.0,4.756998452230002e-111,0.0,0.0,0.0,0.0,4.849932476593946e-258,0.0,0.0,0.0,0.0
