,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44
Robin_office_Wai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31816235276106e-310,0.0,0.0,0.0,6.193675079140926e-150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3907799381290575e-170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2786418142701457e-174,0.0,8.846250371549251e-214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0257097126550771e-130,0.0,0.0,0.0,1.581227983726137e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.454559066033572e-145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.423870665476079e-265,7.184605843599012e-169,1.311488616914144e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75790455390797e-143,0.0,0.0,0.0,2.502164101429067e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.835928074958196e-67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1809104112531e-54,2.4885051256362636e-79,1.669864985479022e-25,0.0,2.1153216501930333e-239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90994702032666e-109,0.0,0.0,0.0,7.606829082255249e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.583207941120197e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.782951207211039e-13,0.9999999641677424,9.525412741825538e-17,0.0,1.713605443647178e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.110537574571853e-101,0.0,0.0,0.0,5.427151487305534e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.367237887692243e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2571854946364595e-31,1.0,2.7938857112028486e-25,0.0,7.177619382653248e-152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1073132752571863e-58,0.0,0.0,0.0,1.9209055007121612e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967903195335586e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.633610304800572e-206,0.0,0.0,6.756704655438007e-29,4.2290047682208767e-45,0.9999999999998082,0.0,1.0923314525799063e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8502635992893154e-130,0.0,1.0,0.0,1.7739550685429682e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1069310137675966e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4385504881500683e-69,5.650771504311218e-48,9.909150725771659e-26,0.0,4.4596032220896243e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7579588684447288e-175,0.0,0.0,0.0,2.795496816650387e-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4360022303622206e-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6534929214234993e-264,0.0,1.6956291211895903e-165,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5597906315166765e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.330284932561555e-76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.847188900815542e-290,0.0,0.0,1.2280237615224515e-26,4.468376799987668e-97,1.3691610141319804e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.095142162111853e-95,0.0,0.0,0.0,3.722908916227042e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.718590363801649e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.012991447263158e-15,3.6097561482576e-20,0.9999922814096126,0.0,1.8582193975284146e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3013723185855828e-122,0.0,0.0,1.0,9.708556323005399e-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.352582271933725e-167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0806318366641197e-221,1.443050612201096e-301,5.222288008365431e-143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.439133659581356e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.297468529137005e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3532147665643195e-18,2.3299324736482825e-108,5.835943848296423e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3969314779343606e-86,0.0,0.0,0.0,7.071656947992565e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999945272262686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8906908917386104e-260,0.0,0.0,1.7311143626219234e-07,5.2996561063568305e-06,6.188872766964185e-12,0.0,3.637549436716974e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4265572755926433e-50,0.0,0.0,0.0,1.0596571400384395e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999863016405314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3329563639138991e-300,0.0,0.0,0.00013697379642293084,9.768578440572825e-09,2.968425523419905e-11,0.0,2.046469646179906e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.329739715444827e-54,0.0,0.0,0.0,3.686836396220619e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65229110037943e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999236,3.8530537953606043e-28,1.3107734485515158e-38,0.0,7.553633402987636e-180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.740457875632072e-146,0.0,0.9999999999980602,0.0,2.653175881948085e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102562790566995e-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.807332752394158e-88,1.856851092945966e-74,8.414130039678756e-24,0.0,1.9397381534266237e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.517065273487678e-69,0.0,0.0,0.0,9.812512389646179e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407130676996681e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.752601480721822e-240,0.0,0.0,4.258209783871399e-25,3.2475502430429984e-22,0.9999999999933398,0.0,6.660079361502645e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1902783364411707e-133,0.0,0.0,0.0,7.77393550742475e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04835328010838e-165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.331677348666298e-105,0.0,1.5743188679179867e-186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1276183854291982e-110,0.0,0.0,0.0,1.3602013963150028e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.686206654595594e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0034344412756247e-113,0.0,0.0,5.477116538598935e-90,2.6147985021888524e-74,7.659416204516531e-19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768713538412009e-89,0.0,0.0,0.0,8.402502772382193e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.940701213760438e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49313928433011e-176,0.0,1.0,5.00707108209484e-52,7.90574756495839e-47,1.6627170792765088e-72,0.0,5.991514097607067e-194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4109993064714977e-150,0.0,0.0,0.0,1.791353555566589e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.494256882729324e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.896185788005683e-64,1.7056187837982138e-72,5.70335211037266e-19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2178620726991277e-238,0.0,0.0,0.0,1.466760896768024e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.553816365200072e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.433548983622049e-109,5.260887125752146e-122,5.932987428956938e-58,0.0,1.9727253178198593e-43,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Donald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984936,0.0,0.0,0.0,6.4014928702844815e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5646285127409685e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.159209898372599e-171,0.0,0.0,1.5062213933999443e-12,8.927610370277205e-66,6.565293380914013e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4515317875553597e-103,0.0,0.0,0.0,4.274671555894089e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9302618632246935e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.199909796884612e-69,5.900679072134063e-74,1.459396715399488e-16,0.0,0.9999999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1287658662360332e-154,0.0,0.0,0.0,6.097956916547012e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.204310385012642e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.135958224628584e-71,2.4891780708183757e-45,1.1786714335703545e-43,0.0,4.3997912119038074e-170,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.239109001593285e-86,0.0,0.0,0.0,7.726679886041003e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099006091973643e-108,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.820361683113137e-112,1.3828150813954587e-109,6.621333825491433e-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.00606363308115e-71,0.0,0.0,0.0,1.5348801504378207e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3469144880018468e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.596276712698296e-135,0.0,0.0,6.328416023685517e-17,0.999999999999984,1.9616224904192655e-29,0.0,5.516756305447199e-190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.650254340032622e-110,0.0,0.0,0.0,0.999999999999698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6368090197946642e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8428696516420263e-27,2.1765564106508602e-20,3.0172458556810875e-13,0.0,9.750457480908769e-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.600850900488358e-99,0.0,0.0,0.0,2.0024174769505972e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.513374414356e-312,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.549938726543233e-255,0.0,0.0,4.008640784814927e-105,1.85227305e-316,2.274624781417003e-173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2458296270274613e-207,0.0,0.0,0.0,4.985214449673411e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.419130494693321e-77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.742359692423524e-97,1.5596752924192434e-102,2.02308093521221e-51,0.0,1.1116639471356935e-221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7289569898883267e-95,0.0,0.0,0.0,1.2049237518112517e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.348895991822031e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4503502987266034e-48,2.1726961577532876e-56,8.428192744210356e-56,0.0,8.4357031950691e-97,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539399560131758e-129,0.0,0.0,0.0,6.745630563275063e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.408802896822644e-72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2448877417279579e-60,1.6000074635642675e-73,1.3254720074821935e-27,0.0,3.443723038385292e-198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1614113129921731e-103,0.0,0.0,0.0,0.9999999999993641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.210105680958914e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6027736172967087e-203,0.0,0.0,1.3020056303245823e-13,4.4533910938533455e-13,5.811829183301473e-14,0.0,2.2311408570201995e-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.403927730843108e-103,0.0,0.0,0.0,5.233697904655192e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.022418572358329e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.817544566356362e-20,1.0,2.881556587307265e-18,0.0,6.393161260283062e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.824972847027158e-114,0.0,0.0,0.0,1.1692037415291556e-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8338575210846225e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.646611412180558e-144,9.102513724949868e-135,1.4348743694407768e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.640487383075009e-308,0.0,0.0,0.0,1.0766789441977704e-223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2413716698461016e-269,0.0,8.947290112649458e-275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.343481810239811e-127,0.0,0.0,0.0,1.7575576313040362e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989833145470687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3674907609989076e-241,0.0,0.0,6.642520659839618e-14,1.1652320413121745e-17,0.0010166854526894179,0.0,2.967692434491514e-133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0546335217562814e-132,0.0,0.0,0.0,1.027519713579791e-143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.376881454101584e-272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.553285808031503e-141,0.0,3.661568541142358e-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.192436359655299e-132,0.0,0.0,0.0,5.106286728190771e-76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.356882159233819e-120,1.9329217359498804e-83,6.566617398976582e-145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
