,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12
Robin_office_Lindsay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0913513991302211e-257,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.389264898843136e-23,0.0,0.0,0.0,1.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4892505052035624e-80,0.0,1.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_education_Kristopher,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6613660789084731e-31,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833431799162046e-206,0.0,0.0,0.0,1.0
Robin_lodging_Celia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9588514571852583e-179,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3868355611266344e-52,0.0,0.0,0.0,1.9084130991216505e-42
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.565164718621582e-213,0.0,0.0,0.0,1.0
Robin_office_Soledad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3722710286123293e-29,0.0,0.0,0.0,1.0
Robin_education_Audrea,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.947360876251094e-112,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0679865297784985e-88,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9798132919448223e-23,0.0,0.0,0.0,1.0
Robin_office_Zelma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636789014811992e-75,0.0,0.0,1.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.315686382041527e-32,0.0,0.0,0.0,2.2729029605183735e-159
Robin_education_Karyl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2030941204310784e-110,0.0,0.0,1.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.036835422477833e-08,0.0,0.0,0.0,0.9999999596316459
Shrew_office_Nora,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8249634387898287e-42,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.908539977075838e-96,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5637121644673198e-168,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.868280643789062e-250,0.0,0.0,0.0,1.0
Mouse_health_Buddy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.041367083052696e-128,0.0,1.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
