,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26
Robin_lodging_Elmer,7.39334520703233e-36,0.0,0.0,1.4300758689394803e-154,0.0,0.0,0.0,3.1026693202313245e-42,0.0,1.4409606473084388e-12,3.869958248873569e-44,0.0,9.711507417547735e-40,0.0,0.9999999999985585,0.0,0.0,0.0,0.0,0.0,9.228107609947294e-67,3.20902182946487e-16,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,0.021884587882903702,0.0,0.0,8.137219778066246e-101,0.0,0.0,0.0,2.525757056058604e-31,0.0,0.00012864707724503637,2.2314035752923353e-37,0.0,2.189555982486368e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9779867650398512,3.2033588595725044e-17,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0002625855079608957,0.0,0.0,4.505774833723336e-126,0.0,0.0,0.0,3.02980911854093e-88,0.0,9.99175626220562e-05,1.7759336251382758e-29,0.0,4.0215376593196715e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996374969293218,9.492643132156846e-14,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,8.265995071857293e-10,0.0,0.0,8.716976687800362e-84,0.0,0.0,0.0,0.003526746739241189,0.0,0.9964732520499259,8.511269001141012e-28,0.0,6.470933546744425e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008620408812637e-33,3.842333563970526e-10,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,4.364426805888422e-23,0.0,0.0,2.6031694990512492e-136,0.0,0.0,0.0,0.9973491436552812,0.0,0.0026508563447192024,4.0790797947009426e-42,0.0,1.5831915416256242e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2552221913791805e-40,1.1127562569846868e-17,0.0,0.0,0.0,0.0,0.0
Robin_education_So,4.5632284214858564e-48,0.0,0.0,4.070001900741272e-19,0.0,0.0,0.0,5.561381570814089e-135,0.0,7.098807331075549e-64,1.0,0.0,1.2526773462119048e-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.262957852850878e-245,1.1045217387618408e-129,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,7.340010006593142e-12,0.0,0.0,1.0346719250349492e-27,0.0,0.0,0.0,1.6819674732335326e-66,0.0,1.7543817993056507e-19,4.775926647131325e-23,0.0,0.9999999999926601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.990608500332689e-65,2.675790665701764e-22,0.0,0.0,0.0,0.0,0.0
Robin_office_Serena,0.00018243722295476904,0.0,0.0,6.993732090021744e-96,0.0,0.0,0.0,5.757882215540253e-07,0.0,0.9998169868667074,1.705316772748232e-27,0.0,5.130123693312075e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.108748560698616e-14,1.2205492337264322e-10,0.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,3.34788281263465e-38,0.0,0.0,5.115101325663616e-35,0.0,0.0,0.0,1.6037889528242454e-224,0.0,1.8419884063671142e-48,1.0,0.0,4.909307909424042e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.389820242186724e-175,2.1823250907214155e-89,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,3.600382517081779e-10,0.0,0.0,1.9272092842246143e-52,0.0,0.0,0.0,5.46881481008622e-57,0.0,6.518701888035765e-16,1.2735457195373914e-32,0.0,0.9999999996399609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3392541598133682e-76,3.3717940944079884e-18,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.9995940047316993,0.0,0.0,2.455641133414844e-72,0.0,0.0,0.0,6.387917918850413e-22,0.0,0.0003510603413211079,1.4175099419154726e-34,0.0,7.159440860396081e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.493492569892479e-05,1.280520171404448e-12,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.9999665277742786,0.0,0.0,3.897562142244994e-71,0.0,0.0,0.0,3.1991718134335e-14,0.0,1.3689674544080576e-05,1.1252707738183027e-27,0.0,4.309610756595718e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.889556667175124e-06,1.3892994478281281e-05,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.9999902062035876,0.0,0.0,3.121859025113635e-88,0.0,0.0,0.0,2.6709675366964517e-51,0.0,1.2102943319507365e-08,3.580176960298976e-30,0.0,1.220008346536334e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4153673621680653e-16,9.781693346240012e-06,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,4.260884793652222e-45,0.0,0.0,1.2590066168265387e-160,0.0,0.0,0.0,0.999964138202023,0.0,3.586179797697171e-05,6.3845932212405145e-56,0.0,9.053449852778486e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3715001303013551e-67,5.31916151369691e-23,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,1.0652265490289404e-06,0.0,0.0,2.648476288527706e-79,0.0,0.0,0.0,1.132663585587069e-05,0.0,0.9999876080747339,3.270779558467803e-23,0.0,6.280970918652772e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.676143178052148e-14,6.282373274310877e-11,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,1.1337516466685861e-34,0.0,0.0,0.9999999997944906,0.0,0.0,0.0,1.6159560491948805e-110,0.0,4.130410902544304e-52,2.0550939431104694e-10,0.0,1.4278632265254531e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.438464166139786e-195,1.1985377611244516e-105,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,1.0237981434451772e-53,0.0,0.0,8.495526796301409e-194,0.0,0.0,0.0,0.9998787979078146,0.0,0.00012120209218522597,9.517258657424425e-62,0.0,6.959818862866874e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.438724094328643e-66,4.0295581522982924e-26,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.9998209677407223,0.0,0.0,9.810133880467692e-63,0.0,0.0,0.0,1.3239179011215053e-83,0.0,0.00017892534209719158,1.4848459333937118e-26,0.0,7.340447914623921e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6010540590070484e-08,7.090664048021962e-08,0.0,0.0,0.0,0.0,0.0
Robin_education_Billi,1.5168687872802365e-31,0.0,0.0,2.437987178413531e-134,0.0,0.0,0.0,1.9588660335010673e-06,0.0,0.9999980411339672,3.885442025300436e-35,0.0,1.163161865319026e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5276832789331906e-53,2.1942388781987317e-25,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,7.544521432700057e-50,0.0,0.0,1.6770510787773146e-206,0.0,0.0,0.0,0.9999910771425576,0.0,8.922857442316198e-06,4.439822988723477e-65,0.0,5.135761382139672e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1454404954132684e-86,2.6275935356132734e-24,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,9.966429159049425e-07,0.0,0.0,2.2315650991589823e-48,0.0,0.0,0.0,5.874503278177808e-65,0.0,9.249853380446415e-13,2.2522397225800406e-16,0.0,0.9999990033559972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8847701916552476e-41,1.6189818141033098e-13,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,2.2589971307890286e-42,0.0,0.0,1.131671806453842e-102,0.0,0.0,0.0,0.9994194404749809,0.0,0.0005805595250194612,1.2637649331845202e-48,0.0,1.6566792786519365e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6100896562681635e-64,2.3645929275225008e-18,0.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,2.1788824757240618e-10,0.0,0.0,7.561263767764076e-169,0.0,0.0,0.0,1.3243326121323425e-36,0.0,0.9999999996706919,8.140429486547676e-31,0.0,4.181787547078118e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.114199056778097e-10,2.6052767599844187e-27,0.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,8.05001144962897e-45,0.0,0.0,7.121686096573242e-75,0.0,0.0,0.0,8.237999527118631e-138,0.0,9.068920775288677e-47,1.0570728826342508e-60,0.0,5.112592892573942e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0789018014107276e-84,6.538362644975979e-50,0.0,1.0,0.0,0.0,0.0
Robin_office_Saul,0.003623393971567024,0.0,0.0,2.4512302053691476e-73,0.0,0.0,0.0,1.2342757639531962e-81,0.0,2.4653166258941216e-06,3.449557767398472e-33,0.0,6.292148966724622e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996374140711807,5.275491753004545e-18,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,1.1753696870288876e-11,0.0,0.0,3.3632288732246705e-114,0.0,0.0,0.0,1.2216602632649997e-10,0.0,0.9999999998660805,1.3219690889627543e-33,0.0,8.088920084793002e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.954950177028481e-20,7.2995336779856e-22,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,2.260558473034339e-63,0.0,0.0,1.3774170493474873e-61,0.0,0.0,0.0,0.0,0.0,1.9842726192064235e-78,2.6285175155295445e-41,0.0,6.99015409264165e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.176351807174485e-212,2.3324248495565547e-132,0.0,0.0,0.0,0.0,1.0
Robin_office_Erma,6.937661554370854e-19,0.0,0.0,2.1663847830900404e-172,0.0,0.0,0.0,6.909378521234901e-66,0.0,1.0,3.559385795963447e-48,0.0,3.642846605811609e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.465425673254226e-55,6.998468116535154e-36,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.019154818667255057,0.0,0.0,1.8697689664167583e-27,0.0,0.0,0.0,7.24761163314699e-12,0.0,1.086777695512003e-09,1.6633919749046718e-22,0.0,5.286695077692578e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.955342785289352e-20,0.9808451802387204,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,1.806341002208728e-35,0.0,0.0,9.479194996567457e-159,0.0,0.0,0.0,1.1063276025317456e-29,0.0,3.704645915663132e-13,4.0699019217040753e-45,0.0,7.601995498500619e-32,0.0,0.9999999999996296,0.0,0.0,0.0,0.0,0.0,2.700112404503055e-62,5.016591034678244e-16,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.00030550643431330227,0.0,0.0,1.002488629313783e-99,0.0,0.0,0.0,4.948494594544937e-19,0.0,0.9996944935587326,1.0419972019337953e-33,0.0,7.627623591097319e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7207469939078435e-12,5.2340097276085775e-12,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0013365188688595423,0.0,0.0,7.116944843834066e-131,0.0,0.0,0.0,3.6613699788630697e-39,0.0,5.415908068873643e-05,1.4594925429986046e-36,0.0,8.68944066457426e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986093220504518,1.340836852498009e-17,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,1.459744935090841e-57,0.0,0.0,8.535379716045299e-133,0.0,0.0,0.0,1.137504291794446e-161,0.0,2.4998472392021714e-45,3.6431694725251223e-69,0.0,1.36066622471899e-50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.936991218260395e-110,1.5278123480823844e-55,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,1.662356994604915e-112,0.0,0.0,4.8115711519493807e-194,0.0,0.0,0.0,0.0,0.0,8.911479986737898e-115,6.868568441146704e-126,0.0,1.282820021501665e-141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.852639832814139e-265,1.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0013522185971592817,0.0,0.0,2.0325631159350034e-102,0.0,0.0,0.0,2.8253712191548853e-07,0.0,0.9986474988657161,8.652439060079086e-40,0.0,3.9127511347692048e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4118564965737025e-15,1.8512725333276236e-18,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,1.025514621681096e-112,0.0,0.0,7.671192652945578e-242,0.0,0.0,0.0,0.0,1.0,6.884363748571355e-56,3.441159523809724e-293,0.0,4.4893891207421936e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.189836817829128e-90,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,3.10486555635309e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.907854284398394e-55,4.487678059888041e-86,0.0,5.120159964779174e-80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2490980054643006e-74,1.713086698411985e-87,0.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,1.5495205808355328e-07,0.0,0.0,1.2262380633837763e-59,0.0,0.0,0.0,1.3254660933910897e-50,0.0,3.642715232675658e-11,1.1143913296340906e-20,0.0,0.9999998450115153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7594097958026197e-55,6.828190275525141e-19,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.9999886731823502,0.0,0.0,2.3761404674798777e-83,0.0,0.0,0.0,2.2297535475095384e-18,0.0,1.1179931276940428e-05,2.6350746045166034e-31,0.0,2.650623282037924e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.168116241502844e-09,1.437182567982284e-07,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,8.57630859459132e-12,0.0,0.0,6.658937960794491e-54,0.0,0.0,0.0,1.2549038930972333e-93,0.0,2.9240834319917467e-16,2.610210680192728e-28,0.0,0.9999999999914237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4214191675863185e-76,2.06502637520121e-30,0.0,0.0,0.0,0.0,0.0
Shrew_office_Lin,5.695636802906189e-88,0.0,0.0,3.02426734887609e-118,0.0,0.0,0.0,1.032054633519083e-274,0.0,9.185179881183421e-92,2.53161483883277e-91,0.0,4.8172668249567364e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8328624257268e-310,1.8260263784512045e-178,0.0,0.0,0.0,1.0,0.0
Shrew_office_Kenneth,6.16239510696413e-26,0.0,0.0,3.056182978104215e-141,0.0,0.0,0.0,5.484167707974055e-104,0.0,1.0,6.904968666126446e-74,0.0,4.702154918921422e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8635608585940076e-37,4.1299967309949125e-22,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097222262429555e-170,0.0,2.4671252e-316,1.006349921083516e-177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0976956089058186e-133,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,2.1738809809228083e-306,0.0,0.0,6.96227e-319,0.0,0.0,1.0,0.0,0.0,3.3238401798021976e-270,2.7617197066552508e-204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,1.082698873705673e-09,0.0,0.0,6.098726854664899e-150,0.0,0.0,0.0,8.556751401183906e-141,0.0,1.5771031456662778e-08,1.720365328219309e-27,0.0,6.23121783565327e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999831462693,1.4122484993478165e-20,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,1.772397037583843e-186,0.0,0.0,9.481176214968131e-225,1.0,0.0,0.0,0.0,0.0,2.7051237634157677e-184,1.3824543138358596e-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.9941635475318665,0.0,0.0,1.107465299020834e-78,0.0,0.0,0.0,3.1111211432652652e-18,0.0,0.005828978856104594,1.4009685806624164e-25,0.0,2.6936510716350295e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4401851980283109e-13,7.473611884166733e-06,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,3.9318752066831256e-45,0.0,0.0,1.0045167884973194e-139,0.0,0.0,0.0,8.727312783408218e-244,0.0,2.665078534223082e-63,1.0,0.0,5.289084043174934e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1742140672589912e-262,1.755151659716168e-166,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.029930480072549e-177,0.0,0.0,3.3903712605183995e-202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.328608377744591e-124,0.0,0.0,0.0,0.0,0.0
