,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43
Robin_education_Lashandra,0.0,0.0,0.0,7.291948409502767e-93,0.0,0.0,0.0,5.048515637385735e-270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.886351365715487e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.924797417140904e-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7182561470468798e-101,0.0,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,4.217364636710636e-151,0.0,0.0,0.0,1.5451976491505573e-294,0.0,0.0,0.0,2.0203291494562157e-14,0.0,0.0,0.0,0.9999999999999805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.144920473004426e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.335881043425675e-31,0.0,0.0,2.8844784822179025e-72,0.0,0.0
Robin_office_Gayle,0.0,0.0,0.0,2.7126178400667664e-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2597712322914008e-10,0.0,0.0,0.0,2.7547583013655925e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999998740225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38152446073407e-43,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,2.5532590253969093e-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.958973432486193e-24,0.0,0.0,2.317e-321,2.72803902264381e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.717749146115097e-133,0.0,0.0,0.0,0.0,0.999999999727196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.411937399205609e-58,0.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,1.3356310749910965e-111,0.0,0.0,0.0,3.477157735850428e-173,0.0,0.0,0.0,7.294519910237953e-220,0.0,0.0,0.0,3.381162525000432e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.417336352395747e-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.761089924439458e-72,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,5.920537866251288e-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.346224878069941e-09,0.0,0.0,0.0,0.9999999966537412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.402138093457476e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.719467499716918e-17,0.0,0.0,1.702143476e-315,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,7.35517049672381e-128,0.0,0.0,0.0,8.012725377910229e-94,0.0,0.0,0.0,4.668400833205217e-37,0.0,0.0,0.0,1.4718524171911275e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1804825382664866e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999991,0.0,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.191746881246958e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696349636158548e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.507799308730214e-200,0.0,0.0,0.0,3.84922144043773e-189,0.0,0.0,0.0,1.5813959712756618e-105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.810968255208204e-118,0.0,0.0,0.0,0.0,1.150974370127487e-281,0.0,0.0,1.5008424804856684e-256,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,5.382813839634212e-230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23285023178699e-92,0.0,0.0,0.0,2.5021911449535793e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.827223042811081e-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.164491526103053e-87,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,0.0,2.0554449359505397e-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999998864004,0.0,0.0,0.0,5.236991309070168e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1359043676442986e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.080070161312003e-15,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,1.753569519336698e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.881324959670463e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.448123197841663e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1635610418953077e-29,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,1.0,0.0,0.0,9.268358510455229e-219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6410208858676625e-67,0.0,0.0,0.0,3.2294881142963683e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.648295002633355e-117,0.0,0.0,0.0,0.0,3.4081372568703075e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88000157154649e-91,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,1.6378429734872828e-249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.530596608828733e-57,0.0,0.0,1.0,1.7738855666023777e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.388835027009988e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85439315316444e-95,0.0,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84055605473322e-130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.591511219685859e-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7213082959434186e-170,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,3.6309771673588e-78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3488206936220048e-122,0.0,0.0,0.0,2.8943972444604984e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2766873701635096e-32,0.0,0.0,0.0,0.0,3.266343650854846e-294,0.0,0.0,2.267857912750236e-34,0.0,0.0,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,0.0,3.024272836357593e-204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.274186548234753e-14,0.0,0.0,0.0,5.954495668839395e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55684599109267e-81,0.0,0.0,0.0,0.0,0.9999999999999076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0234756135251777e-22,0.0,0.0,2.0100063466406388e-105,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3065856561433688e-267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.865906927406833e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.160456263152474e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0414483215501238e-171,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,5.253875305675272e-118,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6907018116362512e-122,0.0,0.0,0.0,5.2891227840805506e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72430245031748e-25,0.0,0.0,0.0,0.0,7.83130113628936e-42,0.0,0.0,7.695144155666813e-42,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,1.2145860654147875e-151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999527021270598,0.0,0.0,0.0,1.0530647701702833e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6949313087053499e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.560294163133036e-05,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,4.0189467608571665e-121,0.0,0.0,0.0,1.8502985685814595e-205,0.0,0.0,0.0,1.6276976741290794e-07,0.0,0.0,0.0,2.8995319255918982e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.059399251864244e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999997666362398,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,2.434261787570456e-165,0.0,0.0,0.0,4.464145280765985e-174,0.0,0.0,0.0,2.1831481680804965e-60,0.0,0.0,0.0,6.415806520695841e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.191259066506225e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9988502026520105e-46,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,1.2251181615002956e-293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.731239836763229e-88,0.0,0.0,1.0,2.652942137363008e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7442225170958596e-78,0.0,0.0,0.0,0.0,1.5159994929606463e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4247855349554478e-144,0.0,0.0,1.687532872609692e-75,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,2.387339920441419e-177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4434167884015485e-16,0.0,0.0,0.0,4.829999336430884e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.250687053782333e-144,0.0,0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.239467078356406e-47,0.0,0.0,1.7599997047912575e-75,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,4.7482081275437085e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.772817881497199e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.567636841724915e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.039764743870067e-134,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,2.790407503172576e-231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.425584605923014e-118,0.0,0.0,0.0,1.0688500815736727e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5189278055255993e-143,1.0,0.0,0.0,0.0,1.2189958670657812e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6484673723598537e-257,0.0,0.0,5.056480354782429e-187,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,4.08162854857777e-195,0.0,0.0,0.0,8.957901149862911e-291,0.0,0.0,1.0,2.503028557712179e-50,0.0,0.0,0.0,8.40251495512819e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2362691515054515e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2042292774612584e-69,0.0,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,1.4670443368086598e-301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92424779003295e-74,0.0,0.0,0.0,1.5308857705594849e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8400825477601644e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8570164887401406e-137,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,9.673087441808025e-306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.873252367320853e-103,0.0,0.0,0.0,3.327300024656559e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.6484396577599427e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.667568570059858e-143,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,0.0,0.0,3.761551076736641e-130,0.0,0.0,0.0,3.3212561332572565e-18,0.0,0.0,0.0,1.965817747139121e-88,0.0,0.0,0.0,9.056203158291114e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4693977312647095e-22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0131293378258003e-35,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,5.409819001320231e-219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038183095732213e-86,0.0,0.0,0.0,4.941476803897931e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208415934211825e-77,0.0,0.0,0.0,0.0,6.5678519418517335e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584792751801516e-128,0.0,0.0,0.9999999999999938,0.0,0.0
Robin_office_Soledad,0.0,0.0,0.0,5.2418929731606e-279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6094229810773273e-45,0.0,0.0,0.0,6.098243836501286e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.761139739150343e-246,0.0,0.0,0.0,0.0,6.901089662314981e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8242368106382833e-95,0.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,9.237364924554538e-110,0.0,0.0,0.0,4.3192867351711565e-122,0.0,0.0,0.0,7.130589253143065e-115,0.0,0.0,0.0,7.727181794667345e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9085579720077785e-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.800299101262283e-136,0.0,1.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,1.0661535263759328e-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999998845,0.0,0.0,0.0,1.150087556955877e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.741600898129552e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8347223035335955e-27,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,8.148697777921176e-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2829404123200567e-23,0.0,0.0,0.0,0.9999884926766565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.150732334312386e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5742903693765295e-39,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,5.156869648642371e-147,0.0,0.0,0.0,4.404032591139015e-247,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.002537411939212e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5935036953284823e-145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5312568499005097e-146,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9344337947113056e-82,0.0,0.0,0.0,4.98598249305906e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9202458910404355e-50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.628447318110758e-139,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.0,1.1437127187037173e-111,0.0,0.0,0.0,1.2206196300379174e-285,0.0,0.0,0.0,3.8901771002654486e-52,0.0,0.0,0.0,1.2050327642549186e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.432864368619393e-48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.842021127255501e-42,0.0,0.0,1.1166351358711454e-227,0.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,2.2666699926554917e-196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.089619855349419e-89,0.0,0.0,0.0,6.745342917727708e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1492850274425634e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.249113460626989e-92,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,9.876459108398876e-149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.801425721938626e-11,0.0,0.0,0.0,0.9999999881867554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1785230288560979e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.302243536705348e-22,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,1.0285064390167738e-162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999846705,0.0,0.0,0.0,8.637450636398994e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5329581972412426e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.295175270619552e-21,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.241691158745153e-147,0.0,0.0,0.0,1.1692271378490718e-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8482450345863934e-92,0.0,0.0,0.0,1.0,9.264476009836947e-212,0.0,0.0,6.187185726330844e-183,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0764120861377156e-223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0458475769562879e-215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,1.6837260695580355e-216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0592660891796284e-10,0.0,0.0,0.0,9.567033499517257e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9315696775975466e-128,0.0,0.0,0.0,0.0,0.9999999997939781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0950161294678804e-23,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930264243000019e-291,0.0,0.0,0.0,1.0277741054837626e-143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.844206823366401e-168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7955687582070843e-76,0.0,0.0,0.0,5.1063860706701284e-76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.790722109882076e-119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.042466862315283e-194,0.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,9.267788323232772e-210,0.0,0.0,0.0,1.516517896190295e-70,0.0,0.0,0.0,2.3500585014095268e-101,0.0,0.0,0.0,9.486164975107313e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0012759531485906e-162,0.0,0.0,0.0,0.0,9.496760825651578e-18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2599141371501438e-46,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,2.0308567999553467e-141,0.0,0.0,0.0,3.045674037777331e-263,0.0,0.0,0.0,1.2906615562741171e-11,0.0,0.0,0.0,2.0249319653120782e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3977941237420831e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99999999856905,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,0.0,2.1179426921217737e-212,0.0,0.0,0.0,2.66362681850926e-130,0.0,0.0,0.0,1.8056720720973434e-178,0.0,0.0,0.0,8.818579477757495e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25240628464824e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.890552515694782e-82,0.0,0.0,0.0,0.0,0.0
