,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44,Cluster_45,Cluster_46,Cluster_47,Cluster_48,Cluster_49
Robin_office_Lindsay,0.0,0.0,0.0,1.5232611904349787e-208,0.0,0.0,0.0,2.277002161019831e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.609653817837429e-33,0.0,0.0,4.451384309965136e-17,0.0,1.3315328150979923e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999772298,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,4.464145280765985e-174,0.0,0.0,0.0,1.3183618829530786e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3144009284406833e-209,0.0,0.0,1.6877508902177518e-94,1.0,8.653218926365366e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.254863315076159e-203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999980602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.939738153482795e-12,0.0,0.0,2.612896247927917e-94,0.0,4.2730541932333314e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7893203555322256e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3910045025785183e-12,0.0,0.0,0.9999999999986089,0.0,4.282829781382957e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.899640022460217e-279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.2069725399547547e-79,0.0,3.4068544977128425e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,8.957901149862911e-291,0.0,0.0,0.0,8.649057110790296e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09052445e-316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.991514077533392e-194,0.0,0.0,4.4129029835208085e-93,0.0,1.5405965939499185e-58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.234586293054757e-180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.161691297680576e-39,0.0,2.678532953422365e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4970262134069546e-247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9727253176877067e-43,0.0,0.0,6.780161842457002e-130,0.0,6.645615450080983e-121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Donald,0.0,0.0,0.0,3.3212561332572565e-18,0.0,0.0,0.0,3.6220833284989376e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.908999641108252e-179,0.0,2.1098135554702074e-115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097208748270989e-290,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68469022012512e-206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8162898852795512e-65,0.0,1.0776475443038984e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5106926482136876e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.399791203191853e-170,0.0,0.0,5.189322932492347e-75,0.0,1.6822942757152476e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,4.319286747239104e-122,0.0,0.0,0.0,2.1044696617982267e-152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.995185463340285e-193,0.0,1.1484845875076937e-189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.227096265579315e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1911774449787905e-221,0.0,0.0,2.5053503027459343e-90,0.0,3.068606392353545e-78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.355599920387068e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0412513992467754e-94,0.0,0.0,8.340410957721552e-64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,4.404032591139015e-247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.212363634297193e-186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.957706931603856e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1116639452881213e-221,0.0,0.0,2.9925676261525805e-90,0.0,8.926930086093604e-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.0,1.2206196300379174e-285,0.0,0.0,0.0,4.617559289095858e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.435703172965173e-97,0.0,0.0,1.69780686701538e-82,0.0,2.701364593988166e-223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.276477701996158e-156,0.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.175011481937264e-163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.443723032482948e-198,0.0,0.0,4.0852920508579e-94,0.0,1.1869863769259966e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.329309338484081e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4278183107993895e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9750189527036675e-63,0.0,0.0,6.038456060964321e-38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0348367543367134e-101,0.0,0.0,9.588115238246318e-35,0.0,3.254927726941969e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.381178222518274e-221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2486507291131543e-231,0.0,1.5103370842966386e-137,0.0,9.264476009836947e-212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.637309086744273e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.827493191619698e-163,0.0,0.0,1.3682599717385106e-58,0.0,1.7430552778652987e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4038584916250252e-208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.088578650343511e-241,0.0,5.512558749494404e-186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
