,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27
Robin_education_Lizbeth,0.0,0.0,1.0356144758452342e-08,0.0,0.0,2.0436033753856035e-13,1.9587653115430694e-12,0.0,0.0,0.0,0.0,0.9999999896416689,1.0959038896273872e-18,0.0,3.065611021533001e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3141000786094423e-14,0.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,3.2915323563792056e-07,0.0,0.0,0.9999982285201489,9.420035407869704e-09,0.0,0.0,0.0,0.0,1.4329058159171274e-06,7.638089053383662e-13,0.0,8.348220586392721e-159,0.0,0.0,1.6230935229842498e-59,0.0,0.0,0.0,0.0,0.0,0.0,7.366274664449808e-18,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,3.776908581596516e-08,0.0,0.0,0.0005779750834893508,3.6267454530406164e-13,0.0,0.0,0.0,0.0,9.584991436240341e-19,1.9440089926279397e-08,0.0,6.591219241752762e-193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994219677069726,0.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,1.4973851532094985e-109,0.0,0.0,6.77249195295687e-29,0.9999999999998952,0.0,0.0,0.0,0.0,1.0497705516246986e-13,3.1770735558107276e-210,0.0,2.9220362119200105e-79,0.0,0.0,2.1251867532754847e-252,0.0,0.0,0.0,0.0,0.0,0.0,1.198351732514625e-188,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,1.664247309060886e-07,0.0,0.0,2.4517109300465443e-05,9.514949212816433e-15,0.0,0.0,0.0,0.0,0.00039588073149622355,2.0443033045072792e-16,0.0,5.922567579001245e-164,0.0,0.0,7.597872484748259e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.9995794357344625,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,1.9829480568807629e-23,0.0,0.0,4.938986815907793e-11,1.6209348829718115e-05,0.0,0.0,0.0,0.0,0.9999837906017804,1.5262693828095117e-31,0.0,2.3601170790586537e-126,0.0,0.0,2.5369868815593893e-200,0.0,0.0,0.0,0.0,0.0,0.0,1.8116074548092816e-32,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,2.4994516502444485e-271,0.0,0.0,4.3433063479351005e-70,4.1068871758649603e-51,0.0,0.0,0.0,0.0,7.342085225647081e-107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,7.467307923660384e-104,0.0,0.0,3.556261664692168e-35,8.16843226737942e-11,0.0,0.0,0.0,0.0,4.80899325988534e-25,2.6783e-320,0.0,0.0,0.0,0.0,0.999999999918316,0.0,0.0,0.0,0.0,0.0,0.0,3.742561975112548e-165,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,1.1783199274999904e-41,0.0,0.0,2.817364989080596e-16,8.641749041946537e-21,0.0,0.0,0.0,0.0,1.1485460214165964e-42,2.1369811040189646e-48,0.0,5.3828138397107065e-230,0.0,0.0,1.1043983497430731e-218,0.0,0.0,0.0,0.0,0.0,0.0,2.0541106383695637e-44,0.0,0.0,1.0
Robin_office_Addie,0.0,0.0,0.9998627629368553,0.0,0.0,5.6388275080436116e-06,1.4489834233252387e-16,0.0,0.0,0.0,0.0,0.00013159823563672129,4.282878288345521e-40,0.0,3.352398497360125e-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.149600303339662e-20,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.9999091091655264,0.0,0.0,4.4710532121107945e-07,1.3678993243280774e-14,0.0,0.0,0.0,0.0,9.044372913851012e-05,7.851877334924558e-88,0.0,5.21409693694528e-128,0.0,0.0,1.857713788055551e-262,0.0,0.0,0.0,0.0,0.0,0.0,1.0143986223472442e-32,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,1.5444476521999924e-17,0.0,0.0,0.9999996130326603,3.69500021743584e-07,0.0,0.0,0.0,0.0,1.1511649747089025e-14,1.7467306432754958e-08,0.0,2.23859113549258e-188,0.0,0.0,3.078880281606825e-72,0.0,0.0,0.0,0.0,0.0,0.0,6.713491232702193e-17,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,1.2977594232885189e-20,0.0,0.0,1.6781301276472857e-10,3.057304392031417e-14,0.0,0.0,0.0,0.0,2.5266153124571076e-27,0.9999999998321059,0.0,1.09075399690272e-243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9967816221509715e-14,0.0,0.0,0.0
Robin_education_So,0.0,0.0,9.994533552328703e-294,0.0,0.0,3.256777586334663e-56,2.0314971335405812e-20,0.0,0.0,0.0,0.0,8.986168722416267e-55,0.0,0.0,1.0,0.0,0.0,2.810576069336427e-253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,9.517324955612212e-71,0.0,0.0,1.1386688887380952e-19,0.9999999999460165,0.0,0.0,0.0,0.0,5.398300561075506e-11,3.792860809254322e-128,0.0,4.3603899198429475e-75,0.0,0.0,4.02531431884199e-123,0.0,0.0,0.0,0.0,0.0,0.0,6.412900569754999e-121,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,5.4376099273378174e-06,0.0,0.0,0.9999945333496217,8.21756236421436e-12,0.0,0.0,0.0,0.0,1.0120181625565716e-08,1.891205174157997e-08,0.0,7.115401401223368e-204,0.0,0.0,5.974490760490649e-189,0.0,0.0,0.0,0.0,0.0,0.0,1.5869132082138974e-16,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,7.144602404767499e-217,0.0,0.0,1.2956851420320433e-45,5.899230400609427e-14,0.0,0.0,0.0,0.0,1.0412198140451515e-40,0.0,0.0,0.9999999999999409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,7.603219513593256e-75,0.0,0.0,1.5714228030932494e-12,0.9999999999572466,0.0,0.0,0.0,0.0,4.1181646927084295e-11,1.1565518013189735e-124,0.0,6.4086458417262184e-114,0.0,0.0,2.1033004708873177e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.541740671962099e-126,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.9772624318083926,0.0,0.0,0.0016147763571255464,1.1079109493273647e-12,0.0,0.0,0.0,0.0,0.021122791832972217,5.452094278070865e-31,0.0,5.393396780236608e-150,0.0,0.0,1.2968043669170188e-183,0.0,0.0,0.0,0.0,0.0,0.0,4.0141595748507275e-13,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0002679937166402584,0.0,0.0,0.00011729680826148882,2.484837661953594e-08,0.0,0.0,0.0,0.0,0.9996146846267219,1.1713888773000556e-16,0.0,5.315058300669014e-119,0.0,0.0,2.90111204e-315,0.0,0.0,0.0,0.0,0.0,0.0,4.593570878075646e-21,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,8.100085341653177e-17,0.0,0.0,9.30100967081747e-12,2.477544470939005e-06,0.0,0.0,0.0,0.0,0.9999975224462285,2.1607322238403388e-60,0.0,4.948759581798501e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334665122001864e-34,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,2.691502281894418e-26,0.0,0.0,1.1622334698904458e-14,1.3245389674403442e-20,0.0,0.0,0.0,0.0,4.108454766215894e-55,0.9999999998990097,0.0,6.256840149088349e-290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097913433096618e-10,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,3.4658353970768423e-06,0.0,0.0,0.9999964442170908,2.2453717005365788e-10,0.0,0.0,0.0,0.0,6.702141030526778e-11,8.965484884447853e-08,0.0,1.3365720723156708e-176,0.0,0.0,2.728503648945364e-174,0.0,0.0,0.0,0.0,0.0,0.0,1.1045917951507791e-12,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,3.9136541410386643e-240,0.0,0.0,2.195775850903626e-82,9.698087168001128e-41,0.0,0.0,0.0,0.0,2.5212602702546815e-70,0.0,0.0,4.7482081099043775e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_public_Cami,0.0,0.0,3.648709771948805e-23,0.0,0.0,2.054256617412337e-14,2.7794705238247425e-20,0.0,0.0,0.0,0.0,3.3808397142884264e-63,0.9999999989600639,0.0,2.2777113346470068e-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0399163450500258e-09,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,2.2967052751469042e-08,0.0,0.0,5.5451271688464005e-09,7.586224239710276e-05,0.0,0.0,0.0,0.0,0.9999241092454232,3.035821999486156e-89,0.0,4.9889510313406793e-163,0.0,0.0,1.1798982602271278e-234,0.0,0.0,0.0,0.0,0.0,0.0,1.6274836347140665e-16,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,1.3929282060441704e-17,0.0,0.0,3.3794649368912335e-09,1.769029575589326e-16,0.0,0.0,0.0,0.0,8.445666221513237e-43,0.9999999966205078,0.0,4.58136672133284e-296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654593117818911e-14,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,4.5497066447663376e-29,0.0,0.0,5.161123573514624e-16,2.7489512054417287e-23,0.0,0.0,0.0,0.0,6.273668757141852e-62,0.9999992477092198,0.0,1.047704620548297e-301,0.0,0.0,1.4111492645048191e-95,0.0,0.0,0.0,0.0,0.0,0.0,7.522907806784393e-07,0.0,0.0,0.0
Robin_office_Donald,0.0,0.0,1.5180111737033361e-49,0.0,0.0,6.263275685741366e-11,0.9999879417786985,0.0,0.0,0.0,0.0,1.2058158668415675e-05,2.7666388246002293e-112,0.0,5.24611838000412e-125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2675760078702537e-89,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,1.9919146135657113e-20,0.0,0.0,1.0818702376156359e-10,4.10530504569275e-17,0.0,0.0,0.0,0.0,1.9022466212481775e-55,0.9999999998309361,0.0,2.9460722247279866e-215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.087678454310145e-11,0.0,0.0,0.0
Robin_office_Soledad,0.0,0.0,0.9940809732787147,0.0,0.0,0.005919026721273574,6.191198204580843e-17,0.0,0.0,0.0,0.0,1.23670503704241e-14,2.2537602686425757e-36,0.0,9.03714518677184e-247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7621604572249015e-34,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,1.9262894475227064e-46,0.0,0.0,1.5775875433806336e-16,0.9999997592827979,0.0,0.0,0.0,0.0,2.407172005131019e-07,3.920862863603516e-130,0.0,2.7641796045399766e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.832907444670578e-75,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.9996782507900696,0.0,0.0,3.3906277216145214e-11,1.7852341798382637e-12,0.0,0.0,0.0,0.0,0.0003217491742376701,3.08864515714931e-78,0.0,9.866236157838503e-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798848368853039e-16,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,1.2054538496549147e-07,0.0,0.0,2.6725637834098156e-05,3.772162298502455e-17,0.0,0.0,0.0,0.0,4.42390743391383e-19,1.3043379429576707e-17,0.0,1.6912675528343742e-183,0.0,0.0,1.6413685127284937e-212,0.0,0.0,0.0,0.0,0.0,0.0,0.9999731538167805,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,3.1348551204344214e-253,0.0,0.0,1.1216950561930123e-82,1.351749398733722e-41,0.0,0.0,0.0,0.0,2.7820158638376252e-73,0.0,0.0,5.156869648696894e-147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,2.030189600672764e-16,0.0,0.0,1.0,1.829611007613877e-18,0.0,0.0,0.0,0.0,8.010063012044918e-28,2.4627479491291756e-66,0.0,0.0,0.0,0.0,7.940698015705881e-113,0.0,0.0,0.0,0.0,0.0,0.0,1.6609715210220204e-33,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,6.298646812213398e-16,0.0,0.0,2.052724587256744e-15,3.464499523521581e-07,0.0,0.0,0.0,0.0,0.9999996535500447,2.663268912678577e-21,0.0,1.0868156325558252e-81,0.0,0.0,3.877191106594132e-235,0.0,0.0,0.0,0.0,0.0,0.0,7.753264125586084e-25,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,7.589146953357936e-38,0.0,0.0,1.5472794657785438e-17,6.7414757553482664e-21,0.0,0.0,0.0,0.0,1.0191604519456423e-42,1.5378357382771392e-30,0.0,2.266669992675334e-196,0.0,0.0,2.261937433252804e-170,0.0,0.0,0.0,0.0,0.0,0.0,5.452833170631841e-46,0.0,0.0,1.0
Robin_lodging_Armand,0.0,0.0,3.5956652831122112e-06,0.0,0.0,0.00021185331539536802,3.0858446803058323e-15,0.0,0.0,0.0,0.0,3.847725612247344e-10,7.131909177561211e-26,0.0,1.3502178719553435e-148,0.0,0.0,2.4428884922767906e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.9997845506345454,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.9999660710970222,0.0,0.0,3.291500336118937e-07,9.47562888607162e-17,0.0,0.0,0.0,0.0,3.3599752943608735e-05,1.132290201993381e-39,0.0,6.114277102723313e-162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.969666119825287e-31,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,2.6053463824971085e-63,0.0,0.0,3.81624900177977e-19,6.354305652765246e-10,0.0,0.0,0.0,0.0,7.538835801755853e-30,2.5402991304886582e-158,0.0,7.275304063422836e-305,0.0,0.0,0.9999999993645696,0.0,0.0,0.0,0.0,0.0,0.0,2.09232904675265e-96,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,3.9740431920102474e-116,9.99936760552429e-66,1.0,0.0,0.0,0.0,1.4000713042196676e-142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,1.982418730711652e-05,0.0,0.0,0.9999801560244876,1.3104586395322754e-16,0.0,0.0,0.0,0.0,7.78692798577983e-10,6.891360924891186e-22,0.0,4.498456344265521e-216,0.0,0.0,1.6281678370234097e-131,0.0,0.0,0.0,0.0,0.0,0.0,1.9009512296771055e-08,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,2.165349578536175e-199,0.0,0.0,7.156207388096464e-88,7.41324070973836e-49,0.0,0.0,0.0,1.0,3.0831518209587355e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.987815170615914e-191,0.0,0.0,0.0
Shrew_office_Katherine,1.0,0.0,8.642388136619458e-60,0.0,0.0,2.539393633307435e-79,1.2136762880682876e-57,0.0,0.0,0.0,0.0,1.3856802558231031e-57,2.7812661146297795e-281,0.0,0.0,0.0,0.0,6.682040433040188e-91,0.0,0.0,0.0,0.0,0.0,0.0,4.1334094048416846e-91,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,1.126597601248831e-55,0.0,0.0,4.2419881867859674e-07,0.9999995580047489,0.0,0.0,0.0,0.0,1.7796431711046262e-08,3.0890522745492046e-103,0.0,5.3105983053207046e-204,0.0,0.0,6.514866468776429e-112,0.0,0.0,0.0,0.0,0.0,0.0,2.3132163515777908e-88,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,1.23681275990572e-07,0.0,0.0,3.9742509445059976e-05,3.661724022030099e-09,0.0,0.0,0.0,0.0,0.9999601164927308,3.0630234003419224e-24,0.0,2.7893341056875858e-139,0.0,0.0,2.0456940061512318e-238,0.0,0.0,0.0,0.0,0.0,0.0,1.3654824121656122e-08,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,1.6072371339622205e-79,0.0,0.0,2.5363856221337235e-17,0.9999999999999982,0.0,0.0,0.0,0.0,2.2092570857007267e-15,2.032640749939034e-174,0.0,2.65455744966608e-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64069377045314e-136,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,0.0,0.0,0.0,2.182020381296544e-83,1.1429682999668081e-49,0.0,0.0,0.0,0.0,1.756784874091252e-104,0.0,0.0,0.0,0.0,1.0,8.006154285642179e-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,4.6266916926438645e-49,0.0,0.0,3.796337294190794e-50,1.1616355143617854e-47,0.0,0.0,0.0,0.0,2.74829180048994e-64,1.9190975399373517e-137,0.0,1.37368256618461e-288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4090444985659857e-58,0.0,1.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,1.0,0.0,0.0,3.161718448451567e-247,0.0,0.0,0.0,0.0,3.8214755419468235e-180,8.902269965609182e-286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.380551365673533e-177,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,5.262752357203733e-249,9.28128954558759e-171,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.9999997982029861,0.0,0.0,4.6876117700826586e-15,1.4814190009120731e-13,0.0,0.0,0.0,0.0,2.0179686046890573e-07,2.190297856501713e-114,0.0,1.5406903746443934e-185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3809836028755673e-32,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,5.85368958701772e-162,2.845046995159438e-106,0.0,0.0,1.0,0.0,7.866202924931679e-188,0.0,0.0,0.0,0.0,0.0,4.141286436000717e-245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,4.157769151755299e-09,0.0,0.0,0.9622601954904725,3.0446796120770686e-06,0.0,0.0,0.0,0.0,0.03773675567214676,3.279717007621528e-20,0.0,1.9053750859386156e-208,0.0,0.0,3.486649733678585e-309,0.0,0.0,0.0,0.0,0.0,0.0,3.0782911489046126e-23,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,0.0,0.0,3.927151441754259e-82,1.4916132933406432e-54,0.0,0.0,0.0,0.0,1.2061225162304308e-94,0.0,0.0,1.3945895353737798e-200,0.0,0.0,1.0308451017836503e-301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,0.0,0.0,0.0,8.182445828946053e-275,0.0,0.0,0.0,0.0,1.446427188087595e-224,1.2776275823878978e-276,0.0,0.0,0.0,0.0,7.002331124088919e-228,0.0,0.0,0.0,1.0,0.0,0.0,3.1381110561172377e-217,0.0,0.0,0.0
