,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35
Robin_education_Lizbeth,0.0,3.608675363502926e-13,0.0,0.0,0.0,0.0,0.0,1.1284744646905963e-92,1.4085522288843553e-12,0.0,0.0,0.0,0.0,1.1166732892383945e-28,1.8302507327902933e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6225795682279357e-31,0.9999999999982307,1.578616788164162e-254,1.7304614439084575e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.992436298890928e-33
Robin_office_Gayle,0.0,4.5017501394338505e-12,0.0,0.0,0.0,0.0,0.0,4.8659826517285216e-73,0.9999999999939337,0.0,0.0,0.0,0.0,2.2940589172675e-72,4.955274785474911e-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3080348729123513e-18,1.564601370310291e-12,0.0,3.853789139358101e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5311265064018e-26
Robin_office_Shirlene,0.0,1.433074839954358e-62,0.0,0.0,0.0,0.0,0.0,1.1054518463749867e-102,8.58789158071901e-34,0.0,0.0,0.0,0.0,4.4961815354016716e-150,3.4357735632848357e-223,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.981773081175399e-106,1.19218820385153e-38,4.776943066994736e-118,5.622298043799317e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0621495846994672e-80
Robin_education_Madeline,0.0,2.1010735167116868e-71,0.0,0.0,0.0,0.0,0.0,2.056621532452349e-64,8.197394859183866e-62,0.0,0.0,0.0,0.0,1.862702127558787e-160,1.3356310749910965e-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.073349872146544e-111,4.3637102330436626e-75,0.0,5.179044380215683e-113,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,3.5840027652683286e-13,0.0,0.0,0.0,0.0,0.0,7.738143866365331e-112,3.9586220475405744e-06,0.0,0.0,0.0,0.0,4.028833201329433e-49,1.1400627158926187e-164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.709636292610742e-16,0.999996041377403,0.0,1.8991893720125863e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.087708204263269e-43
Robin_education_Jasper,0.0,0.9999999963914661,0.0,0.0,0.0,0.0,0.0,1.3976856755578795e-31,1.3487264655569935e-11,0.0,0.0,0.0,0.0,1.1514529398162252e-37,1.4540003502671413e-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0126583045875786e-17,3.5950471384618738e-09,0.0,4.2656946025106964e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0218377095963803e-173
Robin_office_Wai,0.0,4.697769920344479e-194,0.0,0.0,0.0,0.0,0.0,9.31816231597293e-310,1.840461553707691e-71,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.142185429470253e-136,0.0,3.5359670848468674e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,8.867277099499831e-67,0.0,0.0,0.0,0.0,0.0,1.0257097154854276e-130,1.3082631584508013e-62,0.0,0.0,0.0,0.0,1.268780861477852e-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025509606425714e-148,1.0918821937054055e-96,0.0,2.7385241890755017e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Elmer,0.0,3.0564494050070664e-50,0.0,0.0,0.0,0.9999999999999991,0.0,9.757904526834952e-143,7.968338384323034e-16,0.0,0.0,0.0,0.0,2.1195664369182036e-109,5.382813839631152e-230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4592041016917285e-146,2.59699463657083e-24,0.0,1.9240112343612326e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1153364167070764e-239
Robin_office_Addie,0.0,1.6160303780090572e-19,0.0,0.0,0.0,0.0,0.0,3.453544373815861e-109,1.487860972653766e-06,0.0,0.0,0.0,0.0,9.071075856966773e-31,1.157319319920272e-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999985121231407,1.5886528498841232e-11,0.0,1.1468728722816014e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.642047105326439e-133
Robin_education_Cecilia,0.0,2.04102472239654e-14,0.0,0.0,0.0,0.0,0.0,2.878096479455644e-100,0.00012816079156850464,0.0,0.0,0.0,0.0,4.57851806722506e-21,1.7953344524727801e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998718392084112,7.626927154481056e-19,0.0,5.391547857186993e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5470622321228003e-151
Robin_education_Kiera,0.0,3.3753561175176688e-18,0.0,0.0,0.0,0.0,0.0,8.086898702503597e-58,0.9999999995593427,0.0,0.0,0.0,0.0,2.3179098166121567e-171,4.0258120050641673e-188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.204133364184636e-64,4.4050374877853463e-10,2.6536879113784374e-205,1.5276344831766435e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.977489553882835e-48
Robin_lodging_Pricilla,0.0,5.7838980609788134e-36,0.0,0.0,0.0,0.0,0.0,3.3798474963318235e-125,6.572555374854829e-09,0.0,0.0,0.0,0.0,3.189118731950559e-87,1.9421570304050384e-244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0317697774153912e-107,1.454001027106496e-09,0.0,0.9999999919734428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.288218776373066e-30
Robin_education_So,0.0,3.1244038241255395e-150,0.0,0.0,0.0,0.0,0.0,1.7866666817043334e-147,5.99015675592246e-57,0.0,0.0,0.0,0.0,2.7358899908766268e-232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.589133456844948e-187,2.835504748983029e-104,0.0,1.012999037981563e-161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,2.0653216578456397e-27,0.0,0.0,0.0,0.0,0.0,1.0,9.928524104325008e-22,0.0,0.0,0.0,0.0,2.2435686427675574e-107,1.9566658235829652e-76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.641883366415236e-70,1.9822323511393252e-25,6.847188873711204e-290,2.0493377734943573e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Serena,0.0,1.1498134392204276e-15,0.0,0.0,0.0,0.0,0.0,3.425989425216553e-94,0.9999999999762572,0.0,0.0,0.0,0.0,1.0667226968685048e-122,1.0628714309848382e-203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6511155690899804e-22,2.3637078047579518e-11,0.0,3.9138882330448995e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0444779587017415e-13
Robin_education_Derrick,0.0,2.5922074605019983e-104,0.0,0.0,0.0,0.0,0.0,1.3226240044714043e-94,1.998400970052175e-44,0.0,0.0,0.0,0.0,5.75035652454335e-166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.966777424829005e-144,3.7491505179028905e-93,0.0,1.917994246826602e-141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,6.375444078406711e-23,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,5.027027984192312e-16,0.0,0.0,0.0,0.0,7.393401844418045e-106,2.4228711964981398e-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1384518269889735e-44,3.145081778839219e-32,0.0,7.626206079407254e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,3.2021232665599514e-15,0.0,0.0,0.0,0.0,0.0,6.991436561489705e-86,3.819690005520882e-06,0.0,0.0,0.0,0.0,1.5712360788443927e-50,2.3792321903827237e-152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999961786007051,1.709286322994717e-09,5.51481988566168e-260,1.3695789339119398e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0610124193186699e-99
Robin_office_Lindsay,0.0,5.498766691729582e-05,0.0,0.0,0.0,0.0,0.0,3.2984080201765805e-50,3.5670330564527975e-06,0.0,0.0,0.0,0.0,5.685045293745109e-42,1.996621044378473e-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999414452465517,5.347427924768405e-11,1.8118813782129277e-300,5.6511426077134835e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.781757497007074e-29
Robin_education_Takako,0.0,0.9999999999729994,0.0,0.0,0.0,0.0,0.0,2.4642190306847827e-53,2.6335819326898867e-11,0.0,0.0,0.0,0.0,1.2538368063048488e-43,1.4796780493867156e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.410085164042246e-19,6.656939895959441e-13,0.0,9.914524104278593e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.989694867772898e-179
Robin_lodging_Oliva,0.0,6.225708699516125e-68,0.0,0.0,0.0,0.0,0.0,4.761632930897586e-142,9.870612813176234e-13,0.0,0.0,0.0,0.0,4.595502584574359e-133,1.0162191112844675e-289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.643443428134188e-223,1.8185777913862825e-16,0.0,0.9999999839091124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6089900212242857e-08
Robin_office_Victor,0.0,1.6930010933057283e-17,0.0,0.0,0.0,0.0,0.0,2.2272095455285415e-67,0.999999999726283,0.0,0.0,0.0,0.0,1.8256780216918212e-110,1.9578727928430964e-176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.842941138375553e-39,4.8529453772483185e-12,1.5149050129432829e-238,1.709108877951529e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.688638100132022e-10
Robin_education_Margarito,0.0,9.727885418829481e-137,0.0,0.0,0.0,0.0,0.0,3.1902783318741447e-133,1.923794557994427e-83,1.0,0.0,0.0,0.0,0.0,4.7482081275437085e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197082885963956e-224,3.041166053674933e-107,0.0,5.8306673967051965e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,4.693535676339527e-79,0.0,0.0,0.0,0.0,0.0,1.1276184176154021e-110,2.276619213855128e-14,0.0,0.0,0.0,0.0,2.6420679860821062e-157,3.550091686228407e-202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.449859866500645e-282,1.4487675664913573e-27,2.0034345017293494e-113,6.818584418474503e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999931584
Robin_education_Kristopher,0.0,2.3909996434355866e-36,0.0,0.0,0.0,0.0,0.0,1.768713536195661e-89,2.0749201231830582e-39,0.0,0.0,0.0,0.0,1.71072942882893e-53,4.08162854857777e-195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19334684142984e-59,4.398719050540151e-40,3.493139280029059e-176,2.7904346233777423e-62,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.991562303495308e-194
Robin_education_Billi,0.0,7.41266342346913e-62,0.0,0.0,0.0,0.0,0.0,3.410999108578632e-150,2.396156800595993e-10,0.0,0.0,0.0,0.0,2.631686110558221e-288,1.7164652887331003e-297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.042282064328674e-192,1.0910486518769908e-23,0.0,1.5795391057089548e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999997603828
Robin_lodging_Celia,0.0,1.1598283327533273e-78,0.0,0.0,0.0,0.0,0.0,3.13422365160983e-209,6.501658596179866e-16,0.0,0.0,0.0,0.0,3.2356566598021134e-203,6.025421015912917e-303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0606792898910636e-252,9.250615165700581e-18,0.0,0.9999999999999716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.787805086103743e-14
Robin_office_Donald,0.0,3.4660865883389387e-12,0.0,0.0,0.0,0.0,0.0,0.9999999999717364,2.4797737819956993e-11,0.0,0.0,0.0,0.0,5.34149072589679e-53,2.658796934361333e-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.537187338511698e-34,2.0223041386790226e-23,6.159209873636939e-171,3.691365474160412e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,2.1391741522711163e-70,0.0,0.0,0.0,0.0,0.0,2.4515318013023685e-103,9.772134518314848e-12,0.0,0.0,0.0,0.0,1.2483929720196936e-193,4.679421979551542e-217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9302278238961824e-232,3.862820556816456e-15,0.0,1.3198770352506783e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999998582363
Robin_office_Soledad,0.0,4.788469754543803e-34,0.0,0.0,0.0,0.0,0.0,8.507745483310687e-123,1.0,0.0,0.0,0.0,0.0,3.6085675879513375e-83,3.950924875621571e-247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.332663741193781e-44,6.73734840403057e-23,0.0,4.604828611190918e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.316228935915917e-138
Robin_education_Audrea,0.0,6.262262694611634e-47,0.0,0.0,0.0,0.0,0.0,3.239108992063128e-86,4.614434679232795e-50,0.0,0.0,0.0,0.0,1.312974905381692e-137,9.237364924554538e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3421108040707535e-97,4.343377552756644e-68,0.0,3.0569519839374997e-80,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Saul,0.0,9.868421421434631e-26,0.0,0.0,0.0,0.0,0.0,1.7173324148601115e-73,1.6499004465930946e-12,0.0,0.0,0.0,0.0,0.9999999999962412,2.7132612525375538e-185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.273824389036591e-23,2.1089751304034036e-12,1.2578192040559596e-137,3.3164338284594187e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.051975993537481e-192
Robin_lodging_Donna,0.0,3.534799841869676e-35,0.0,0.0,0.0,0.0,0.0,2.3051458906468455e-109,0.0006710454846449861,0.0,0.0,0.0,0.0,1.0067654970106774e-53,2.824444545648926e-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2747639509612842e-63,0.9993289488235477,0.0,5.691807106617631e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.379760902424842e-92
Robin_office_Antonina,0.0,5.345906109860135e-155,0.0,0.0,0.0,0.0,0.0,2.600850898441496e-99,8.523379564407091e-77,0.0,0.0,0.0,0.0,2.059081513669946e-262,5.156869648642371e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.766801963451311e-155,8.323782504517434e-136,3.5499387249317326e-255,1.6758094289962354e-194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,3.003917823085301e-49,0.0,0.0,0.0,0.0,0.0,2.110628020883709e-173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.027875948899303e-116,2.721332968616504e-35,0.0,4.459812592365902e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447511503669202e-187
Robin_office_Zelma,0.0,0.9999999998027924,0.0,0.0,0.0,0.0,0.0,3.8435448853826545e-66,1.788144441502399e-17,0.0,0.0,0.0,0.0,1.3902275887733674e-40,2.5425219948925197e-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9720751131954605e-10,1.2306245062312993e-17,0.0,8.371527588589189e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875294557913219e-67
Robin_lodging_Renea,0.0,2.6667766677984762e-51,0.0,0.0,0.0,0.9999999999999991,0.0,4.53939954985216e-129,2.38795043741494e-16,0.0,0.0,0.0,0.0,4.1560305388928144e-100,2.266669992654203e-196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.516068222377335e-151,3.1731660522057977e-16,0.0,4.4832857232579385e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.443735651602427e-198
Robin_lodging_Armand,0.0,7.92012284989485e-20,0.0,0.0,0.0,0.0,0.0,7.218341059176774e-104,0.0001830096281244461,0.0,0.0,0.0,0.0,6.962346425997527e-50,6.138374276695161e-149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.509632930317999e-26,0.9998169903717966,9.961472316367714e-204,7.88950696905841e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.386689008004758e-61
Robin_education_Karyl,0.0,1.1009520577526982e-18,0.0,0.0,0.0,0.0,0.0,1.1314427832136734e-103,1.384534582429541e-06,0.0,0.0,0.0,0.0,5.86754965421133e-27,5.0230748845626874e-163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999986154654176,9.749297307510741e-17,0.0,5.44573635208008e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.152342064593036e-101
Robin_lodging_Janie,0.0,3.097286440438585e-67,0.0,0.0,0.0,0.0,0.0,2.824972842992076e-114,2.252552800484572e-47,0.0,0.0,0.0,0.0,1.6056550917470605e-156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0095108192180852e-167,5.196845763962034e-66,0.0,1.145831659341827e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,1.3028228639843385e-298,0.0,0.0,0.0,0.0,0.0,9.640487342849745e-308,1.0916166624731242e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0201470163084956e-194,0.0,1.8262277269725062e-259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,8.221734893481341e-25,0.0,0.0,0.0,0.0,0.0,1.3171047169866948e-126,0.9999878499117933,0.0,0.0,0.0,0.0,1.8832170167078186e-114,7.624444329620335e-216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4072683539974757e-20,1.2150088206955905e-05,5.8355831722917505e-241,4.1883655766480896e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.315024527382722e-133
Shrew_office_Nora,0.0,5.245231178298969e-154,0.0,0.0,0.0,0.0,0.0,1.0546335202336373e-132,2.2557862569874244e-75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.210887248822504e-142,0.0,5.199883247775429e-133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,2.7859572281547687e-108,0.0,0.0,0.0,0.0,0.0,3.192436353952999e-132,1.8705725302876713e-75,0.0,0.0,0.0,0.0,9.157154111567264e-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9988367227785974e-187,3.7912276102028835e-74,0.0,3.4091302487113115e-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,1.0495980648614417e-19,0.0,0.0,0.0,0.0,0.0,8.255771809531007e-16,1.6142451308098053e-10,0.0,0.0,0.0,0.0,2.913806043708247e-140,1.4681298739848822e-207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7128653235277987e-56,2.0795224902084968e-22,0.9999999998385749,3.150010945367512e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.008583381372641467,0.0,0.0,0.0,0.0,0.0,1.3062648037369655e-60,0.00017073165002608935,0.0,0.0,0.0,0.0,1.7696684713056472e-37,1.105648765267775e-138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003111553931796734,0.9909347315841525,1.8303996995586375e-56,1.0162648671362159e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.639793886651936e-41
Shrew_office_Doris,0.0,2.4709413269641657e-42,0.0,0.0,0.0,0.0,0.0,4.702128146042497e-38,1.7338733883656628e-21,0.0,0.0,0.0,0.0,2.7699818080310404e-208,1.0467975817102668e-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9903434750791954e-99,2.928932149179284e-29,1.0,2.2171900223412498e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,5.886081693609627e-208,0.0,0.0,0.0,0.0,0.0,2.3144898643767746e-165,3.2719623367158684e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3530236452622768e-130,1.5610049898269045e-121,1.9899138789101577e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,9.55353129565591e-77,0.0,0.0,0.0,0.0,0.0,3.0175387150081036e-133,5.47198782065519e-44,0.0,0.0,0.0,0.0,1.6818673100919526e-165,1.3736825687217418e-288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.744862529783268e-139,9.661890187075452e-67,0.0,1.6237523456178938e-69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1252339002104258e-203
Mouse_health_Buddy,0.0,1.1948208535032877e-239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.500778591316235e-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
