,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10
Robin_office_Adolph,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.510558524601479e-220
Robin_education_Takako,0.0,0.0,0.0,0.0,0.0,1.0,5.397483506067848e-26,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,0.0,0.0,0.0,4.19421149299503e-92,0.0,0.0,0.0,1.0
Robin_office_Victor,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,0.0,0.0,1.0256316176466909e-127,0.0,0.0,0.0,1.0
Robin_education_Kristopher,0.0,0.0,0.0,0.0,0.0,1.0,1.1474868309469024e-73,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,0.0,0.0,1.546069872665814e-55,0.0,0.0,0.0,1.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,0.0,0.0,1.3563760235820619e-34,0.0,0.0,0.0,1.0
Robin_office_Donald,0.0,0.0,0.0,0.0,0.0,0.0,9.581248832882239e-80,0.0,0.0,1.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,0.0,0.0,3.5423609429571306e-45,0.0,0.0,0.0,1.0
Robin_office_Soledad,0.0,0.0,1.0,0.0,0.0,0.0,1.6810522300096615e-42,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,0.0,0.0,1.0,1.4724284904929319e-75,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,0.0,0.0,8.700024860617536e-14,0.0,0.0,0.0,0.999999999999913
Robin_office_Antonina,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,1.0,0.0,0.0,0.0,6.850306713481787e-31,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.0,0.0,0.0,1.0,4.829755161350337e-45,0.0,0.0,0.0,0.0
Robin_lodging_Renea,1.0,0.0,0.0,0.0,0.0,0.0,1.4035552188720117e-68,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,0.0,1.0,2.871804755956879e-63,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,0.0,0.0,0.0,1.4179891243098452e-112,0.0,0.0,1.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,0.0,0.0,0.0,0.0,3.877452145007048e-239,0.0,0.0,1.0,0.0
Shrew_office_Lin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,1.0,0.0,0.0,0.0,8.060126964800755e-272,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,1.0,0.0,0.0,0.0,5.329568915058334e-25,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,0.0,1.0,0.0,5.682920987469287e-271,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
