Robin_public_Carolina,Robin_lodging_Dorthy,Robin_education_Zenia,Robin_office_Dina,Robin_education_Derick,Robin_education_Della,Robin_education_Leslie,Robin_office_Sammie,Robin_education_Mercedes,Robin_education_Julius,Robin_education_Lashandra,Robin_education_Lizbeth,Robin_office_Gayle,Robin_office_Shirlene,Robin_education_Madeline,Robin_lodging_Phillip,Robin_education_Jasper,Robin_office_Wai,Robin_education_Terrance,Robin_lodging_Elmer,Robin_office_Addie,Robin_education_Cecilia,Robin_education_Kiera,Robin_lodging_Pricilla,Robin_education_So,Robin_office_Maryann,Robin_office_Serena,Robin_education_Derrick,Robin_education_Megan,Robin_office_Adolph,Robin_office_Lindsay,Robin_education_Takako,Robin_lodging_Oliva,Robin_office_Victor,Robin_education_Margarito,Robin_public_Cami,Robin_education_Kristopher,Robin_education_Billi,Robin_lodging_Celia,Robin_office_Donald,Robin_assembly_Colleen,Robin_office_Soledad,Robin_education_Audrea,Robin_office_Saul,Robin_lodging_Donna,Robin_office_Antonina,Robin_office_Erma,Robin_office_Zelma,Robin_lodging_Renea,Robin_lodging_Armand,Robin_education_Karyl,Robin_lodging_Janie,Shrew_office_Sherill,Shrew_office_Rose,Shrew_office_Nora,Shrew_office_Katherine,Shrew_office_Ila,Shrew_office_Doug,Shrew_office_Doris,Shrew_office_Lin,Shrew_office_Kenneth,Mouse_health_Buddy,Mouse_health_Modesto,Mouse_lodging_Vicente,Mouse_health_Justin,Mouse_health_Ileana,Mouse_health_Estela,Mouse_science_Micheal
110.001,45.2,139.75,26.7551,482.0,0.7492,744.75,78.25,172.86700000000005,293.2,350.3673,74.4,41.2959,16.0408,319.2857,53.6,139.7,162.1,267.9,79.7,13.6,32.6122,49.1071,68.9,403.0867,228.8,43.2,334.7844,182.5306,18.8699,56.1276,157.4,40.2,33.5,438.4082,25.2143,97.9,44.1,41.3,144.1224,30.25,14.25,172.4567,13.6,17.3571,353.6,11.7,106.2041,71.5,32.9107,20.5496,177.0974,248.0,10.5,186.7,49.5,119.8,67.9,168.7,315.2,20.6,17.6449,819.0939999999997,30.0,654.4835,60.0,326.0,336.4486
114.437,55.0,131.0,26.7551,488.0,0.7492,726.5,77.5,172.41400000000004,277.4,350.3673,75.2,41.2959,16.0408,319.2857,55.1,138.8,134.3,264.3,85.4,13.5,32.6122,48.1071,71.0,403.0867,218.6,42.9,334.7844,182.5306,18.8699,56.1276,153.8,43.7,32.5,438.4082,25.2143,98.4,22.9,48.5,144.1224,30.0,14.437,172.4567,13.7,17.3571,344.2,11.6,106.2041,73.5,32.9107,20.5496,185.2974,240.0,9.4,183.4,49.8,120.3,68.0,156.9,318.9,20.7,17.6449,817.8005,40.0,629.5195,60.0,314.0,336.4486
110.375,55.4,125.0,26.7551,479.5,0.7492,668.25,79.25,169.86700000000005,278.2,350.3673,75.2,41.2959,16.0408,319.2857,57.2,138.1,109.0,262.7,86.9,13.6,32.6122,47.6071,74.3,403.0867,228.0,40.4,334.7844,182.5306,18.8699,56.1276,148.4,40.5,32.0,438.4082,25.2143,96.9,18.5,48.9,144.1224,30.25,17.25,172.4567,13.5,17.3571,345.4,11.6,106.2041,74.5,32.9107,20.5496,185.5974,234.5,9.2,179.1,51.4,120.5,68.0,150.0,301.2,19.8,17.6449,818.9005,40.0,623.43,55.0,305.0,336.4486
110.375,46.1,108.75,26.7551,491.0,0.7492,629.0,70.75,175.859,239.4,350.3673,74.2,41.2959,16.0408,319.2857,60.2,139.3,102.4,264.0,91.3,13.6,32.6122,48.6071,72.6,403.0867,222.8,40.1,334.7844,182.5306,18.8699,56.1276,148.4,44.0,33.0,438.4082,25.2143,96.8,18.0,51.4,144.1224,30.75,13.313,172.4567,13.6,17.3571,343.2,11.6,106.2041,72.1,32.9107,20.5496,169.7974,232.0,8.1,168.7,49.7,116.8,67.2,146.5,302.6,19.5,17.6449,811.9385,30.0,617.648,52.0,300.0,336.4486
106.562,40.9,107.75,26.7551,475.0,0.7492,630.25,61.75,170.875,239.0,350.3673,73.8,41.2959,16.0408,319.2857,60.7,139.0,96.2,263.4,82.7,14.0,32.6122,46.6071,72.0,403.0867,224.4,38.1,334.7844,182.5306,18.8699,56.1276,150.2,42.2,31.0,438.4082,25.2143,96.8,17.7,50.7,144.1224,30.75,15.5,172.4567,13.0,17.3571,331.5,11.5,106.2041,69.8,32.9107,20.5496,184.1974,232.5,8.6,113.4,49.4,116.3,65.5,146.2,308.4,18.3,17.6449,806.5705,40.0,605.0515,50.0,296.0,336.4486
102.813,38.1,107.75,26.7551,473.0,0.7492,625.0,62.25,169.868,232.8,350.3673,73.6,41.2959,16.0408,319.2857,57.3,137.8,94.9,258.7,91.1,13.6,32.6122,45.6071,73.2,403.0867,223.4,37.6,334.7844,182.5306,18.8699,56.1276,148.6,37.7,30.0,438.4082,25.2143,95.4,19.8,48.8,144.1224,29.5,16.718,172.4567,12.8,17.3571,327.8,11.4,106.2041,66.8,32.9107,20.5496,160.0974,217.5,8.8,103.4,50.1,115.9,65.0,146.7,310.7,18.7,17.6449,773.77,40.0,580.0885,50.0,288.0,336.4486
87.56200000000004,38.6,105.25,26.7551,463.5,0.7492,623.75,66.0,159.351,232.4,350.3673,72.8,41.2959,16.0408,319.2857,55.1,136.5,95.0,253.5,86.8,13.4,32.6122,45.1071,64.1,403.0867,224.6,37.3,334.7844,182.5306,18.8699,56.1276,149.3,36.6,29.5,438.4082,25.2143,96.4,20.4,39.0,144.1224,29.75,9.125,172.4567,13.0,17.3571,323.1,11.2,106.2041,62.2,32.9107,20.5496,168.7974,216.0,8.8,101.5,49.6,115.8,65.0,146.1,306.5,18.4,17.6449,790.643,30.0,568.553,49.0,282.0,336.4486
51.0,33.5,80.5,26.3776,455.0,0.7492,530.5,53.75,161.649,256.4,340.1837,101.2,39.148,16.0204,321.774,52.5,135.0,93.0,255.3,89.5,14.0,31.8061,37.9286,66.9,396.1684,222.4,36.8,327.5213,173.2653,18.094,51.4388,135.5,36.0,22.5,438.7041,24.767,95.2,22.2,39.7,126.5612,21.75,6.625,171.6663,12.7,19.5536,322.0,10.5,99.102,63.3,31.8303,21.6517,165.8107,210.5,7.3,98.3,47.7,117.7,64.4,144.9,290.4,16.4,17.6449,788.8825,40.0,600.2,50.0,288.0,336.4486
92.438,28.2,133.5,26.3776,449.0,0.7492,729.0,62.0,178.15599999999995,258.2,331.1837,103.0,38.398,15.7704,312.1429,51.6,137.0,94.2,254.6,75.0,13.7,30.3061,50.5536,65.9,413.4184,218.7,36.1,326.7052,168.7653,18.56,55.3138,150.5,30.2,36.5,439.2041,24.8571,95.6,19.3,39.5,132.5612,36.0,11.0,173.4783,13.0,16.9286,326.0,9.5,101.602,60.7,31.5803,20.9017,168.9617,211.0,8.5,104.4,49.7,115.8,65.0,145.9,297.3,15.7,17.6449,779.1239999999997,20.0,585.789,47.0,284.0,336.4486
72.187,23.9,106.75,26.0,454.0,0.7492,614.25,49.5,167.86,257.2,309.0,102.4,39.75,15.25,307.25,51.2,137.4,93.3,251.0,66.3,13.8,24.0,41.25,56.5,388.75,221.4,36.0,308.062,159.0,19.062,54.625,147.4,27.0,29.0,435.5,25.75,94.6,18.5,35.5,118.0,27.0,9.907,172.75,13.1,15.75,321.9,9.2,95.5,57.5,28.625,20.6287,142.8,211.5,7.4,100.5,50.6,115.3,64.8,144.5,295.8,14.8,17.6449,770.199,30.0,587.673,49.0,288.0,336.4486
73.375,20.6,106.25,27.0,454.0,0.7492,618.0,50.5,160.359,256.8,309.0,104.0,43.75,15.25,305.75,50.9,135.6,93.4,252.3,63.4,13.8,24.5,43.0,48.5,398.312,217.5,36.0,317.563,154.5,18.813,50.25,142.5,25.9,29.5,436.0,28.0,93.9,18.6,33.2,114.5,25.75,8.843,169.5,12.8,14.875,320.5,9.0,98.0,55.1,26.375,21.3157,133.737,210.0,6.8,101.3,48.9,113.8,64.6,145.3,300.3,15.3,17.6449,768.35,30.0,581.835,47.0,288.0,336.4486
72.75,18.4,109.25,27.0,459.5,0.7492,623.0,52.0,174.359,255.4,316.0,105.6,42.5,15.5,228.5,50.1,136.2,94.7,247.2,59.9,13.9,24.5,42.625,48.6,392.18800000000016,214.5,35.8,292.187,157.0,15.7917,58.0,143.7,25.9,29.5,435.5,21.4464,93.5,18.6,32.5,115.75,25.25,8.594,172.437,12.8,14.375,327.0,9.0,97.0,51.7,25.813,21.8167,133.925,208.0,7.9,107.6,49.4,114.2,64.8,142.6,298.8,14.2,17.6449,774.1410000000003,20.0,586.382,48.0,282.0,336.4486
72.813,17.3,109.0,27.0,468.0,0.7492,613.5,55.75,173.36,253.2,310.0,106.0,42.0,16.0,324.2622,50.3,136.9,93.0,247.0,58.4,14.0,27.0,42.0,51.2,395.562,216.0,35.7,315.0671,164.5,17.3181,55.875,138.3,24.6,29.0,436.5,24.3197,93.9,16.4,31.4,112.5,25.5,8.875,186.875,12.8,14.125,329.1,8.9,95.0,52.0,25.5,22.0657,140.525,223.5,5.9,132.8,49.5,114.7,64.8,147.4,296.9,16.8,17.6449,773.685,30.0,592.599,48.0,284.0,336.4486
74.688,17.2,107.75,26.5,484.0,0.7492,610.25,55.5,167.859,256.0,305.0,105.2,39.25,15.75,324.2622,49.5,136.6,92.8,249.9,54.3,13.7,21.0,41.625,58.3,395.56300000000016,213.2,35.6,316.0981,162.5,17.3181,59.0,141.3,25.3,28.5,434.5,24.3197,93.8,16.8,31.5,112.0,25.25,7.5,174.125,12.8,13.25,331.3,8.9,99.0,60.9,28.312,22.5667,155.563,204.0,6.4,133.5,50.1,117.1,64.9,144.8,300.9,18.2,17.6449,771.15,30.0,596.4580000000002,48.0,287.0,336.4486
70.312,18.7,120.25,26.0,483.0,0.7492,630.75,59.75,176.34400000000005,260.0,315.0,105.2,40.0,16.0,324.2622,50.8,137.7,98.3,250.6,56.7,13.7,41.0,40.125,62.2,399.125,208.3,38.1,311.2241,164.0,17.3181,57.375,144.7,27.3,28.0,437.0,24.3197,93.9,17.7,33.8,112.75,26.0,12.281,171.438,13.3,13.125,340.2,9.5,96.5,64.7,28.0,22.9407,140.637,207.0,8.1,167.5,51.6,120.2,64.6,144.3,306.7,17.1,17.6449,769.7810000000003,30.0,593.893,48.0,286.0,336.4486
97.938,18.1,120.75,26.5,485.5,0.7492,694.25,87.5,176.352,262.8,386.0,106.6,41.0,15.75,324.2622,50.4,136.9,108.3,251.0,59.9,13.4,40.5,40.5,60.8,396.187,217.1,46.9,312.2247,156.5,17.3181,60.0,143.9,28.5,28.0,434.0,24.3197,93.8,27.0,33.6,112.5,26.75,10.407,172.0,12.9,13.375,353.0,17.7,94.0,65.2,27.938,21.8787,163.175,208.0,7.5,162.0,50.5,125.0,65.2,153.5,317.8,16.9,17.6449,788.55,30.0,652.419,49.0,298.0,336.4486
97.499,24.7,120.0,27.0,477.0,0.7492,739.0,59.25,169.343,268.0,383.0,105.6,45.0,15.25,324.2622,50.8,137.6,126.5,254.8,63.4,13.6,36.0,41.625,57.5,395.375,217.7,45.0,313.6022,162.5,17.3181,59.625,146.6,29.3,28.0,435.5,24.3197,94.1,43.9,33.2,120.5,26.0,17.031,170.062,12.9,15.5,344.3,23.5,116.5,61.7,33.187,24.3787,153.088,209.0,7.7,170.9,49.1,123.5,63.4,153.2,316.4,16.9,17.6449,802.967,40.0,698.181,50.0,296.0,336.4486
101.376,29.8,120.0,27.5,479.0,0.7492,744.0,58.5,172.83599999999996,269.4,389.0,106.4,44.5,16.0,324.2622,50.4,135.5,128.6,251.3,69.5,13.8,35.0,42.625,54.1,398.875,220.9,45.0,316.2272,172.5,17.3181,58.0,145.4,32.7,28.5,437.0,24.3197,95.1,43.3,35.1,126.25,27.25,8.281,172.063,12.8,18.25,351.8,24.1,120.5,65.7,33.688,24.3167,143.612,208.0,10.6,183.9,49.3,121.5,62.7,148.2,308.3,15.5,17.6449,812.675,40.0,730.543,51.0,303.0,336.4486
100.749,36.3,121.0,28.0,489.5,0.7492,746.5,58.5,165.891,267.4,387.0,107.0,46.0,16.25,324.2622,52.2,136.6,131.9,257.8,69.8,13.7,35.0,45.375,53.7,397.56300000000016,218.5,47.7,318.2582,176.5,17.3181,54.125,143.5,36.3,30.0,440.0,24.3197,97.4,45.4,37.9,129.5,44.5,8.656,189.437,12.9,19.0,356.5,24.6,122.0,66.1,35.125,24.0037,163.75,211.0,12.9,189.9,49.0,120.7,63.1,149.4,305.8,22.3,17.6449,815.086,30.0,745.2310000000001,50.0,305.0,336.4486
101.625,36.2,122.25,27.5,486.0,0.7492,748.5,63.5,171.859,265.8,391.0,107.8,45.75,15.75,324.2622,54.4,136.3,131.7,254.5,76.5,13.8,37.5,46.25,55.6,397.125,215.0,48.1,327.1012,181.0,17.3181,49.875,141.6,34.7,30.5,452.0,24.3197,95.8,43.6,40.0,129.25,49.0,8.562999999999999,175.25,12.7,18.375,366.7,22.6,124.0,69.0,34.875,25.1907,170.963,210.5,16.2,192.3,49.1,121.4,63.1,150.8,303.0,15.5,17.6449,811.883,40.0,767.65,51.0,307.0,336.4486
101.876,43.8,126.0,27.5,486.0,0.7492,745.0,64.5,180.36,266.4,388.0,108.4,47.0,16.5,324.2622,54.2,137.1,122.1,248.4,77.7,13.8,37.5,46.375,61.3,400.937,214.4,48.2,327.4152,162.5,17.3181,51.5,142.7,37.5,30.5,449.0,24.3197,95.1,44.0,40.1,129.0,46.5,7.5939999999999985,174.25,12.9,19.0,362.7,19.6,127.0,66.7,35.062,23.9417,191.837,208.5,14.3,194.5,49.0,124.8,62.7,155.5,311.5,15.7,17.6449,816.404,40.0,760.6519999999997,49.0,308.0,336.4486
102.937,41.8,122.0,28.0,493.0,0.7492,738.75,72.0,175.398,265.8,387.0,107.0,45.5,15.75,324.2622,52.8,136.4,120.9,250.4,75.6,13.7,36.5,49.875,60.0,399.31300000000016,215.9,48.6,324.7582,162.0,17.3181,51.875,135.1,42.6,31.0,443.5,24.3197,94.5,43.9,39.2,121.25,46.0,7.4060000000000015,173.813,12.8,20.25,372.9,17.9,125.0,68.2,35.813,22.8787,177.2,208.0,14.0,186.1,50.2,119.9,63.1,157.9,315.9,17.4,17.6449,809.528,40.0,747.5260000000003,51.0,314.0,336.4486
106.0,39.4,122.5,27.5,494.5,0.7492,753.25,66.75,176.90599999999995,269.6,396.0,108.6,45.5,15.75,324.2622,52.9,136.1,119.7,250.3,73.9,13.8,39.5,49.0,56.6,400.625,216.5,47.4,325.9762,154.0,17.3181,50.0,135.4,42.5,31.0,447.0,24.3197,94.8,43.0,39.8,124.75,45.75,9.062,174.062,12.8,17.75,360.6,16.8,124.5,71.2,37.562,23.0037,169.838,206.5,14.2,180.0,48.8,118.2,64.2,149.4,300.9,22.4,17.6449,808.579,30.0,748.6360000000003,50.0,314.0,336.4486
105.125,38.1,123.5,27.5,493.5,0.7492,755.25,76.5,178.36,272.6,400.0,108.2,46.75,15.5,324.2622,52.6,138.2,120.1,256.0,76.6,13.7,36.0,50.0,64.2,403.5,212.0,47.9,331.3212,150.0,17.3181,52.875,133.3,37.3,31.0,444.0,24.3197,95.3,42.7,40.4,122.5,46.75,7.3439999999999985,176.375,13.0,20.5,360.8,14.7,127.5,69.3,35.688,23.8787,170.96200000000005,210.5,12.9,178.8,48.9,121.4,64.8,151.5,296.6,21.0,17.6449,807.189,40.0,752.168,49.0,327.0,336.4486
105.687,44.1,123.25,28.5,497.0,0.7492,742.75,74.5,173.343,273.2,393.0,110.2,45.25,15.75,324.2622,55.0,139.0,116.4,259.7,84.6,14.0,37.5,48.75,60.5,400.5,220.5,47.0,323.8202,142.5,17.3181,51.375,134.2,35.8,30.0,447.5,24.3197,95.4,43.5,41.6,123.5,47.25,9.156,189.938,12.9,22.0,359.9,12.1,123.0,67.4,35.625,25.0037,182.225,212.5,6.5,175.7,48.8,124.8,64.5,155.2,294.3,17.7,17.6449,806.107,40.0,735.533,49.0,326.0,336.4486
