,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Robin_office_Addie,0.0,1.0155885524437634e-12,0.0,0.0,0.0,0.9999999999989844,0.0,0.0,0.0
Robin_education_Cecilia,0.0,6.437933264390717e-05,0.0,0.0,0.0,0.9999356206673564,0.0,0.0,0.0
Robin_education_Kiera,0.0,6.299010111913369e-05,0.0,0.0,0.0,0.999937009898881,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,2.7950569064745308e-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_So,0.0,1.2108752282053568e-34,0.0,0.0,0.0,1.0734183280845133e-212,0.0,0.0,1.0
Robin_office_Maryann,0.0,1.0,0.0,0.0,0.0,7.732140985958624e-74,0.0,0.0,0.0
Robin_office_Serena,0.0,3.5964827944394366e-11,0.0,0.0,0.0,0.999999999964035,0.0,0.0,0.0
Robin_education_Derrick,0.0,5.3670817117740805e-30,0.0,0.0,0.0,7.810324786447247e-140,0.0,0.0,1.0
Robin_education_Megan,0.0,1.0,0.0,0.0,0.0,2.5715604092248656e-123,0.0,0.0,0.0
Robin_office_Adolph,0.0,5.055661988930421e-09,0.0,0.0,0.0,0.9999999949443379,0.0,0.0,0.0
Robin_office_Lindsay,0.0,1.0548266771007395e-130,0.0,1.0,0.0,8.625329256396952e-64,0.0,0.0,0.0
Robin_education_Takako,0.0,1.0,0.0,0.0,0.0,1.7720620025475469e-44,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,3.4057003066417264e-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Victor,0.0,8.00352591795624e-09,0.0,0.0,0.0,0.9999999919964742,0.0,0.0,0.0
Robin_education_Margarito,0.0,1.371600258148109e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_public_Cami,0.0,0.9999138571391609,0.0,0.0,0.0,8.614286083885952e-05,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0008361080061582083,0.0,0.0,0.0,0.9991638919938418,0.0,0.0,0.0
Robin_education_Billi,0.0,2.2849611512555547e-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,3.925177435457339e-38,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Donald,0.0,0.9999999999661107,0.0,0.0,0.0,3.389002641969602e-11,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,6.236509111654519e-06,0.0,0.0,0.0,0.9999937634908882,0.0,0.0,0.0
Robin_office_Soledad,0.0,2.04157403216742e-07,0.0,0.0,0.0,0.9999997958425966,0.0,0.0,0.0
Robin_education_Audrea,0.0,1.0,0.0,0.0,0.0,2.5962984686547954e-38,0.0,0.0,0.0
Robin_office_Saul,0.0,6.157543139219868e-109,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,7.445093831191033e-25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,1.047438617621209e-24,0.0,0.0,0.0,3.943010197869037e-219,0.0,0.0,1.0
Robin_office_Erma,0.0,1.5854476957158188e-22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.9999327423569924,0.0,0.0,0.0,6.725764300733562e-05,0.0,0.0,0.0
Robin_lodging_Renea,0.0,3.956286968459102e-20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,2.541339139016287e-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,1.2774667614210563e-185,0.0,1.0,0.0,7.2849328501474745e-93,0.0,0.0,0.0
Robin_lodging_Janie,0.0,2.3548812853732902e-27,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Shrew_office_Sherill,1.0,6.1429825972854115e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,7.708192759757906e-14,0.0,0.0,0.0,0.9999999999999227,0.0,0.0,0.0
Shrew_office_Nora,0.0,1.0,0.0,0.0,0.0,4.457222280259419e-35,0.0,0.0,0.0
Shrew_office_Katherine,0.0,9.970911969967645e-26,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,1.0,0.0,0.0,0.0,2.5210711240952883e-18,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.034955449101734155,0.0,0.0,0.0,0.9650445508982654,0.0,0.0,0.0
Shrew_office_Doris,0.0,1.0,0.0,0.0,0.0,2.8678256603985194e-35,0.0,0.0,0.0
Shrew_office_Lin,1.0,4.5757544035532445e-79,0.0,0.0,0.0,5.696743956216063e-198,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,4.6274526256269897e-07,0.0,0.0,0.0,0.9999995372547379,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mouse_lodging_Vicente,0.0,7.203217396710178e-06,0.0,0.0,0.0,0.9999927967826028,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,8.145361970474959e-16,0.0,0.0,0.0,0.9999999999999991,0.0,0.0,0.0
Mouse_health_Estela,1.0,3.008306426429165e-115,0.0,0.0,0.0,8.506848452346678e-288,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
