,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.618636863226236e-217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.580228936798025e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Addie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.638214496007249e-54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36925183661432e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_education_So,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Serena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.710878235577343e-112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.236233356924858e-284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.041593498663851e-153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Victor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.775997745950834e-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8174788585033357e-149,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1862822442024968e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.090651701857604e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Donald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.369960702023777e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999998632,0.0,0.0
Robin_office_Soledad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.614210910672195e-46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Audrea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5221025e-317,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_office_Zelma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.822688830625119e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.040342751208915e-143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_lodging_Armand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5515661766484894e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34761347471261e-304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3312067770200204e-215,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.099894873084268e-22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Lin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6016832262571115e-42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.997490234459073e-49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
