,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11
Robin_education_Cecilia,5.769228424170421e-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,7.596002641695264e-83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,1.0,0.0,0.0,0.0,2.560671860470492e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,0.0,0.0,1.1857069303607747e-57,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,0.0,3.985112459408585e-23,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Serena,4.1372219366585275e-281,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,0.0,2.9927604682561693e-49,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,0.0,4.7831052470749195e-101,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Adolph,4.3966076429893686e-15,0.0,0.0,0.0,0.9999999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,0.0,6.656716623171984e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,2.0373388116169e-182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.9999999999954878,0.0,0.0,0.0,4.512066059818828e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,8.891436175285666e-98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,1.5170486259152129e-94,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_public_Cami,0.9999999966624462,0.0,0.0,0.0,3.337554065540452e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,1.208434411218818e-118,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Billi,1.7631584981002034e-110,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.9999987032390919,0.0,0.0,0.0,1.2967609082292532e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,1.0,0.0,0.0,0.0,1.4780193815971663e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,7.056797860852039e-80,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,3.1409512057960644e-90,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,3.163047541790758e-224,0.0,0.0,0.0,7.703455384612952e-51,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Saul,1.0,0.0,0.0,0.0,4.670253526077096e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.9999731912492398,0.0,0.0,0.0,2.6808750760279606e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,0.0,5.022532266848316e-50,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Erma,8.261555256105278e-292,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,2.1329713895353526e-84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.9999999999848592,0.0,0.0,0.0,1.514096755386771e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.9962635858931298,0.0,0.0,0.0,0.003736414106870153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,4.176076746997476e-129,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,1.0,0.0,0.0,0.0,2.5504768152599506e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Shrew_office_Rose,6.18857626566323e-71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,1.0054999826095221e-296,0.0,0.0,0.0,1.9653077741830722e-32,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Katherine,7.509701188366457e-269,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,1.6235563118696843e-134,0.0,0.0,0.0,2.0585189455766683e-22,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Doug,8.613567426065853e-73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,1.7261288999681065e-217,0.0,0.0,0.0,8.82519120574264e-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Lin,0.0,1.0,0.0,0.0,5.73737030786433e-212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mouse_lodging_Vicente,0.9999949306229202,0.0,0.0,0.0,5.069377079856982e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,4.763829576466022e-165,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,1.0,0.0,0.0,8.817771559334882e-302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
