,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15
Robin_office_Soledad,0.9999999999999858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3742553324918912e-14,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.911889548973922e-96,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Saul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.327057897562552e-104,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.140991189388489e-189,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Erma,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0252562149366665e-108,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.685587168469789e-08,0.0,0.9999999731441281,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.238311666741293e-81,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3567751029656212e-29,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9760679077419454e-27,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1053220698120324e-06,0.0,0.9999988946779304,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6880560047470264e-93,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.209702927375434e-245,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.074380154373605e-22,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.364848075177281e-25,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
