,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Robin_office_Saul,3.7366018677710446e-116,0.0,0.0,1.0,0.0,0.0,0.0
Robin_lodging_Donna,2.0114123469723412e-36,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Antonina,3.647748024594369e-26,0.0,0.0,6.890448723177938e-139,0.0,0.0,1.0
Robin_office_Erma,2.038668996953128e-27,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Zelma,2.915640841951565e-07,0.0,0.0,0.999999708435915,0.0,0.0,0.0
Robin_lodging_Renea,3.108050411342803e-41,0.0,0.0,1.0,0.0,0.0,0.0
Robin_lodging_Armand,9.902006810227945e-24,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Karyl,4.917136089410485e-243,0.0,1.0,6.34453504153713e-81,0.0,0.0,0.0
Robin_lodging_Janie,4.4615525041345465e-69,0.0,0.0,1.0,0.0,0.0,0.0
Shrew_office_Sherill,1.8852003081190337e-118,0.0,0.0,5.744255470106764e-276,0.0,1.0,0.0
Shrew_office_Rose,3.079909877843335e-16,0.0,0.0,1.0,0.0,0.0,0.0
Shrew_office_Nora,1.0,0.0,0.0,4.3743500658112585e-29,0.0,0.0,0.0
Shrew_office_Katherine,8.072330809230634e-21,0.0,0.0,1.0,0.0,0.0,0.0
Shrew_office_Ila,0.9999999999985434,0.0,0.0,1.4562156003891367e-12,0.0,0.0,0.0
Shrew_office_Doug,0.014505182689704771,0.0,0.0,0.985494817310295,0.0,0.0,0.0
Shrew_office_Doris,1.0,0.0,0.0,8.804919242768675e-25,0.0,0.0,0.0
Shrew_office_Lin,3.151031973479914e-95,0.0,0.0,4.4918102508068477e-144,0.0,1.0,0.0
Shrew_office_Kenneth,2.3545675238734316e-12,0.0,0.0,0.9999999999976454,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,1.2390727186904165e-11,0.0,0.0,0.9999999999876099,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mouse_health_Ileana,2.0684325513215155e-15,0.0,0.0,0.9999999999999982,0.0,0.0,0.0
Mouse_health_Estela,1.8635700401199807e-149,0.0,0.0,1.5072803301408772e-217,0.0,1.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,0.0,1.0,0.0,0.0
