,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10
Robin_office_Victor,0.0,8.668064269051802e-21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,1.0,8.946489043270627e-268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.224390305092455e-55,0.0
Robin_education_Kristopher,0.0,1.1706557968778306e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Billi,0.0,1.1961559792683444e-27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,1.02396806114994e-309,2.1310878523832287e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_assembly_Colleen,0.0,1.3453498340584529e-12,0.0,0.0,0.9999999999986553,0.0,0.0,0.0,0.0,2.9769443310154157e-54,0.0
Robin_office_Soledad,0.0,2.7122976697419854e-13,0.0,0.0,0.9999999999997282,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,8.59315155703808e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Saul,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,1.0,7.708466424253664e-170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,8.513786786742452e-90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,4.504705652895446e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999954952943472,0.0
Robin_lodging_Renea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.241970419507039e-53,0.0
Robin_lodging_Armand,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.052730748480801e-308,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.878915757104684e-272,0.0
Shrew_office_Sherill,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,3.821301949725351e-216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8867743816900674e-106,0.0
Shrew_office_Nora,1.0,6.189430909273333e-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,3.014400003380646e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Ila,0.0,3.6582936469115085e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Doug,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0944235084460054e-92,0.0
Shrew_office_Doris,1.0,1.4209320792183796e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.470115755682191e-289,0.0
Shrew_office_Lin,0.0,1.2508627315656194e-240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Shrew_office_Kenneth,4.583700083887733e-116,1.6182439300712626e-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,8.204892015148054e-256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mouse_health_Ileana,0.0,4.715074812749683e-21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mouse_science_Micheal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
